NAME	ROLE	UTTERANCE	COMMENT	DIRECTED	keychild	gender	speaker
CHI	Benjamin Target_Child	shall I put them in my car ?		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx .		CHI	benjamin	M	sibling
MOT	Mother	what are you going to take to Grandma when you go to Church Stretton ?		CHI	benjamin	M	mother
NIC	Nicola  Sister	xxx (4.) .		NA	benjamin	M	sibling
CHI	Benjamin Target_Child	here you are .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	here you are .		?	benjamin	M	Target_Child
MOT	Mother	you can ride .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 .	%com: rides down slope of drive in pedal car . Nicola's activity unknown	NA	benjamin	M	Target_Child
MOT	Mother	but you must close the gate .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	yes we will .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	yes .		MOT	benjamin	M	Target_Child
NIC	Nicola  Sister	did [//] you move .	%com: giving instructions to Benjamin	CHI	benjamin	M	sibling
NIC	Nicola  Sister	and xxx with the thingie (1.) .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	I'll go that side (8.) .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	0 .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	well you just rolling .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	you just moving .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (10.) .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I can't .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx (2.) .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	xxx .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	yep .	%com: noise of car .	NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx that a round mark ?		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	is it (8.) .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	0 [=! giggles] .		NA	benjamin	M	sibling
CHI	Benjamin Target_Child	0 .	%com: mother and Nicola giggling	NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx to me (16.) .	%com: everyone giggling	?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	my (.) &-um (.) shoes .		?	benjamin	M	Target_Child
NIC	Nicola  Sister	0 .		NA	benjamin	M	sibling
MOT	Mother	d(o) you want .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	yeh .	%com: can't get shoe on properly	MOT	benjamin	M	Target_Child
NIC	Nicola  Sister	stinky monster (2.) .	%com: to Benjamin	CHI	benjamin	M	sibling
NIC	Nicola  Sister	monster .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	I can't [= put shoe on] .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	can't get it on .		MOT	benjamin	M	Target_Child
MOT	Mother	it's alright .		CHI	benjamin	M	mother
MOT	Mother	you're not allowed to go outside anyway .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! yells] .		NA	benjamin	M	Target_Child
MOT	Mother	why have we got a car on the landing (3.) ?		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	I can't get this on [= shoe again] .		MOT	benjamin	M	Target_Child
MOT	Mother	xxx .		NA	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! cries] .		NA	benjamin	M	Target_Child
MOT	Mother	Nicola .		NIC	benjamin	M	mother
CHI	Benjamin Target_Child	can't get this one on .		MOT	benjamin	M	Target_Child
MOT	Mother	xxx .		NA	benjamin	M	mother
MOT	Mother	you wouldn't let me help you .		CHI	benjamin	M	mother
MOT	Mother	wouldn't you ?		CHI	benjamin	M	mother
MOT	Mother	not on there you big fool .	%com: exchange and activity between Mother and Nicola outside . Instruction from Mother to Nicola	CHI	benjamin	M	mother
NIC	Nicola  Sister	xxx .		NA	benjamin	M	sibling
MOT	Mother	Nicola I want you .		NIC	benjamin	M	mother
CHI	Benjamin Target_Child	mummie laughed at me .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
MOT	Mother	where's the other drawer for your .		MOT	benjamin	M	mother
NIC	Nicola  Sister	xxx .		NA	benjamin	M	sibling
MOT	Mother	don't blame Benjamin .		NIC	benjamin	M	mother
NIC	Nicola  Sister	well .		MOT	benjamin	M	sibling
MOT	Mother	Benjamin didn't do anything .		NIC	benjamin	M	mother
CHI	Benjamin Target_Child	ow .		?	benjamin	M	Target_Child
MOT	Mother	xxx touch that love .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	I xxx .		MOT	benjamin	M	Target_Child
NIC	Nicola  Sister	it's poisonous .		CHI	benjamin	M	sibling
MOT	Mother	no you're not to touch it .		CHI	benjamin	M	mother
MOT	Mother	I'm trying to mend it .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	and xxx .		MOT	benjamin	M	Target_Child
MOT	Mother	no .		CHI	benjamin	M	mother
MOT	Mother	I'm trying to mend it .		CHI	benjamin	M	mother
NIC	Nicola  Sister	xxx .		NA	benjamin	M	sibling
MOT	Mother	Nicola don't lean on me like that darling .		NIC	benjamin	M	mother
MOT	Mother	it hurts (10.) .		NIC	benjamin	M	mother
NIC	Nicola  Sister	0 [=! giggles and moan] .		NA	benjamin	M	sibling
CHI	Benjamin Target_Child	0 .	%com: mother and Nicola talk and Nicola sings	NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx we (7.) .	%com: sound quality poor throughout; noise of car wheels moving and Nicola singing in distance	?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (3.) .	%com: they are going to play being shoppers	NA	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx (1.) .		NA	benjamin	M	sibling
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (5.) ?		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (10.) .	%com: sound of Benjamin's toy car wheels as he rolls down drive	NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	0 [=! makes noise of engine slowing and stopping] .		NA	benjamin	M	Target_Child
MOT	Mother	four peaches .	%com: making shopping list	CHI	benjamin	M	mother
CHI	Benjamin Target_Child	peaches .		MOT	benjamin	M	Target_Child
MOT	Mother	four peaches .		CHI	benjamin	M	mother
MOT	Mother	a pound of apples .		CHI	benjamin	M	mother
MOT	Mother	and a pound of bananas please .		CHI	benjamin	M	mother
MOT	Mother	from just on (2.) .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx again .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx the finzy@c [= tiny] ones .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	have the finzy@c [= tiny] one .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx .		NA	benjamin	M	sibling
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx .		NA	benjamin	M	sibling
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
MOT	Mother	that's what she .		?	benjamin	M	mother
MOT	Mother	like this (5.) .		?	benjamin	M	mother
NIC	Nicola  Sister	0 [=! giggle] .		NA	benjamin	M	sibling
MOT	Mother	now that's dirty Nicola .		NIC	benjamin	M	mother
MOT	Mother	if you don't eat that lolly I shall throw it in the dustbin .		NIC	benjamin	M	mother
MOT	Mother	pick it up and eat it then (53.) .	%com: exchanges between Mother and Nicola	NIC	benjamin	M	mother
MOT	Mother	what's it [= his treat] taste like ?		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	like fruit .		MOT	benjamin	M	Target_Child
MOT	Mother	like fruit ?		CHI	benjamin	M	mother
MOT	Mother	what sort of fruit (3.) ?		MOT	benjamin	M	mother
CHI	Benjamin Target_Child	like xxx [>] .		MOT	benjamin	M	Target_Child
NIC	Nicola  Sister	0 [=! giggles and yells] [<] .		NA	benjamin	M	sibling
MOT	Mother	xxx oranges (3.) ?		CHI	benjamin	M	mother
MOT	Mother	and .		CHI	benjamin	M	mother
MOT	Mother	is it ?		CHI	benjamin	M	mother
NIC	Nicola  Sister	no .		MOT	benjamin	M	sibling
NIC	Nicola  Sister	xxx didn't you ?		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	mhm (4.) .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx you do that (1.) .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx do that .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	Nicola always does that to me (22.) . .	%com: mother and Nicola's voices	MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (1.) .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx (5.) ?		NA	benjamin	M	sibling
NIC	Nicola  Sister	xxx (21.) .		NA	benjamin	M	sibling
NIC	Nicola  Sister	&-uh .		?	benjamin	M	sibling
NIC	Nicola  Sister	xxx didn't you ?		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	mhm .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	I got one .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	well then .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	let's tip these out .		CHI	benjamin	M	sibling
MOT	Mother	half past three .	%com: said simultaneously with TV . Benjamin concentrating on program; telling time on Play+School clock	CHI	benjamin	M	mother
CHI	Benjamin Target_Child	yeh .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I'll .		?	benjamin	M	Target_Child
NIC	Nicola  Sister	don't xxx that xxx (56.) .	%com: mother and Nicola talk at a distance possibly in next room	?	benjamin	M	sibling
CHI	Benjamin Target_Child	xxx (4.) .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	what's the time ?		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	four o'clock .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	for rainbow .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	oh .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	xxx (18.) .		NA	benjamin	M	sibling
CHI	Benjamin Target_Child	Rachel .		RAC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	Nicola .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	Rachel .		RAC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	Nicola .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (28.) .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	you're on your own Rachel (3.) . .	%com: beginning of argument between Nicola and Rachel	RAC	benjamin	M	Target_Child
NIC	Nicola  Sister	<no you're not> [>] .		RAC	benjamin	M	sibling
RAC	Rachel Playmate	<no you're not> [<] .		NIC	benjamin	M	peer
CHI	Benjamin Target_Child	can I ?		FAT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	oh tut .		FAT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	can I play with my train now Daddy ?		FAT	benjamin	M	Target_Child
FAT	Father	did you know it was ready ?		CHI	benjamin	M	adult
FAT	Father	see if xxx .		CHI	benjamin	M	adult
NIC	Nicola  Sister	don't know .		FAT	benjamin	M	sibling
NIC	Nicola  Sister	where's the man .		FAT	benjamin	M	sibling
FAT	Father	&=laughs .		NA	benjamin	M	adult
CHI	Benjamin Target_Child	my train +...		FAT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	can my train go now (1.) ?		FAT	benjamin	M	Target_Child
FAT	Father	huh ?		CHI	benjamin	M	adult
NIC	Nicola  Sister	xxx .		NA	benjamin	M	sibling
FAT	Father	yes .		?	benjamin	M	adult
CHI	Benjamin Target_Child	<can we> [//] my train wants +/.	%com: interruptions from the others	FAT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	my train want to go too (4.) .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	is the train wants to go .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (3.) .		NA	benjamin	M	Target_Child
MOT	Mother	what have you got there ?		CHI	benjamin	M	mother
NIC	Nicola  Sister	he's been looking for his train .		MOT	benjamin	M	sibling
MOT	Mother	d(o) you know why ?		NIC	benjamin	M	mother
MOT	Mother	because he's waited so long .		NIC	benjamin	M	mother
MOT	Mother	wasn't it ?		NIC	benjamin	M	mother
MOT	Mother	for his train to be working .		NIC	benjamin	M	mother
MOT	Mother	wasn't it Benjamin ?		CHI	benjamin	M	mother
MOT	Mother	because you had to wait so long (4.) . .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (3.) .		NA	benjamin	M	Target_Child
MOT	Mother	oh .		?	benjamin	M	mother
MOT	Mother	beautiful .		?	benjamin	M	mother
MOT	Mother	petrol one (1.) .		?	benjamin	M	mother
MOT	Mother	isn't that lovely (1.) ?		?	benjamin	M	mother
MOT	Mother	isn't he lucky (10.) ?		?	benjamin	M	mother
MOT	Mother	0 [=! giggles] .		NA	benjamin	M	mother
MOT	Mother	petrol tank .		?	benjamin	M	mother
CHI	Benjamin Target_Child	you see it (1.) ?		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	not today .	%com: answering his own question	SELF	benjamin	M	Target_Child
MOT	Mother	no .		?	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! car noises] .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	they [/] they're in reverse .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	in reverse .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	in reverse .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	they did .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	they're in reverse .		SELF	benjamin	M	Target_Child
MOT	Mother	mhm .		?	benjamin	M	mother
CHI	Benjamin Target_Child	they're in reverse (4.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	tissue .	%com: mimicking his sneeze	SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	d(o) you want (th)em in ?		MOT	benjamin	M	Target_Child
MOT	Mother	xxx out .	%com: instruction	CHI	benjamin	M	mother
CHI	Benjamin Target_Child	xxx .	%com: benjamin's mouth full	NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	weren't you (24.) ?		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I'm licking [= the cream in his biscuit] .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	Mummie I like the cream .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	<I like the> [>] cream .		MOT	benjamin	M	Target_Child
MOT	Mother	<d(o) you> [<] ?		CHI	benjamin	M	mother
MOT	Mother	xxx take xxx .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	I'm a little boy .		MOT	benjamin	M	Target_Child
MOT	Mother	xxx (4.) .		CHI	benjamin	M	mother
MOT	Mother	xxx are you doing ?		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	&-uh .		MOT	benjamin	M	Target_Child
MOT	Mother	xxx .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	don't know (3.) .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	tread on the slugs .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx .		MOT	benjamin	M	Target_Child
MOT	Mother	xxx .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	I tread on ants .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I do .		MOT	benjamin	M	Target_Child
MOT	Mother	mhm .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	do &-um like (.) treading (.) on .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I tread on ants .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	do they like me treading <on the> [//] on them ?		MOT	benjamin	M	Target_Child
MOT	Mother	xxx think they love it (2.) .		CHI	benjamin	M	mother
MOT	Mother	xxx don't like you treading on them .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	xxx car .		MOT	benjamin	M	Target_Child
MOT	Mother	yes xxx (16.) .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	Mummie are you in xxx ?		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	can I go to toilet outside (2.) ?		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	can I go to toilet first (2.) ?		MOT	benjamin	M	Target_Child
MOT	Mother	yes .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	yes (1.) ?		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	yes (4.) .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	Mummie you mustn't go to toilet on your own .	%com: benjamin is fearful of her having another accident	MOT	benjamin	M	Target_Child
MOT	Mother	why ?		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	I wanted to go on there .		MOT	benjamin	M	Target_Child
MOT	Mother	drop it again .			benjamin	M	mother
CHI	Benjamin Target_Child	yeh .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	I'll drop it .			benjamin	M	Target_Child
MOT	Mother	xxx .			benjamin	M	mother
CHI	Benjamin Target_Child	dropped it again .			benjamin	M	Target_Child
MOT	Mother	xxx .			benjamin	M	mother
CHI	Benjamin Target_Child	can't get it (8.) .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	I can't get it (4.) .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	I can't .			benjamin	M	Target_Child
MOT	Mother	leave it then (2.) .			benjamin	M	mother
CHI	Benjamin Target_Child	I'm going to get it .			benjamin	M	Target_Child
MOT	Mother	xxx .			benjamin	M	mother
MOT	Mother	whoops sorry .			benjamin	M	mother
MOT	Mother	xxx .			benjamin	M	mother
CHI	Benjamin Target_Child	hot .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	Mummie that's not +...			benjamin	M	Target_Child
MOT	Mother	one .	%com: counting		benjamin	M	mother
MOT	Mother	ouch .			benjamin	M	mother
MOT	Mother	two .			benjamin	M	mother
CHI	Benjamin Target_Child	three [>] .	%com: counting		benjamin	M	Target_Child
MOT	Mother	three [<] .			benjamin	M	mother
CHI	Benjamin Target_Child	four .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (4.) .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	could you read me a story ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	about it .			benjamin	M	Target_Child
MOT	Mother	look I'm not getting on with this bed very fast am I ?			benjamin	M	mother
CHI	Benjamin Target_Child	no .			benjamin	M	Target_Child
MOT	Mother	you keep on nattering to me .			benjamin	M	mother
MOT	Mother	and keep on making me read you stories .			benjamin	M	mother
CHI	Benjamin Target_Child	xxx .			benjamin	M	Target_Child
MOT	Mother	you don't like it .			benjamin	M	mother
MOT	Mother	I'm +/.	%com: m starts a rhyme they both know		benjamin	M	mother
CHI	Benjamin Target_Child	Toodles the cat xxx .			benjamin	M	Target_Child
MOT	Mother	I'll give you +/.	%com: recite the rhyme together with Mother prompting		benjamin	M	mother
CHI	Benjamin Target_Child	++ a ride .			benjamin	M	Target_Child
MOT	Mother	put up your +/.			benjamin	M	mother
CHI	Benjamin Target_Child	++ hands .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	and jump inside .			benjamin	M	Target_Child
MOT	Mother	just watch the +/.			benjamin	M	mother
CHI	Benjamin Target_Child	++ fare .			benjamin	M	Target_Child
MOT	Mother	meter .			benjamin	M	mother
MOT	Mother	you'll see the +/.			benjamin	M	mother
CHI	Benjamin Target_Child	++ fare .			benjamin	M	Target_Child
MOT	Mother	distance xxx .			benjamin	M	mother
CHI	Benjamin Target_Child	0 .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	is [/] is it going xxx ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	Mummie what did you do ?	%com: asking Mother about her bandages		benjamin	M	Target_Child
MOT	Mother	xxx bandage it up darling when it's xxx it's very very tight today (1.) .			benjamin	M	mother
MOT	Mother	that's all (2.) .			benjamin	M	mother
CHI	Benjamin Target_Child	why did you do that ?			benjamin	M	Target_Child
MOT	Mother	to help it be stronger (4.) .			benjamin	M	mother
CHI	Benjamin Target_Child	can you get it off ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	you try and get it off (7.) .			benjamin	M	Target_Child
MOT	Mother	you've got five as_well .			benjamin	M	mother
MOT	Mother	count with me (1.) .			benjamin	M	mother
MOT	Mother	one (1.) .			benjamin	M	mother
MOT	Mother	two .			benjamin	M	mother
CHI	Benjamin Target_Child	one .			benjamin	M	Target_Child
MOT	Mother	three .			benjamin	M	mother
CHI	Benjamin Target_Child	four [>] .			benjamin	M	Target_Child
MOT	Mother	four [<] .			benjamin	M	mother
MOT	Mother	five [>] .			benjamin	M	mother
CHI	Benjamin Target_Child	five [<] .			benjamin	M	Target_Child
MOT	Mother	good boy (2.) .			benjamin	M	mother
MOT	Mother	six Mummy got .			benjamin	M	mother
MOT	Mother	can you count up to six (1.) ?			benjamin	M	mother
MOT	Mother	let's see shall we ?			benjamin	M	mother
CHI	Benjamin Target_Child	one .			benjamin	M	Target_Child
MOT	Mother	one .			benjamin	M	mother
CHI	Benjamin Target_Child	two (1.) three (1.) four (1.) five (1.) five (.) six .			benjamin	M	Target_Child
MOT	Mother	good boy .			benjamin	M	mother
MOT	Mother	your turn (4.) .			benjamin	M	mother
MOT	Mother	oh (.) five .	%com: benjamin's move		benjamin	M	mother
MOT	Mother	count (2.) .			benjamin	M	mother
MOT	Mother	one (3.) .			benjamin	M	mother
MOT	Mother	two (3.) .			benjamin	M	mother
MOT	Mother	three (1.) four (1.) five .			benjamin	M	mother
MOT	Mother	oh look at that .	%com: in the game		benjamin	M	mother
CHI	Benjamin Target_Child	I xxx it .			benjamin	M	Target_Child
MOT	Mother	that's the largest ladder on the board .			benjamin	M	mother
MOT	Mother	you cheat .			benjamin	M	mother
CHI	Benjamin Target_Child	I cheat .			benjamin	M	Target_Child
MOT	Mother	you're a little cheat .			benjamin	M	mother
MOT	Mother	six I got .			benjamin	M	mother
CHI	Benjamin Target_Child	<I went up that big ladder> [>] .			benjamin	M	Target_Child
MOT	Mother	<one two three four five six> [<] .			benjamin	M	mother
MOT	Mother	you did .			benjamin	M	mother
MOT	Mother	come on .			benjamin	M	mother
MOT	Mother	let's see you go down a long snake (2.) .			benjamin	M	mother
MOT	Mother	so_that I don't lose (1.) .			benjamin	M	mother
MOT	Mother	oh come on .			benjamin	M	mother
CHI	Benjamin Target_Child	0 .			benjamin	M	Target_Child
MOT	Mother	surely you can do that .			benjamin	M	mother
MOT	Mother	it's six .			benjamin	M	mother
MOT	Mother	count with me .			benjamin	M	mother
MOT	Mother	one two (1.) three (1.) four [>] .			benjamin	M	mother
CHI	Benjamin Target_Child	<I'm go> [<] .			benjamin	M	Target_Child
MOT	Mother	five six .			benjamin	M	mother
MOT	Mother	there you are .			benjamin	M	mother
MOT	Mother	you haven't got a snake yet .			benjamin	M	mother
MOT	Mother	I've missed that big ladder .			benjamin	M	mother
MOT	Mother	I've only got five .			benjamin	M	mother
MOT	Mother	one two three four five .			benjamin	M	mother
MOT	Mother	oh I've got a little ladder though .			benjamin	M	mother
MOT	Mother	come on .			benjamin	M	mother
MOT	Mother	your turn again (2.) .			benjamin	M	mother
MOT	Mother	oh two .			benjamin	M	mother
MOT	Mother	xxx .			benjamin	M	mother
MOT	Mother	xxx ?			benjamin	M	mother
CHI	Benjamin Target_Child	I don't want one (30.) .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	it's only a xxx made up dragon .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	and the xxx .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	and this car (17.) .			benjamin	M	Target_Child
MOT	Mother	xxx (7.) .			benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! car noises			benjamin	M	Target_Child
CHI	Benjamin Target_Child	he [= toy car] stops .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	and he [= toy car] goes (5.) .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	Mummie (3.) .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	I be lucky .	%com: has blue sun glasses on . asks why the things he can see through them are pink . he's got the color name wrong		benjamin	M	Target_Child
CHI	Benjamin Target_Child	what will they have ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (.) is that pink ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	is it ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	why they pink ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	with my glasses on .			benjamin	M	Target_Child
MOT	Mother	&=laughs .			benjamin	M	mother
MOT	Mother	blue .			benjamin	M	mother
MOT	Mother	you nitwit (3.) .			benjamin	M	mother
MOT	Mother	you are a xxx .	%com: benjamin is pretending the sun glasses are racing drivers goggles		benjamin	M	mother
CHI	Benjamin Target_Child	hello .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	is there a letter in here [= envelope] ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	is there ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	what is it ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	can I bend it (2.) ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	Mummie can I bend it ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	shall I bend this ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	Mum can I bend this ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	isn't there anything <in here> [//] in there (4.) ?	%com: takes Mother by surprise by coming up close to her suddenly		benjamin	M	Target_Child
MOT	Mother	xxx .			benjamin	M	mother
MOT	Mother	right on you .			benjamin	M	mother
MOT	Mother	what's this called ?	%com: mock threat to punish him		benjamin	M	mother
CHI	Benjamin Target_Child	fives .			benjamin	M	Target_Child
MOT	Mother	where do they land ?			benjamin	M	mother
MOT	Mother	on you +/.			benjamin	M	mother
CHI	Benjamin Target_Child	++ titties .			benjamin	M	Target_Child
MOT	Mother	no .			benjamin	M	mother
MOT	Mother	on you (4.) +/.			benjamin	M	mother
MOT	Mother	++ nose .			benjamin	M	mother
MOT	Mother	0 [=! noise			benjamin	M	mother
MOT	Mother	no you didn't hurt .			benjamin	M	mother
MOT	Mother	you didn't hurt .			benjamin	M	mother
MOT	Mother	you big bully .			benjamin	M	mother
MOT	Mother	get off [= her lap] .			benjamin	M	mother
CHI	Benjamin Target_Child	no .			benjamin	M	Target_Child
MOT	Mother	you're (1.) revolting .			benjamin	M	mother
CHI	Benjamin Target_Child	a mike ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	a mike ?			benjamin	M	Target_Child
CHI	Benjamin Target_Child	in his own car ?			benjamin	M	Target_Child
MOT	Mother	hm: ?			benjamin	M	mother
CHI	Benjamin Target_Child	Mummie (6.) .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	mom can you come upstairs with me ? ?			benjamin	M	Target_Child
MOT	Mother	no .			benjamin	M	mother
MOT	Mother	go on with you .			benjamin	M	mother
CHI	Benjamin Target_Child	no .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	I don't want to go upstairs on my own .			benjamin	M	Target_Child
MOT	Mother	look you're going to be three on Friday .			benjamin	M	mother
MOT	Mother	and that's big (2.) .			benjamin	M	mother
MOT	Mother	that's big [>] .			benjamin	M	mother
CHI	Benjamin Target_Child	xxx [<] .			benjamin	M	Target_Child
CHI	Benjamin Target_Child	three (i)s not big .			benjamin	M	Target_Child
