%mor:	det:art|un&m&sg n|deux&m n|trois&m
%mor:	v|tenir-IMP&2s pro:dem|ça pro:refl|se re#v|mettre-PRES&3s prep|en
	pro:sub|on v:mdl|aller&PRES&3s v|regarder-INF
%mor:	pro:sub|il v:mdl|falloir&PRES&3s det:art|le&m&sg
%mor:	co|hein ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas adv|comment pro:sub|on
	pro:obj|le v|prononcer-PRES&SUB&13s
%mor:	?|hihé pro:sub|on v:mdl|aller&PRES&3s v|dire-INF co|hein
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF
%mor:	?|hihéhi
%mor:	co|voilà pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|crabe&m
	n|hawaïen&m
%mor:	co|ouille
%mor:	co|ouille
%mor:	co|ouille co|ouille co|ouille
%mor:	co|ouh co|la co|la
%mor:	adv|mais v|dire-PRES&PASS&12s adv|donc ?|hihé adv:place|là
%mor:	?|hihé ?|hihé
%mor:	co|ouille co|ouille co|ouille ?|hihé
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|luire&PP&m pro:int|qui
	pro:obj|me$v:poss|avoir&PRES&3s part|faire-PP&m det:art|un&m&sg
	n|trou&m co|hein
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|luire&PP&m pro:int|qui
	v:aux|avoir&PRES&3s part|faire-PP&m det:art|un&m&sg n|trou&m
	prep|dans det:poss|mon&m&sg n|pantalon&m
%mor:	co|ah co|ben v|dire-PRES&PASS&12s part|luire&PP&m prep|de
	v|rentrer-INF prep|chez pro:ind|lui co|hein n|si&m pro:sub|il
	part|faire-PP&m prep|de&les n|trou&m-PL prep|dans det:poss|mon&m&sg
	n|pantalon&m
%mor:	co|ah co|ben co|non=no
%mor:	adv|heureusement pro:sub|il pro:y|en part|faire-PP&m neg|pas
	adv|partout
%mor:	co|ouille co|ouille co|ouille
%mor:	conj|et pro:sub|il v:mdl|aller&PRES&3s prep|sur det:art|le&m&sg
	n|bateau&m
%mor:	co|ohlàlà pro:dem|ce$v:aux|être&PRES&3s adv|trop adj|petit&m
%mor:	co|oh co|oh co|oh co|poum co|plouf
%mor:	n|comment&m pro:dem|ça n|marche&f ?
%mor:	conj|et prep|en adv|plus pro:dem|ça n|marche&f adj|même&m=same
	neg|pas adv|comme pro:dem|ça det:art|un&m&sg n|crabe&m
%mor:	conj|et n|si&m pro:dem|ça n|marche&f adv|comme pro:dem|ça
	det:art|un&m&sg n|crabe&m
%mor:	conj|et n|si&m pro:dem|ça n|marche&f prep|sur det:art|le&m&sg
	n|côté&m
%mor:	pro:dem|ça n|marche&f prep|sur det:art|le&m&sg n|côté&m
	det:art|les&pl n|crabe&m-PL
%mor:	part|taire-PP&m pro:obj|le$v|adorer-PRES&SUB&2s ?
%mor:	det:poss|ton&m&sg n|crabe&m part|adorer-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|crabe&m prep|de
	n|terre&f pro:dem|ça
%mor:	adv|si pro:sub|je v|croire&PRES&12s adv|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|crabe&m prep|de
	n|terre&f pro:dem|ça
%mor:	co|ben n|si&m pro:dem|ça v|voir&PASS&3s neg|pas prep|dans
	det:art|le$n|eau&f pro:dem|ça
%mor:	co|mh
%mor:	pro:sub|je v|croire&PRES&12s prep|que det:art|les&pl n|crabe&m-PL
	adj|rouge-PL adv|comme pro:dem|ça
%mor:	det:art|le&m&sg v|mettre-INF prep|dans det:art|la&f&sg n|mer&f=sea
	?
%mor:	adv:int|pourquoi part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le
	v|mettre-INF prep|dans det:art|la&f&sg n|mer&f=sea ?
%mor:	pro:sub|il v:aux|être&FUT&3s adv|tout part|mouiller-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|peluche&f
	pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|faux&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|vrai&m ?|hihé
%mor:	co|oui=yes pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:poss|son&m&sg
	n|passeport&m n|hawaïen&m pro:int|que$v:aux|être&PRES&3s pro:dem|ce
	pro:rel|que$pro:sub|ils v|dire-PRES&SUB&3p ?
%mor:	det:art|les&pl n|enfant-PL pro:sub|ils v|jouer-PRES&3p ?
%mor:	pro:sub|ils v|jouer-PRES&3p prep|avec det:art|les&pl n|crabe&m-PL
%mor:	co|ben
%mor:	co|non=no n|casse&f neg|pas pro:dem|ça
%mor:	det:art|le&m&sg v|arracher-IMP&2s neg|pas
%mor:	part|taire-PP&m v|croire&PRES&12s adv|que pro:dem|ça
	v:aux|avoir&PRES&3s prep|de&les n|poil&m-PL det:art|les&pl
	det:art|les&pl n|crabe&m-PL prep|en part|faire-PP&m ?
%mor:	co|oui=yes ?
%mor:	pro:dem|ça v:aux|avoir&PRES&3s neg|pas prep|de n|poil&m-PL
	det:art|les&pl n|crabe&m-PL
%mor:	adv|ben v|dire-PRES&PASS&12s adv|donc conj|et co|ben n|écoute&f
	n|remarque&f dé#v|fouler-IMP&2s pro|toi&sg ?|làdessus co|hein adv|si
	part|taire-PP&m v:mdl|vouloir&PRES&12s adv|mais
%mor:	co|ah co|bon pro:sub|il v:mdl|falloir&PRES&3s pro:rel|que
	part|taire-PP&m det:art|le&m&sg n|change&m-PL ?
%mor:	det:art|un&m&sg n|roi&m pro:int|qui v:aux|avoir&PRES&3s n|plein&m
	prep|de n|caca&m=poopoo n|comment&m pro:dem|ça pro:refl|se
	v:mdl|faire-PRES&3s pro:dem|ça ?
%mor:	adv|quand adj|même&m=same pro:dem|ça pro:refl|se part|faire-PP&m
	neg|pas co|hein
%mor:	co|attention
%mor:	co|hop adv:place|là
%mor:	conj|et part|taire-PP&m n|peu&m-PL ?|peutêtre pro:ind|lui
	v:mdl|faire-INF v:mdl|faire-INF prep|de&le n|cheval&m&sg adv|aussi
	adv|après
%mor:	co|bah n|change&m det:art|le&m&sg adv|d'abord n|oui&m adv|parce
	adv|que
%mor:	co|ouf
%mor:	co|allez part|taire-PP&m det:art|le&m&sg n|mets&m ?|làdessus
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:exist|être&PRES&3s adj|vrai&m
%mor:	co|euh pro:sub|je n|remarque&f prep|que co|hein pro:sub|on
	v:mdl|savoir&PRES&3s n|tout&m prep|de n|suite&f pro:int|qui co|hein
%mor:	adv|alors
%mor:	pro:sub|on v:mdl|aller&PRES&3s part|luire&PP&m pro:sub|il
	v:aux|avoir&PRES&3s det:art|une&f&sg n|couche&f prep|à&le n|moins&m
	pro:sub|je$v|espérer-PRES&SUB&13s co|hein
%mor:	pro:sub|on part|luire&PP&m v|enlever-IMP&2s det:poss|son&m&sg
	n|pantalon&m
%mor:	co|ah co|oui=yes adv|heureusement adv|parce adv|que
%mor:	v:mdl|falloir&IMPF&3s v|demander-INF co|hein
%mor:	co|hein
%mor:	co|bon
%mor:	pro:sub|on v|prendre-PRES&3s pro|une&f&sg
%mor:	pro:refl|se$v|essuyer-INF=dry
%mor:	adv:place|voilà
%mor:	part|taire-PP&m pro:obj|me v|donner-PRES&SUB&2s det:art|une&f&sg
	n|couche&f n|propre ?
%mor:	co|merci
%mor:	v:mdllex|aller&PRES&2p pro:sub|on v|lever-PRES&SUB&13s
	det:art|les&pl n|fesse&f-PL
%mor:	co|couic co|couic
%mor:	pro:sub|on part|luire&PP&m re#v|mettre-PRES&3s det:poss|son&m&sg
	n|pantalon&m ?
%mor:	adv|mais v|arrêter-PRES&SUB&13s prep|de v|bouger-INF ?|babar
	adv:place|là
%mor:	co|ah
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	co|ah co|bon
%mor:	pro:sub|il pro:refl|se v|sentir-PRES&3s n|mieux&m
	pro:sub|je$v:aux|avoir&PRES&1s det:art|le$n|impression&f co|hein
%mor:	co|oh
%mor:	adv|comment pro:sub|il part|faire-PP&m n|pipi&m=peepee ?
%mor:	co|non=no
%mor:	cm|cm v:mdl|falloir&PRES&3s re#v|commencer-INF ?
%mor:	?|babar part|taire-PP&m v|commencer-PRES&SUB&2s prep|à
	v:aux|être&INF adj|grand&m part|maintenir-PPRE co|hein adv|alors
	part|taire-PP&m v:mdllex|pouvoir&COND&12s v|demander-INF prep|à
	v:mdl|aller&INF v:mdl|faire-INF prep|à&les n|w_c&m=w_c
%mor:	co|oui=yes n|mai&m-PL pro:sub|je$v:poss|avoir&PRES&1s
	part|oublier-PP&m
%mor:	co|bon
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|enlever-INF det:poss|ton&m&sg
	n|pantalon&m
%mor:	co|oh co|ben n|oui&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s v:mdl|faire-PRES&12s
	n|pipi&m=peepee
%mor:	co|bon
%mor:	co|hop
%mor:	pro:sub|on v|jeter-PRES&SUB&13s det:art|la&f&sg n|couche&f
%mor:	pro:sub|on v|nettoyer-PRES&SUB&13s
%mor:	part|taire-PP&m pro:obj|me v|donner-PRES&SUB&2s det:art|une&f&sg
	pro|autre&sg n|couche&f adv|si pro:sub|il pro:obj|te
	v|plaire-PRES&3s
%mor:	co|oh part|taire-PP&m v:aux|avoir&PRES&2s part|taire-PP&m
	v:aux|avoir&PRES&2s part|finir-PP&m adv|maintenant co|hein
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s conj|plus co|hein
%mor:	co|couic co|couic
%mor:	pro:sub|on re#v|prendre-PRES&3s det:art|le&m&sg n|pantalon&m
%mor:	adv:place|voilà
%mor:	co|ah
%mor:	co|oh adv|ben part|taire-PP&m v:poss|avoir&COND&12s neg|pas
	part|pouvoir&PP&m&sg det:art|le&m&sg n|dire&m prep|avant
	v:aux|avoir&PRES&3s re#part|mettre-PP&m det:art|la&f&sg n|couche&f
	conj|et det:art|le&m&sg n|pantalon&m
%mor:	part|taire-PP&m part|luire&PP&m v|laver-PRES&SUB&2s det:art|la&f&sg
	n|figure&f
%mor:	conj|et pro:obj|la v|tromper-PRES&SUB&13s adv|bien det:art|la&f&sg
	n|trompe&f v:mdl|falloir&PRES&3s adv|bien
%mor:	adv:place|voilà
%mor:	det:art|les&pl n|oreille&f-PL
%mor:	conj|et adv:place|derrière det:art|les&pl n|oreille&f-PL
%mor:	co|bah co|oui=yes co|hein v:mdl|falloir&PRES&3s adv|toujours
	adj|bien v|regarder-INF adv:place|derrière det:art|les&pl
	n|oreille&f-PL
%mor:	co|ah co|oui=yes det:art|la&f&sg n|couronne&f v:mdl|falloir&PRES&3s
	pro:obj|le$v|astiquer-INF v:mdl|falloir&PRES&3s
	pro:rel|que$pro:sub|elle v|briller-PRES&SUB&13s co|hein
%mor:	adv:place|voilà
%mor:	pro:rel|que$pro:sub|elle adv|soit n|bien&m adj|joli&f
%mor:	adv:place|voilà
%mor:	prep|de&les n|bougie&f-PL ?
%mor:	co|ah co|ben co|non=no adv|mais pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s v|finir-PASS&3s pro:dem|ça co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s v|finir-PASS&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg num|huit n|décembre&m
	conj|et adv|puis pro:dem|ce$v:aux|être&PRES&3s qn|plus adv|après
%mor:	adv|après pro:sub|il v:mdl|falloir&PRES&3s v|attendre-INF
	det:art|un&m&sg n|an&m
%mor:	co|hein
%mor:	pro:sub|on pro:obj|le$v:poss|avoir&PRES&3s v:mdl|faire-PRES&3s
	num|deux n|fois&f prep|en adv|plus det:dem|cette&f&sg n|année&f
%mor:	pro:sub|on v:aux|avoir&PRES&3s part|faire-PP&m prep|à ?|chaley
	conj|et adv|aussi ?
%mor:	conj|et adv|puis pro:sub|on v:aux|avoir&PRES&3s part|faire-PP&m
	adv|aussi
%mor:	conj|et prep|à ?|lyon
%mor:	adv|alors adv|déjà pro:dem|ce$v:aux|être&PRES&3s
%mor:	co|bah n|si&m
%mor:	adv|si pro:sub|on v:aux|avoir&PRES&3s part|faire-PP&m
%mor:	co|ah co|ouais=yes
%mor:	co|ben n|oui&m
%mor:	pro:sub|on v:aux|avoir&PRES&3s neg|pas v:mdl|aller&INF prep|à
	pro:dem|celle&f&sg prep|de ?|lyon prep|à det:art|la&f&sg n|fête&f
	prep|de&les n|lumière&f-PL co|oui=yes
%mor:	pro:sub|il v:mdl|faire-IMPF&3s adv|trop adj|froid&m
%mor:	?|amé pro:sub|elle v:aux|avoir&IMPF&3s
