%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|marché&m adv:place|dessous ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|marché&m adv:place|dessous ?
%mor:	co|ohlàlà
%mor:	adv:place|là adv|aussi part|taire-PP&m v:aux|avoir&PRES&2s
%mor:	pro:sub|elle v:aux|être&PRES&3s part|tomber-PP&f ?
%mor:	re#v|mettre-IMP&2s det:art|la&f&sg
%mor:	co|non=no
%mor:	neg|pas adv|comme pro:dem|ça
%mor:	neg|pas adv|comme pro:dem|ça ?
%mor:	adv|comme pro:dem|ça
%mor:	adv|comme pro:dem|ça
%mor:	adv|comme pro:dem|ça adv|alors
%mor:	neg|pas adv|comme pro:dem|ça ?
%mor:	adv|comme pro:dem|ça ?
%mor:	adv|comme pro:dem|ça ?
%mor:	co|non=no ?
%mor:	adv|alors
%mor:	co|non=no neg|pas adv|comme pro:dem|ça
%mor:	adv|presque
%mor:	adv|mais pro:sub|il v:mdl|falloir&PRES&3s pro:obj|la
	v:mdl|faire-INF v|tourner-INF
%mor:	co|non=no neg|pas det:art|la&f&sg n|casquette&f
%mor:	adv|comme pro:dem|ça det:art|la&f&sg n|visière&f
%mor:	adv|comme pro:dem|ça adv|comme pro:dem|ça adv|comme pro:dem|ça
%mor:	adv|comme pro:dem|ça
%mor:	conj|et adv|comme pro:dem|ça part|taire-PP&m
	det:art|le$n|attrape&f-PL
%mor:	conj|et part|taire-PP&m det:art|la&f&sg n|mets&m prep|sur
	det:art|la&f&sg n|tête&f
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	adv:place|voilà
%mor:	adv:place|voilà
%mor:	adv|comme pro:dem|ça
%mor:	adv:place|voilà
%mor:	adv|très adv|bien
%mor:	adv|très adj|joli&m
%mor:	conj|et adv|après part|taire-PP&m v|répéter-PRES&SUB&2s prep|après
	pro|moi&sg
%mor:	v|regarder-IMP&2s pro|moi&sg
%mor:	?|to@seng ?|be@seng ?|or@seng ?|not@seng ?|to@seng ?|be@seng
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|dire-PRES&PASS&12s det:art|le&m&sg
%mor:	co|oui=yes
%mor:	?|that@seng ?|is@seng ?|the@seng ?|question@seng
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|dire-PRES&PASS&12s det:art|le&m&sg
%mor:	co|oui=yes
%mor:	conj|et pro|tout&m&sg prep|à det:art|la&f&sg n|fois&f ?
%mor:	?|to@seng ?|be@seng ?|or@seng ?|not@seng ?|to@seng ?|be@seng
%mor:	?|to@seng ?|be@seng ?
%mor:	co|non=no
%mor:	neg|pas chi|tobi
%mor:	?|to@seng ?|be@seng
%mor:	v:aux|être&INF conj|ou neg|ne neg|pas v:aux|être&INF ?|shakespeare
%mor:	co|non=no ?
%mor:	co|oh pro:sub|je v|croire&IMPF&12s
%mor:	pro:int|quoi ?
%mor:	co|ben n|oui&m pro:sub|je pro:ind|lui n|mets&m det:art|la&f&sg
	n|casquette&f prep|à det:poss|ton&m&sg n|doudou&m=blankie
%mor:	co|voilà adv|comme pro:dem|ça
%mor:	v:mdl|falloir&PRES&3s neg|pas part|luire&PP&m v|mettre-INF
	det:art|la&f&sg n|casquette&f prep|à&le n|doudou&m=blankie ?
%mor:	part|taire-PP&m part|luire&PP&m part|faire-PP&m prep|de&les
	n|guili&m-PL=tickling prep|dans det:art|les&pl n|oreille&f-PL ?
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v:mdl|faire-PRES&12s part|luire&PP&m prep|de&les
	n|guili&m-PL=tickling prep|dans det:art|les&pl n|oreille&f-PL
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|appuyer-IMP&2s
%mor:	co|ah part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m
%mor:	co|oh
%mor:	v|regarder-IMP&2s pro:sub|il v:aux|avoir&PRES&3s n|bobo&m=ouchie
	prep|à det:art|le$n|oreille&f
%mor:	det:art|le$pro|autre&sg
%mor:	conj|si det:art|le$pro|autre&sg n|oreille&f
%mor:	v|regarder-IMP&2s adv:place|là pro:sub|il v:aux|avoir&PRES&3s
	n|bobo&m=ouchie adv:place|là
%mor:	co|ohlàlà
%mor:	co|bravo
%mor:	pro|moi&sg adv|aussi co|ah pro|moi&sg adv|aussi pro:sub|il
	v:mdl|falloir&PRES&3s pro:rel|que pro:sub|je part|luire&PP&m
	v:mdl|faire-PRES&SUB&13s det:art|un&m&sg n|bisou&m
%mor:	adv:place|voilà
%mor:	adv|encore det:art|un&m&sg ?
%mor:	co|ah det:art|un&m&sg n|câlin&m=coaxing
%mor:	n|excuse&f pro|moi&sg
%mor:	co|oh pro:sub|on part|luire&PP&m v:aux|avoir&PRES&3s
	part|arracher-PP&m det:art|le&m&sg n|bras&m
%mor:	adv|si v|regarder-PRES&SUB&13s
%mor:	co|attention
%mor:	adv|encore ?
%mor:	co|ouh
%mor:	prep|à pro|toi&sg ?
%mor:	v|tirer-IMP&2s ?|làbas
%mor:	co|allez pro:dem|ça n|bouge&m
%mor:	co|ouh
%mor:	det:art|un&m&sg n|coup&m=blow prep|de$v|unir n|côté&m
%mor:	det:art|un&m&sg n|coup&m=blow prep|de det:art|le$pro|autre&sg
%mor:	conj|et adv:place|là prep|dans det:art|le$n|oreille&f
%mor:	co|ouh
%mor:	conj|et prep|sur det:art|le&m&sg n|bout&m prep|de&le n|nez&m
%mor:	on|atchoume
%mor:	co|ah
%mor:	conj|et co|ben co|oui=yes part|taire-PP&m part|luire&PP&m n|mets&m
	det:art|les&pl n|doigt&m prep|dans det:art|le&m&sg n|nez&m
%mor:	pro:sub|il v|éternuer-PRES&SUB&13s adv|après
%mor:	on|atchoume
%mor:	co|atchoum
%mor:	co|allez
%mor:	pro:sub|il pro:obj|te part|faire-PP&m det:art|un&m&sg n|bisou&m
%mor:	conj|et adv:place|là ?
%mor:	part|taire-PP&m part|luire&PP&m v:mdl|faire-PRES&12s prep|de&les
	n|guili&m-PL=tickling adv:place|là ?
%mor:	co|oh
%mor:	adv:place|là
%mor:	conj|et adv:place|là ?|qu'estce adv|que pro:y|y v:aux|avoir&PRES&3s
	adv:place|là
%mor:	det:art|la&f&sg n|pile&f ?
%mor:	n|cochon&m n|gros&m n|bidon&m
%mor:	det:art|la&f&sg n|chanson&f
%mor:	co|bing co|bing
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s neg|pas adv|comme pro:dem|ça
	pro:rel|que$pro:sub|on part|faire-PP&m pro:obj|nous
%mor:	adv|comment pro:sub|on part|faire-PP&m ?
%mor:	?|qu'estce pro:rel|que$pro:sub|on part|dire-PP&m pro:obj|nous ?
%mor:	adv|encore n|maman&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s neg|pas adv:place|là n|maman&f
%mor:	pro:sub|elle part|faire-PP&m prep|de&les n|chose-PL=thing prep|que
	?|chl pro:sub|elle v:aux|avoir&PRES&3s adv|jamais pro:sub|elle
	v:aux|avoir&PRES&3s adv|jamais part|accrocher-PP&f
%mor:	pro:int|qui v|rire&FUT&3s n|aura&f
%mor:	adv|mais pro:sub|on part|dire-PP&m neg|pas pro:dem|ça pro:obj|nous
%mor:	?|qu'estce pro:rel|que$pro:sub|on part|dire-PP&m ?
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	pro:sub|on det:art|le&m&sg part|faire-PP&m n|tout&m det:art|les&pl
	num|deux ?
%mor:	part|taire-PP&m pro:obj|me n|tien&m-PL prep|par det:art|la&f&sg
	n|barbichette&f ?
%mor:	part|taire-PP&m pro:obj|me n|tien&m-PL prep|par det:art|la&f&sg
	n|barbichette&f
%mor:	part|taire-PP&m pro:obj|me n|tien&m-PL prep|par det:art|la&f&sg
	n|barbichette&f
%mor:	co|éh co|oh
%mor:	v|tenir-IMP&2s pro|moi&sg prep|par det:art|la&f&sg n|barbichette&f
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|me pro:obj|le
	v:mdllex|faire-INF ?
%mor:	part|taire-PP&m pro:obj|me det:art|le&m&sg v:mdl|faire-PRES&12s ?
%mor:	co|allez
%mor:	co|ben n|tien&m-PL pro|moi&sg
%mor:	adv|par det:art|la&f&sg n|barbichette&f det:art|le&m&sg n|premier&m
	prep|de pro:obj|nous n|deux&m pro:int|qui v|rire&FUT&3s n|aura&f
	pro|un&m&sg ?
%mor:	n|bisou&m
%mor:	n|tout&m adj|droit&m prep|dans det:art|le&m&sg ?
%mor:	n|cou&m
%mor:	pro:sub|on v:aux|être&PRES&3s adv:place|là pro|tous&m&pl
	det:art|les&pl num|deux pro:sub|on pro:refl|se
	v|regarder-PRES&SUB&13s prep|dans det:art|les&pl n|yeux&m
%mor:	co|non=no pro:sub|je$v:aux|avoir&PRES&1s neg|pas part|rigoler-PP&m
%mor:	co|non=no
%mor:	pro|toi&sg part|taire-PP&m v:aux|avoir&PRES&2s part|rigoler-PP&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|perdre-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v:aux|avoir&PRES&2s det:art|le&m&sg n|bisou&m
%mor:	co|oh part|taire-PP&m v:aux|avoir&PRES&2s det:art|le&m&sg n|bisou&m
	prep|dans det:art|la&f&sg n|cou&m
%mor:	det:art|le&m&sg n|bisou&m prep|dans det:art|le&m&sg n|cou&m
	det:art|le&m&sg n|bisou&m prep|dans det:art|le&m&sg n|cou&m
%mor:	co|oui=yes
%mor:	det:art|un&m&sg n|bisou&m prep|dans det:art|le&m&sg n|cou&m
%mor:	det:art|un&m&sg n|bisou&m prep|dans det:art|le&m&sg
%mor:	co|oh co|non=no
%mor:	prep|de&les n|grimace&f-PL adv|maintenant
%mor:	v:mdl|faire-PRES&12s v|voir&INF det:poss|ta&f&sg n|langue&f
%mor:	pro:sub|elle v:aux|être&PRES&3s n|tordu&f pro|toi&sg adv|aussi
%mor:	pro:sub|elle v:aux|être&PRES&3s adv|toute part|tordre-PP&f
	det:poss|ta&f&sg n|langue&f
%mor:	n|si&m
%mor:	co|ah co|non=no pro|moi&sg det:art|la&f&sg pro|mienne&f&sg
	v:aux|être&PRES&3s neg|pas n|tordu&f
%mor:	v:mdl|faire-PRES&12s v|voir&INF det:poss|ta&f&sg n|langue&f
	n|tordu&f
%mor:	co|ah co|bon
%mor:	co|non=no adv|mais n|mets&m neg|pas det:art|les&pl n|doigt&m-PL
	prep|dans det:art|la&f&sg n|bouche&f
%mor:	v|enlever-PRES&SUB&13s det:poss|tes&pl n|doigt&m-PL prep|de
	det:art|la&f&sg n|bouche&f
%mor:	v|attendre-IMP&2s
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|faire-PRES&12s prep|avec
	det:poss|tes&pl n|doigt&m-PL conj|ou part|taire-PP&m det:art|le&m&sg
	v:mdl|faire-PRES&12s prep|sans det:poss|tes&pl n|doigt&m-PL
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	v:mdl|faire-PRES&12s v|voir&INF det:poss|ta&f&sg n|langue&f
%mor:	v:mdl|faire-PRES&12s v|voir&INF det:poss|ta&f&sg n|langue&f
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|la&f&sg n|langue&f
	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg
	n|grimace&f
%mor:	n|an&m part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m
	det:poss|ton&m&sg n|nez&m
%mor:	co|ouh det:art|la&f&sg n|langue&f
%mor:	v:mdl|faire-PRES&12s co|la v:mdl|faire-IMP&2s pro:obj|la
	v|bouger-INF
%mor:	v:mdllex|faire-PRES&12s co|la v|tourner-INF
%mor:	conj|et v|tourner-INF adv|comme pro:dem|ça
%mor:	co|ah co|non=no part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s
	?|peutêtre neg|pas n|tordu&f pro|toi&sg co|hein
%mor:	co|ouais=yes
%mor:	part|taire-PP&m v:aux|être&PRES&2s n|bien&m det:poss|ma&sg
	n|fille&f
%mor:	adv|parce prep|que ?|pa n|papi&m pro:sub|il det:art|la&f&sg
	part|faire-PP&m v|tourner-INF ?|chl det:art|la&f&sg part|faire-PP&m
	v|tourner-INF det:poss|sa&f&sg n|maman&f det:art|la&f&sg
	part|faire-PP&m v|tourner-INF
%mor:	pro|toi&sg adv|aussi ?
%mor:	adv:place|là
%mor:	pro:sub|je v|croire&PRES&12s pro:rel|que$pro:sub|il
	v:mdl|falloir&PRES&3s v|appuyer-INF prep|entre det:art|les&pl
	n|patte&f-PL prep|pour re#v|démarrer-INF=start
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:sub|elle v:aux|avoir&PRES&3s part|dire-PP&m n|bonjour&m
%mor:	n|pendu&m-PL prep|à&le n|plafond&m
%mor:	v|tirer-IMP&2s part|luire&PP&m det:art|la&f&sg n|queue&f
%mor:	prep|de&les n|oeuf&m-PL
%mor:	co|ah adv|combien part|taire-PP&m v:mdl|vouloir&PRES&12s
	prep|de&les n|oeuf&m-PL ?
%mor:	det:art|un&m&sg n|deux&m conj|ou num|trois
%mor:	det:art|la&f&sg n|queue&f ?
%mor:	co|ah
%mor:	co|ah pro:sub|je v:mdl|savoir&PRES&12s neg|pas conj|si$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s det:gen|quelque n|chose=thing prep|dans
	det:art|la&f&sg n|queue&f
%mor:	co|non=no
%mor:	pro:sub|je v|croire&IMP&2s pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s n|rien&m prep|dans det:art|la&f&sg n|queue&f
%mor:	co|non=no
%mor:	co|ah n|bien&m adv|que
%mor:	adv|finalement pro:sub|je v|croire&PRES&12s pro:rel|que$pro:y|y
	v:aux|avoir&PRES&3s det:gen|quelque n|chose=thing
%mor:	num|trois n|an&m-PL prep|après pro:sub|je$v:aux|avoir&PRES&1s
	n|découvert&m det:gen|quelque n|chose=thing
%mor:	co|ah co|oui=yes
%mor:	adv|mais pro:y|y v:aux|avoir&PRES&3s neg|pas det:art|les&pl
	n|oeuf&m-PL
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|dire-PP&m
	pro:rel|que$pro:sub|il v|pondre-IMPF&3s prep|de&les n|oeuf&m-PL
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|où det:art|les&pl
	n|oeuf&m-PL ?
%mor:	co|ah co|oui=yes
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:gen|quelque
	n|chose=thing
%mor:	adv|d'accord
%mor:	?|qu'estce pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s
	part|oublier-PP&m ?
%mor:	co|atchoum ?
%mor:	v|allumer-INF v|éteindre-INF
%mor:	conj|et adv:place|là ?
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s part|luire&PP&m v:mdl|faire-INF
	prep|de&les n|guili&m-PL=tickling prep|entre det:art|la&f&sg
	n|patte&f adv:place|là prep|à&le n|milieu&m
%mor:	adv:place|là ?
%mor:	n|guili&m=tickling prep|dans det:art|les&pl n|oreille&f-PL
%mor:	co|ouh
%mor:	n|guili&m=tickling n|guili&m=tickling
%mor:	co|oh
%mor:	pro:int|quoi ?
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s neg|pas ?
%mor:	pro:dem|ça n|marche&f neg|pas ?
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	co|hum co|ah n|oreille&f-PL
%mor:	co|la
%mor:	v|tenir-IMP&2s part|luire&PP&m det:art|la&f&sg n|main&f
%mor:	pro:sub|on pro:y|y v:mdl|aller&PRES&3s
%mor:	pro:sub|on v|tourner-PRES&SUB&13s
%mor:	det:art|une&f&sg n|main&f
%mor:	prep|à pro|moi&sg
%mor:	co|la co|la sing|la
%mor:	co|oh pro:sub|il v:aux|avoir&PRES&3s part|finir-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|finir-PP&m
%mor:	v:mdl|falloir&PRES&3s re#v|commencer-INF
%mor:	pro:dem|ça v:mdl|devoir&PRES&3s neg|pas v:aux|être&INF
	det:art|la&f&sg adj|bon&f n|oreille&f
%mor:	v|essayer-PRES&SUB&13s det:art|le$pro|autre&sg n|oreille&f
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|peutêtre neg|pas
	det:art|le$n|oreille&f prep|de n|façon&f
%mor:	co|ben co|euh
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas pro:dem|ça
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	v|attendre-IMP&2s pro:sub|je n|mets&m det:art|les&pl n|doigt&m-PL
%mor:	v|attendre-IMP&2s v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:sub|je v|mettre-PRES&12s det:poss|mon&m&sg adj|petit&m
	n|doigt&m pro|moi&sg adv|quand adv|même
%mor:	co|ah n|si&m
%mor:	adv|vite det:art|la&f&sg n|main&f
%mor:	co|ah pro:sub|il conj|si$v:aux|être&PRES&3s n|arrêté&m
%mor:	co|ah co|oui=yes pro:dem|ce$v:exist|être&PRES&3s conj|quand
	pro:sub|on v|tirer-PRES&SUB&13s det:art|le&m&sg n|bras&m
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s neg|pas adv|tout v|tirer-INF
	prep|à det:art|la&f&sg n|fois&f
%mor:	det:art|les&pl adj|petit&f-PL n|marionnette&f-PL prep|ainsi
	v:mdllex|faire-PRES&3p v:mdl|faire-PRES&3p v:mdl|faire-PRES&3p
	n|trois&m adj|petit&m-PL n|tour-PL conj|et adv|puis
	pro:refl|se$pro:y|en v:mdl|aller&PRES&3p
%mor:	co|oui=yes
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|finir-PP&m
%mor:	adv|encore ?
%mor:	adj|pendant&m=pending prep|que det:art|le&m&sg n|loup&m pro:y|y
	v:aux|être&PRES&3s neg|pas adv|si det:art|le&m&sg n|loup&m pro:y|y
	v:aux|être&IMPF&3s pro:sub|il pro:obj|nous v|manger-COND&3s adv|mais
	adv|comme pro:sub|il neg|ne pro:y|y
%mor:	co|ah pro:sub|on v:aux|avoir&PRES&3s part|tirer-PP&m
	det:art|le$n|oreille&f
%mor:	conj|et co|ouais=yes prep|dès pro:rel|que$pro:sub|on
	v|tirer-PRES&SUB&13s
%mor:	co|euh pro:sub|on v:aux|avoir&PRES&3s neg|pas part|tirer-PP&m
	det:art|le$n|oreille&f n|mai&m-PL prep|dès pro:rel|que$pro:sub|on
	v|tirer-PRES&SUB&13s
%mor:	conj|et ?|cellelà part|taire-PP&m det:art|la&f&sg
	v|connaître-PRES&IMP&12s prep|de n|chanson&f ?
%mor:	co|oui=yes ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	co|ah
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|tirer-PP&m prep|sur
	det:poss|son&m&sg n|bras&m
%mor:	conj|et adv:place|voilà
%mor:	pro:y|y v:aux|avoir&PRES&3s qn|plus prep|de n|musique&f adv|quand
	pro:sub|on v|tirer-PRES&SUB&13s prep|sur det:art|le&m&sg n|bras&m
%mor:	co|ah
%mor:	co|oh ?|cellelà pro:sub|elle pro:obj|me part|dire-PP&m n|rien&m
	prep|de n|musique&f
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	v|attendre-IMP&2s
%mor:	n|laisse&f pro|moi&sg v|écouter-INF ?|cellelà
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:dem|celle&f&sg
	pro:int|qui
%mor:	pro:sub|on v:aux|avoir&PRES&3s part|tirer-PP&m prep|sur
	det:art|le&m&sg n|bras&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de det:art|la&f&sg n|faute&f
	prep|à pro:rel|qui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ma&sg n|faute&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ta&f&sg n|faute&f ?
%mor:	co|bon prep|à&le n|milieu&m adv|alors
%mor:	n|pendant&m prep|que det:art|le&m&sg n|loup&m neg|ne pro:y|y
	v:aux|être&PRES&3s neg|pas
%mor:	v|tourner-IMP&2s
%mor:	n|bébé&m
%mor:	prep|à n|côté&m ?
%mor:	adv|d'accord
%mor:	v|mettre-IMP&2s det:art|le&m&sg prep|à n|côté&m
%mor:	re#v|mettre-IMP&2s det:art|le&m&sg prep|en n|marche&f
%mor:	v|mettre-IMP&2s det:art|le&m&sg n|doigt&m prep|dans
	det:art|le$n|oreille&f
%mor:	prep|sans n|rien&m n|toucher&m prep|de$pro|autre&sg
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|essayer-IMP&2s
%mor:	co|oh pro:dem|ce$v:aux|être&PRES&3s pro|chacun&m&sg
	det:poss|son&m&sg n|tour
%mor:	co|ah
%mor:	pro:sub|je co|la v|connaître-PRES&IMP&12s neg|pas ?|cellelà
%mor:	part|taire-PP&m det:art|la&f&sg v|connaître-PRES&IMP&12s
	det:dem|cette&f&sg n|chanson&f ?
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|apprendre-PP&f
	prep|à det:art|le$n|école&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	adv|combien pro:y|en v:mdl|vouloir&PRES&2p pro:obj|vous
%mor:	pro:sub|je v|croire&PRES&12s adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça
%mor:	co|oh re#v:mdl|faire-PRES&12s det:art|le&m&sg
%mor:	co|oui=yes
%mor:	pro:sub|je$v|attendre-IMP&2s
%mor:	part|taire-PP&m part|luire&PP&m v:aux|avoir&PRES&2s part|faire-PP&m
	n|bobo&m=ouchie ?
%mor:	n|si&m
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|dire-PP&m
	pro:sub|je$v:aux|avoir&PRES&1s det:art|un&m&sg adj|petit&m
	n|bobo&m=ouchie
%mor:	?|qu'estce pro:int|qui v:aux|avoir&PRES&3s
%mor:	part|taire-PP&m v:aux|être&PRES&2s pro:int|où ?|ana ?
%mor:	co|oh
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdllex|faire-IMP&2s ?
%mor:	det:art|le&m&sg adj|petit&m n|chaperon&m adj|rouge ?
%mor:	conj|et pro:dem|celui&pl co|la adv:place|là
%mor:	part|taire-PP&m det:art|les&pl v:aux|avoir&PRES&2s part|lire-PP&m
	pro:dem|celui&pl co|la ?
%mor:	pro:dem|celui&pl adv|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|prendre-PP&m prep|à det:art|la&f&sg n|bibliothèque&f n|hier&m
%mor:	pro:dem|celui&pl det:art|la&f&sg ?
%mor:	co|oui=yes
%mor:	co|oh co|oui=yes
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&3s part|prendre-PP&m
	adv|beaucoup
%mor:	co|oui=yes
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s ?|celuilà
%mor:	?|tchoupi
%mor:	?|tchoupi
%mor:	part|taire-PP&m det:art|le&m&sg n|lis&m ?
%mor:	co|allez v:mdl|aller&PRES&2s pro:y|y
%mor:	n|lis&m det:art|le&m&sg adv:place|là
%mor:	n|comment&m pro:dem|ça co|non=no
%mor:	co|ah part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le pro:sub|tu
	v:mdl|vouloir&PRES&12s det:art|le&m&sg n|livre prep|de&le
	adj|petit&m n|chaperon&m adj|rouge
%mor:	adv|d'accord
%mor:	v|amener-IMP&2s det:art|le&m&sg ?|làbas
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|installer-IMP&2s pro|toi&sg
%mor:	co|ah co|bah co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le$n|essentiel&m
%mor:	part|taire-PP&m pro:obj|te n|mets&m adv:place|là conj|et
	part|taire-PP&m v|commencer-PRES&SUB&2s
%mor:	adv|d'accord ?
%mor:	part|taire-PP&m pro:obj|te n|mets&m adv:place|là prep|à&le
	n|milieu&m conj|et pro:sub|tu v|commencer-PRES&SUB&2s prep|sans
	pro|moi&sg
%mor:	pro:sub|je$v|arriver-IMP&2s
%mor:	pro:sub|ils v:aux|être&PRES&3p adv|trop adj|grand&m-PL
	det:dem|ces&m&pl n|collant&m-PL
%mor:	pro:sub|on v:mdl|aller&PRES&3s det:art|le&m&sg n|dire&m prep|à
	n|maman&f co|hein
%mor:	co|oh
%mor:	prep|à adv|bientôt pro:sub|il v:aux|avoir&PRES&3s part|dire-PP&m
%mor:	co|ah pro:sub|il conj|si$v:aux|être&PRES&3s n|endormi&m
%mor:	pro:sub|il v:mdllex|faire-PRES&3s co|dodo adv|maintenant
%mor:	co|oui=yes
%mor:	v:mdl|falloir&PRES&3s adv|bien pro:rel|que$pro:sub|il
	v:mdl|faire-PRES&SUB&13s co|dodo part|luire&PP&m adv|aussi
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s v:mdl|faire-PRES&12s co|dodo
	pro|toi&sg ?
%mor:	n|lapin&m adv|aussi pro:sub|il v:mdllex|faire-PRES&3s co|dodo ?
%mor:	adv|d'accord
%mor:	v|mettre-IMP&2s pro|toi&sg adv:place|là conj|et n|lis&m
	det:art|le&m&sg n|livre
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	part|taire-PP&m pro:obj|te n|pose&f-PL
%mor:	adv:place|voilà
%mor:	pro:int|quoi ?
%mor:	co|hein ?
%mor:	part|taire-PP&m pro:y|y v|arriver-PRES&SUB&2s neg|pas ?
%mor:	adv|mais adv|si part|taire-PP&m v:mdl|aller&PRES&2s pro:y|y
	v|arriver-INF
%mor:	co|oh
%mor:	prep|en adv|plus pro:sub|il v:exist|être&PRES&3s det:art|un&m&sg
	n|peu&m part|abîmer-PP&m=deteriorate
%mor:	co|non=no
%mor:	v|mettre-IMP&2s neg|pas adv|par adv:place|là det:art|la&f&sg
	n|main&f
%mor:	co|non=no
%mor:	adv|comme pro:dem|ça
%mor:	v:mdl|falloir&PRES&3s v|mettre-INF det:art|la&f&sg n|main&f
	prep|dans det:art|le&m&sg n|trou&m adj|noir&m
%mor:	adv:place|voilà
%mor:	part|taire-PP&m pro:obj|te$v|asseoir&PRES&SUB&2s
%mor:	v|venir-IMP&2s pro:obj|te$v|asseoir&INF adv:place|là
%mor:	v|venir-IMP&2s pro:obj|te$v|asseoir&INF v|entrer-IMP&2s
	det:art|le&m&sg ?|lap v|venir-PRES&12s adv:place|là
	pro:obj|te$v|asseoir&INF
%mor:	adv|presque
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui
	v|arriver-PRES&SUB&13s
%mor:	co|ohoh
%mor:	n|canaille&f=scoundrel ?
%mor:	v:mdl|faire-PRES&12s v|gaffer-IMP&2s pro:sub|elle
	v:aux|être&PRES&3s neg|pas prep|de adj|bon&m n|poil&m pro:dem|ce
	n|matin&m
%mor:	co|ouais=yes
%mor:	v:mdl|falloir&PRES&3s v:mdl|faire-INF co|attention adv|quand
	adj|même&m=same co|hein
%mor:	pro:sub|elle conj|si$v:aux|être&PRES&3s n|levé&f prep|de
	det:art|la&f&sg n|patte&f n|gauche&f
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:dem|ce
	pro:rel|que$pro:sub|elle pro:obj|me$v:poss|avoir&PRES&3s
	part|faire-PP&m pro:dem|ce n|matin&m n|canaille&f=scoundrel ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:dem|ce
