%mor:	adv|comme pro:dem|ça
%mor:	co|non=no ?
%mor:	co|non=no ?
%mor:	pro:sub|on pro:obj|le v|jeter-PRES&SUB&13s adv|alors
%mor:	co|bon pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF prep|dans
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s qn|plus adv|que num|deux
	?|làbas v|regarder-PRES&SUB&13s
%mor:	pro:sub|elles v:aux|être&PRES&3p prep|de det:gen|quelle&f&sg
	n|couleur&f ?|làbas ?
%mor:	pro:sub|elles v:aux|être&PRES&3p prep|de det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	conj|et co|oui=yes
%mor:	co|ah co|bah pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|encore
	adv:place|là v|tenir-IMP&2s
%mor:	prep|sur det:art|le&m&sg n|tapis&m adv|aussi
%mor:	adv|après pro:dem|ce$v:aux|être&PRES&3s part|finir-PP&m
%mor:	v|regarder-IMP&2s
%mor:	adv:place|là
%mor:	adv:place|voilà
%mor:	adv|alors
%mor:	pro:sub|on v|ranger-PRES&SUB&13s pro:dem|ça
%mor:	pro:sub|on n|joue&f prep|à pro:rel|quoi adv|maintenant ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	co|ouf
%mor:	v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m
	v|prendre-PRES&SUB&2s det:art|le&m&sg adj|petit&m n|marteau&m
	adv|puis det:art|le&m&sg adj|petit&m
%mor:	part|taire-PP&m v|apporter-PRES&SUB&2s det:art|le&m&sg adj|petit&m
	n|marteau&m adv:place|là ?
%mor:	adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s ?|tim
%mor:	co|ah co|bon
%mor:	co|bah part|taire-PP&m
%mor:	pro:sub|il n|manque&m prep|de&les n|morceau&m-PL co|hein adv|encore
	prep|à ?|cellelà
%mor:	co|éh co|éh
%mor:	det:art|une&f&sg n|voiture&f prep|de n|course&f ?
%mor:	co|hein ?
