%mor:	v|lâcher-IMP&2p pro|moi&sg n|papa&m
%mor:	co|non=no neg|pas det:art|les&pl n|pied&m-PL ?|ana
%mor:	neg|pas det:art|les&pl n|pied&m-PL neg|pas det:art|les&pl
%mor:	adv|mais co|non=no pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|bobo&m=ouchie pro:dem|ça
%mor:	pro:dem|ça neg|ne v:aux|avoir&PRES&3s n|rien&m prep|à v|voir&INF
	prep|avec det:art|la&f&sg n|peinture&f
%mor:	co|non=no
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|toucher-PP&m ?
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s n|tout&m adv|sec
%mor:	co|allez v|venir-IMP&2s
%mor:	co|oui=yes part|taire-PP&m v:aux|avoir&PRES&2s part|toucher-PP&m
%mor:	conj|et part|taire-PP&m v:aux|avoir&PRES&2s n|rien&m
	part|oublier-PP&m ?|ana ?
%mor:	adv:place|là
%mor:	conj|et part|taire-PP&m v:mdl|vouloir&PRES&12s
	pro:obj|te$v|habiller-INF adv:place|ici adv:place|là ?
%mor:	chi|walawa v|imiter-PRES&SUB&13s ?|ana
%mor:	co|éh part|taire-PP&m v:mdl|aller&PRES&2s part|luire&PP&m
	v:mdl|faire-INF adv|mal
%mor:	pro:sub|elle v:aux|avoir&PRES&3s v:aux|avoir&PP&m&sg adv|mal
	adv:place|là
%mor:	v|regarder-IMP&2s det:poss|sa&f&sg n|tête&f pro:sub|elle
	v:aux|avoir&PRES&3s part|cogner-PP&m n|parterre&m=flowerbed
%mor:	co|éh co|oh
%mor:	co|éh pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|comme
	det:art|le&m&sg n|cobaye&m pro:dem|ça
%mor:	v:mdl|falloir&PRES&3s v:mdl|faire-INF adv|doucement part|taire-PP&m
	v:mdl|aller&PRES&2s pro:obj|les v|casser-INF prep|sinon
%mor:	?|celleci ?
%mor:	part|taire-PP&m det:art|la&f&sg n|mets&m prep|dans det:art|la&f&sg
	n|voiture&f ?
%mor:	adv|alors pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|combien
	prep|de&les n|poupée&f-PL ?
%mor:	n|cinq&m n|six&m n|sept&m
%mor:	num|sept n|poupée&f-PL
%mor:	co|éh part|taire-PP&m part|luire&PP&m v:mdl|faire-PRES&12s neg|pas
	adj|mal&m&sg co|hein
%mor:	co|aïe co|aïe
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|entendre-PP&m
	?
%mor:	pro:sub|elle v:aux|avoir&PRES&3s part|crier-PP&m
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s neg|pas
	part|entendre-PP&m ?
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s neg|pas
	part|entendre-PP&m v|crier-INF ?
%mor:	pro:sub|elle v:aux|avoir&PRES&3s part|dire-PP&m co|aïe
%mor:	part|taire-PP&m pro:obj|me v:mdl|faire-PRES&12s adv|mal
	part|taire-PP&m pro:obj|me v:mdl|faire-PRES&12s adv|mal
%mor:	co|non=no ?
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s neg|pas
	part|entendre-PP&m
%mor:	n|comment&m pro:dem|ça pro:refl|se part|faire-PP&m ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|de&les n|bouchon&m-PL
	prep|dans det:art|les&pl n|oreille&f-PL ?
%mor:	v|asseoir&INF det:art|une&f&sg adv:place|là n|derrière&m ?
%mor:	adv:place|là v|regarder-PRES&SUB&13s
%mor:	prep|en v|asseoir&INF det:art|une&f&sg ?|peutêtre ?
%mor:	co|oui=yes adv|mais v|regarder-PRES&SUB&13s
%mor:	co|hop pro:dem|ça v|rentrer-PRES&SUB&13s
%mor:	co|ah ?|celleci
%mor:	pro:int|quoi ?
%mor:	pro:sub|elle v:aux|être&PRES&3s n|mieux&m ?
%mor:	pro:sub|elle v:aux|être&PRES&3s part|plaire-PP&m&pl adj|joli&f ?
%mor:	co|non=no pro:sub|on v|voir&PRES&3s neg|pas det:poss|sa&f&sg
	n|tête&f
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:poss|sa&f&sg
	n|tête&f ?
%mor:	co|ah v:mdl|falloir&COND&3s part|luire&PP&m v|mettre-INF
	det:art|un&m&sg n|chouchou&m=favorite adv|alors
%mor:	det:art|le&m&sg v|coiffer-INF
%mor:	det:art|une&f&sg n|couronne&f
%mor:	pro:sub|on pro:sub|on v:mdl|pouvoir&COND&3s part|luire&PP&m
	v|mettre-INF det:art|une&f&sg n|voiture&f prep|sur det:art|la&f&sg
	n|tête&f ?
%mor:	adv|alors pro:sub|on v:mdl|pouvoir&PRES&3s part|luire&PP&m
	v|mettre-INF pro:int|quoi prep|sur det:art|la&f&sg n|tête&f
%mor:	det:art|un&m&sg n|peigne&m
%mor:	prep|avec det:art|le&m&sg n|peigne&m adv|alors
%mor:	conj|ou det:art|la&f&sg n|brosse&f
%mor:	co|mm v|tenir-IMP&2s
%mor:	v|tenir-IMP&2s det:art|une&f&sg n|brosse&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|une&f&sg n|brosse&f
	pro:dem|ça ?
%mor:	co|oh co|zut pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|cheval&m&sg
%mor:	co|euh pro:dem|ça
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|bouteille&f
	pro:dem|ça
%mor:	co|euh co|mm pro:dem|ça
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	adv|alors co|euh
%mor:	pro:dem|ça
%mor:	det:art|un&m&sg n|cheval&m&sg ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	co|non=no pro:sub|on v:mdl|aller&PRES&3s
%mor:	co|ah det:art|une&f&sg n|licorne&f
%mor:	pro:dem|ça
%mor:	det:art|un&m&sg n|chien&m
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f co|hein
%mor:	conj|et adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chien&m ?
%mor:	prep|avec det:art|un&m&sg adj|petit&m n|kiki&m prep|dans
	det:art|les&pl n|cheveu&m-PL ?
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|un&m&sg
	n|chien&m adv|alors pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg
	n|fille&f
%mor:	co|mh co|non=no pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|garçon&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|garçon&m ?
%mor:	conj|et co|si pro:dem|ce$v:aux|être&IMPF&3s det:art|une&f&sg
	n|fille&f pro:sub|on pro:obj|le$v|appeler-COND&3s n|comment&m ?
%mor:	pro:dem|ce v:aux|être&COND&3s pro|une&f&sg ?
%mor:	det:art|une&f&sg adj|grand&f n|soeur&f
%mor:	co|non=no
%mor:	det:art|une&f&sg n|chien&f
%mor:	det:art|un&m&sg n|chien&m pro:dem|ce$v:exist|être&PRES&3s
	det:art|un&m&sg n|garçon&m det:art|une&f&sg n|chien&f
	pro:dem|ce$v:exist|être&PRES&3s det:art|une&f&sg n|fille&f
%mor:	co|éh n|si&m adv|si pro:sub|je pro:obj|te pro:obj|le
	v|dire-PRES&PASS&12s
%mor:	conj|et det:art|un&m&sg n|bébé&m n|chien&m
%mor:	pro:sub|on v|appeler-PRES&SUB&13s pro:dem|ça n|comment&m
	det:art|un&m&sg n|bébé&m n|chien&m ?
%mor:	n|bébé&m n|chien&m
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|oh det:art|une&f&sg n|brosse&f
%mor:	conj|ou det:art|un&m&sg n|peigne&m ?
%mor:	pro:sub|on v:aux|avoir&PRES&3s part|trouver-PP&m
%mor:	part|taire-PP&m det:art|la&f&sg v|voir&IMP&PRES&12s ?
%mor:	co|ah co|bon
