%mor:	adv|mais pro:sub|elles v:aux|avoir&PRES&3p det:art|le$n|air&m=air
%mor:	part|taire-PP&m n|montre&f-PL prep|à part|taire-PP&m n|montre&f-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas ?|kirikou pro:ind|lui
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|kirikou pro:dem|celui–ci ?
%mor:	adv|mais pro:sub|je v|croire&PRES&12s prep|que ?|kirikou pro:sub|il
	v:aux|être&PRES&3s prep|dans det:art|la&f&sg
	n|+n|salle+prep|de+n|bain
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je$v|ailler-PRES&SUB&13s pro:obj|le v|chercher-INF ?
%mor:	co|ah co|bon
%mor:	pro:sub|on pro:obj|le$v|enlever-IMP&2s adv|alors ?
%mor:	adv|d'accord
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF ?|kirikou ?
%mor:	co|oui=yes
%mor:	n|pendant&m pro:dem|ce n|temps&m pro:sub|tu v|chercher-PRES&SUB&2s
	det:art|un&m&sg pro|autre&sg n|habit&m prep|pour pro:ind|lui
%mor:	prep|dans det:art|la&f&sg n|valise&f
%mor:	co|non=no adv|mais part|taire-PP&m v:mdl|savoir&PRES&12s adv|bien
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|pantalon&m prep|de
	pro:rel|qui pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|pantalon&m prep|de
	adj|petit&m n|ours&m adj|brun&m conj|et adj|petit&m n|ours&m
	adj|brun&m pro:sub|il v:aux|être&PRES&3s adv|beaucoup adv|plus
	adj|petit&m prep|que det:art|le&m&sg n|bébé&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|trop adj|petit&m pro:dem|ça
	prep|pour det:art|le&m&sg n|bébé&m
%mor:	v:mdl|falloir&PRES&3s v|trouver-INF pro|autre&sg n|chose=thing
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF ?|kirikou
%mor:	pro:sub|je pro:obj|le$v|essuyer-IMP&2s=dry adv|parce
	pro:rel|que$pro:sub|il v:exist|être&IMPF&3s prep|dans
	det:art|la&f&sg n|douche&f
%mor:	pro:sub|il v:exist|être&PRES&3s det:art|un&m&sg adj|petit&m n|peu&m
	part|mouiller-PP&m
%mor:	co|allez v|venir-PRES&12s pro:sub|on v:mdl|aller&PRES&3s
	part|luire&PP&m v|mettre-INF det:poss|son&m&sg adj|beau&m&sg=pretty
	n|habit&m pro:sub|on v:mdl|aller&PRES&3s part|luire&PP&m
	v|mettre-INF det:poss|sa&f&sg adj|beau&f&sg=pretty n|robe&f
%mor:	adv|d'accord ?
%mor:	v|regarder-IMP&2s adv:place|devant pro|toi&sg
%mor:	neg|pas pro:obj|te v|cogner-INF
%mor:	co|allez v|venir-IMP&2s
%mor:	co|bah co|oui=yes v:mdl|falloir&PRES&3s v:mdl|faire-INF
	co|attention
%mor:	part|taire-PP&m v|connaître-PRES&IMP&12s part|taire-PP&m
	v|connaître-PRES&IMP&12s det:art|la&f&sg n|chanson&f prep|de
	?|kirikou ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|comment&m det:art|la&f&sg
	n|chanson&f prep|de ?|kirikou ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|tous&m&pl det:art|les&pl
	n|bébé&m-PL pro:int|qui v:aux|être&PRES&3p n|parterre&m=flowerbed
%mor:	co|ben co|oui=yes v|attendre-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|ramasser-INF ?|kirikou
%mor:	pro:sub|je pro:obj|le$v|habiller-PRES&SUB&13s adv|alors ?|kirikou ?
%mor:	co|oui=yes pro:sub|je$v|habiller-IMP&2s ?|kirikou
%mor:	co|ben part|taire-PP&m v|trouver-PRES&SUB&2s pro:rel|que$pro:sub|il
	v:aux|être&PRES&3s n|bien&m adv:place|là ?
%mor:	prep|avec det:poss|son&m&sg n|habit&m
%mor:	co|ben co|oui=yes pro:sub|elle pro:obj|me
	pro:obj|le$v:poss|avoir&PRES&3s part|chanter-PP&f pro:dem|ce
	n|matin&m
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s n|comment&m
	det:art|la&f&sg n|chanson&f ?
%mor:	?|kirikou neg|ne v:aux|être&PRES&3s neg|pas
%mor:	adv|mais pro:sub|il v:aux|être&PRES&3s
%mor:	adv|mais pro:sub|il v:aux|être&PRES&3s pro:int|quoi ?
%mor:	pro:sub|il v:aux|être&PRES&3s adj|vaillant&m=valiant
%mor:	?|kirikou neg|ne v:aux|être&PRES&3s neg|pas
%mor:	neg|ne v:aux|être&PRES&3s neg|pas pro:int|quoi ?
%mor:	co|hop
%mor:	pro:sub|on pro:obj|le v|déshabiller-PRES&SUB&13s adv|encore ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s pro:rel|ce–qui pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s part|écrire-PP&m adv:place|là prep|sur
	det:poss|sa&f&sg n|fesse&f ?
%mor:	pro:int|que$v:int|est–ce pro:int|qui pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s part|écrire-PP&m adv:place|là ?
%mor:	?|kirikou
%mor:	?|anaé adv|aussi ?
%mor:	pro:sub|on pro:obj|le v|déshabiller-PRES&SUB&13s ?
%mor:	adv|mais pro:sub|il v:mdl|aller&PRES&3s v:aux|avoir&INF n|froid&m
	co|non=no ?
%mor:	co|ben conj|et det:art|les&pl pro|autres&pl adv|aussi pro:sub|ils
	v:mdl|aller&PRES&3p v:aux|avoir&INF n|froid&m co|hein
%mor:	v:mdl|falloir&PRES&3s pro:obj|les v|habiller-INF adv|aussi
%mor:	det:poss|tes&pl pro|autres&pl n|bébé&m-PL
%mor:	adv|comment pro:sub|ils pro:refl|se$v|appeler-PRES&3p
	det:poss|tes&pl pro|autres&pl n|bébé&m-PL ?
%mor:	adv:int|comment pro:sub|ils pro:refl|se$v|appeler-PRES&3p
	det:art|les&pl n|bébé&m-PL pro:int|qui v:aux|être&PRES&3p prep|sur
	det:art|la&f&sg n|table&f ?
%mor:	conj|et part|taire-PP&m v|dire-PRES&PASS&12s prep|à ?|aliyah
	pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&IMPF&3s
	part|faire-PP&m ?|omer
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|faire-PP&m ?|omer det:art|le$pro|autre&sg n|jour&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|faire-PP&m prep|dans det:poss|ta&f&sg n|chambre&f ?
%mor:	pro:dem|ce$v:aux|être&IMPF&3s neg|pas adj|gentil&m co|hein
%mor:	co|ah adv|puis pro:sub|il v:aux|être&IMPF&3s n|gros&m prep|en
	part|plaire-PP&m&pl co|hein co|oh co|la co|la
%mor:	conj|et pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s part|faire-PP&m prep|dans det:art|la&f&sg
	n|cuisine&f ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|faire-PP&m det:art|une&f&sg
	adj|gros&f
%mor:	n|bêtise&f
%mor:	det:art|une&f&sg adj|gros&f n|bêtise&f
%mor:	pro:sub|il v:aux|avoir&PRES&3s adv|encore part|manger-PP&m
	det:art|le&m&sg n|mur&m
%mor:	co|ouais=yes
%mor:	conj|et det:dem|cette&f&sg n|nuit&f part|taire-PP&m
	v:mdl|savoir&PRES&12s pro:dem|ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s part|faire-PP&m det:dem|cette&f&sg n|nuit&f ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|attaquer-PP&m det:art|le&m&sg
	n|hérisson&m=hedgehog prep|dans det:art|le&m&sg n|jardin&m
%mor:	co|hum
%mor:	pro:dem|ce$v:exist|être&PRES&3s adj|vrai&m co|ouais=yes
%mor:	adv|que prep|à det:art|une&f&sg n|heure&f prep|de&le n|matin&m
	n|maman&f pro:sub|elle v:aux|être&PRES&3s n|allée&f v|sauver-INF
	det:art|le&m&sg n|hérisson&m=hedgehog
%mor:	co|ah co|pardon
%mor:	adv|mais v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|on
	v|chercher-PRES&SUB&13s prep|de&les n|habit&m-PL prep|pour
	det:art|les&pl pro|autres&pl
%mor:	adv|parce pro:rel|que$pro:sub|ils v:mdl|aller&PRES&3p
	v:aux|avoir&INF adj|froid&m v|regarder-IMP&2s pro:sub|ils
	v:aux|être&PRES&3p n|tout&m n|nu&m-PL
%mor:	co|ben
%mor:	co|non=no v|regarder-PRES&SUB&13s pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s prep|pour v|mettre-INF det:art|un&m&sg
	n|coussin&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|un&m&sg n|habit&m
	pro:dem|ça
%mor:	part|taire-PP&m n|mets&m det:art|la&f&sg n|couverture&f prep|pour
	det:art|les&pl n|bébé&m-PL ?
%mor:	part|taire-PP&m v|croire&PRES&12s pro:rel|que$pro:sub|on
	v|mettre-PRES&3s prep|sur det:art|la&f&sg n|tête&f det:art|la&f&sg
	n|couverture&f ?
%mor:	co|oh co|ben adv:place|là pro:sub|il v:mdl|aller&PRES&3s
	v:aux|avoir&INF n|bien&m adj|chaud&m
%mor:	pro:sub|il v:mdl|aller&PRES&3s neg|pas v|manger-INF det:poss|tes&pl
	fam|tété co|non=no
%mor:	pro:int|qui v:int|est–ce pro:int|qui v|manger-PRES&SUB&13s
	det:art|les&pl fam|tété ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|rose ?
%mor:	pro:sub|elle v|manger-PRES&SUB&13s det:art|les&pl fam|tété prep|de
	pro:rel|qui n|rose ?
%mor:	pro:sub|elle v|manger-PRES&SUB&13s det:art|les&pl fam|tété prep|de
	pro:rel|qui n|rose ?
%mor:	prep|de det:poss|sa&f&sg n|maman&f ?
%mor:	co|hum
%mor:	pro:int|qui ?
%mor:	?|léo ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui ?|léo ?
%mor:	adv|mais pro:sub|je v:mdl|savoir&PRES&12s neg|pas
	pro:dem|ce$v:exist|être&PRES&3s pro:int|qui ?|léo n|chéri&f ?
%mor:	det:art|le&m&sg n|livre prep|de ?|léo ?
%mor:	co|ah pro:sub|je neg|ne v:mdl|savoir&PRES&12s neg|pas
%mor:	part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|aliyah
	pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s prep|chez ?|véro
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdllex|faire-IMP&2s prep|chez ?|véro ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdllex|faire-IMP&2s prep|chez ?|véro ?
%mor:	prep|avec pro:rel|qui part|taire-PP&m v:aux|être&PRES&2s prep|chez
	?|véro ?
%mor:	?|timothée pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bébé&m ?
%mor:	v:int|est–ce adv|que part|taire-PP&m
	pro:obj|te$v|amuser-PRES&SUB&2s n|bien&m prep|avec ?|timothée ?
%mor:	det:art|les&pl adj|méchant&m-PL=evil pro:dem|ce$v:aux|être&PRES&3s
	det:art|les&pl n|bébé&m-PL ?
%mor:	co|oh pro:sub|il v:aux|être&PRES&3s adj|beau&m&sg=pretty
	det:poss|ton&m&sg n|tambour&m
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|gagner-PP&m
	pro:int|où ?
%mor:	part|taire-PP&m pro:sub|il$v:aux|avoir&PRES&2s part|gagner-PP&m
	prep|à det:art|la&f&sg n|pêche&f prep|à&les n|canard&m-PL=duck ?
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s
%mor:	co|oula co|attention
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:sub|on v|essayer-PRES&SUB&13s prep|de pro:ind|lui v|trouver-INF
	det:art|un&m&sg n|pantalon&m ?
%mor:	part|taire-PP&m pro:obj|me$v|aider-PRES&SUB&2s prep|à
	v|chercher-INF prep|dans det:art|la&f&sg n|valise&f ?
%mor:	co|oh
%mor:	part|taire-PP&m v:aux|être&PRES&2s part|partir-PP&f prep|avec
	co|euh prep|avec ?|brice co|euh prep|chez ?|brice prep|avec n|papa&m
	?
%mor:	part|taire-PP&m v:aux|être&PRES&2s part|partir-PP&f v|voir&INF
	n|rose prep|chez ?|brice ?
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|trouver-PP&m det:art|un&m&sg
	n|pantalon&m ?|anaé
%mor:	v|regarder-IMP&2s
%mor:	v|regarder-PRES&SUB&13s pro:dem|ça pro:y|y v:aux|être&PRES&3s
	pro:sub|il v:aux|être&PRES&3s n|tout&m adj|habillé&m
%mor:	adv|peut–être pro:sub|il v:mdl|pouvoir&PRES&3s v:mdl|aller&INF
	prep|à det:art|le$n|école&f
%mor:	pro:sub|on v:aux|être&PRES&3s part|aller&PP&m&sg prep|à
	det:art|le$n|école&f pro:obj|nous n|hier&m n|soir&m prep|pour
%mor:	?|anaé pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on
	v:aux|avoir&PRES&3s part|faire-PP&m prep|à det:art|le$n|école&f
	n|hier&m ?
%mor:	prep|à det:art|le$n|école&f adv|de ?|ael ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v:aux|être&PRES&3s
	part|aller&PP&m&sg v:mdl|faire-INF prep|à det:art|le$n|école&f
	adv|de ?|ael ?
%mor:	co|chut
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s v|donner-IMP&2s det:art|une&f&sg
	n|banane&f prep|à det:poss|ton&m&sg n|bébé&m
%mor:	pro:sub|il v:aux|avoir&PRES&3s n|faim&f
%mor:	pro:sub|on n|pose&f det:art|la&f&sg n|valise&f
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:mdl|aller&PRES&3s
	v|manger-INF adv|de pro|autre&sg v|regarder-PRES&SUB&13s
%mor:	co|oh n|raté&m
%mor:	adv|peut–être ?|anaé pro:sub|elle v:aux|être&PRES&3s prep|chez
	n|mamie&f prep|avec ?|anouk
%mor:	?|anaé v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v|montrer-INF prep|à ?|aliyah ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v|montrer-INF prep|à ?|aliyah pro:rel|ce–que n|papa&m pro:sub|il
	v:aux|avoir&PRES&3s part|faire-PP&m co|euh prep|devant
	det:art|la&f&sg n|chambre&f ?
%mor:	prep|dans det:art|le$n|escalier&m
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|faire-PP&m n|papa&m
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|faire-PP&m prep|de&le n|bois&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v|ailler-IMP&2s v|montrer-INF prep|à ?|aliyah ?
%mor:	pro:rel|où pro:dem|ça ?
%mor:	det:art|les&pl det:art|les&pl ?|d ?|v ?|d part|taire-PP&m
	v:mdl|vouloir&PRES&12s v|dire-INF ?
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s v|voir&INF det:art|les&pl ?|d ?|v
	?|d ?
%mor:	adv|mais ?|kirikou part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s
	part|regarder-PP&m adv|tout prep|à det:art|le$n|heure&f pro:sub|il
	v:aux|être&PRES&3s prep|sur co|la n|cheminée&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|comment&m det:art|le$n|histoire&f
	prep|de ?|kirikou ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|petit&m
	n|garçon&m ?|kirikou ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	co|ah adv|après pro:sub|on v|regarder-FUT&3s adv|après
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s pro:dem|ce$v:exist|être&PRES&3s
	pro:rel|qui pro:ind|lui ?
%mor:	n|scoubidou&m conj|et pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|il part|faire-PP&m n|scoubidou&m
	v|regarder-PRES&SUB&13s
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	prep|dans det:poss|son&m&sg n|panier&m ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s pro:int|quoi ?
%mor:	prep|de&les n|pomme&f-PL co|ouais=yes
%mor:	pro:sub|on v|regarder-IMP&2s co|han pro:rel|que$v:int|est–ce
	pro:int|que pro:dem|ce$v:aux|être&PRES&3s adv|que pro:dem|ça ?
%mor:	det:art|un&m&sg n|dinosaure&m pro:dem|ça part|faire-PP&m n|peur&f
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|peur&f ?
%mor:	co|ouais=yes ?
%mor:	adv|alors ?|scoubidoubidou
%mor:	co|oh n|mystère&m conj|et n|compagnie&f
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s n|plein&m prep|de
	n|messieur&m-PL=monsieur
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	adv|que pro:dem|ça ?
%mor:	det:art|le&m&sg n|laboratoire&m prep|de ?|véra
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro:rel|qui pro:dem|ce n|livre
	?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à ?|ael ?
%mor:	co|oh v|regarder-IMP&2s pro|tous&m&pl det:art|les&pl n|chien&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s
%mor:	conj|et pro:dem|ceux–là v|regarder-PRES&SUB&13s
%mor:	v:aux|être&PRES&3p adj|beau&m&pl=pretty v|dire-PRES&PASS&12s
	adv|donc
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chien&m co|oui=yes
%mor:	co|ouais=yes
%mor:	conj|et pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|montrer-INF det:art|les&pl
	chi|bubbies prep|à ?|aliyah
%mor:	conj|et pro:rel|que$v:int|est–ce pro:int|qui v:aux|être&PRES&3s
	part|dessiner-PP&m adv:place|dessus adv:place|là ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	pro:dem|ça v|briller-PRES&SUB&13s co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui det:dem|cette&f&sg
	n|dame&f=lady ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|sorcier&f
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s
	det:art|la&f&sg n|sorcier&f part|taire-PP&m pro:obj|te
	v|souvenir-IMP&2s ?
%mor:	co|non=no det:art|la&f&sg n|sorcier&f
	pro:dem|ce$v:exist|être&PRES&3s ?|karaba
%mor:	pro:sub|il v:mdl|devoir&PRES&3s v:aux|être&INF adj|juste prep|en
	adv:place|dessous
%mor:	co|attention
%mor:	adv|comment pro:sub|ils pro:refl|se$v|appeler-PRES&3p ?
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s det:poss|leurs&pl n|nom&m-PL
	prep|à ?|aliyah ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|tincky ?|wincky
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s det:art|le&m&sg n|nom&m
	prep|de&les pro|autres&pl ?
%mor:	adv|comment pro:sub|ils pro:refl|se$v|appeler-PRES&3p
	det:art|les&pl pro|autres&pl ?
%mor:	adv:int|comment pro:sub|ils pro:refl|se$v|appeler-PRES&3p
	det:art|les&pl ?|télétubbies ?
%mor:	co|attention part|taire-PP&m n|marche&f-PL prep|sur det:art|le&m&sg
%mor:	prep|sur ?|kirikou
%mor:	pro:dem|ce$v:aux|être&PRES&3s chi|zoba
%mor:	chi|zoba
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m adj|petit&m n|ours&m adj|brun&m prep|sur
	det:art|le&m&sg n|dessin&m ?
%mor:	co|non=no adv:place|là
%mor:	adv:place|là
%mor:	adv:place|là adv:place|là pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	pro:sub|il part|faire-PP&m prep|de&le n|roller&m=rollerskate
%mor:	pro:sub|il v|rouler-IMP&2s co|ouais=yes
%mor:	prep|avec pro:rel|qui pro:sub|il v:aux|être&PRES&3s prep|avec
	pro:rel|qui ?
%mor:	prep|avec pro:rel|qui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui adv:place|à–côté=aside
	prep|de adj|petit&m n|ours&m adj|brun&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|petit&f n|ourse&f adj|rousse&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|sa&f&sg n|copine&f
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s pro:dem|ça
	re#v|commencer-PRES&SUB&13s det:art|les&pl n|mouche&f-PL
	pro:dem|ce$v:exist|être&PRES&3s neg|pas n|possible&m
%mor:	adv|alors n|comment&m pro:sub|ils pro:refl|se$v|appeler-PRES&3p
	n|comment&m pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s
	det:art|le&m&sg adj|jaune ?
%mor:	co|non=no
%mor:	?|dipsy pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg adj|vert&m
%mor:	pro:sub|je v|voir&IMP&PRES&12s neg|pas
%mor:	pro:dem|celui–là det:art|le&m&sg n|violet&m
	pro:dem|ce$v:exist|être&PRES&3s ?|tincky
%mor:	?|tincky
%mor:	?|tincky ?|winky
%mor:	co|oh det:art|le&m&sg adj|rouge part|taire-PP&m det:art|le&m&sg
	v|connaître-PRES&IMP&12s
%mor:	co|oui=yes
%mor:	co|oui=yes
%mor:	?|aliyah
%mor:	conj|et pro:sub|ils v:aux|être&PRES&3p pro:int|où det:poss|tes&pl ?
%mor:	det:poss|tes&pl n|doudou&m-PL=blankie ?
%mor:	?|télétubbies
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	v|attendre-IMP&2s pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|un&m&sg n|poil&m prep|de pro:dem|ça v:mdl|devoir&PRES&3s
	v:aux|être&INF det:art|un&m&sg n|poil&m prep|de prep|de
	adj|beau&f&sg=pretty
%mor:	pro:sub|ils v:aux|être&PRES&3p prep|de det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	pro:sub|ils v:aux|être&PRES&3p adj|jaune-PL
%mor:	det:art|les&pl pro:int|quoi ?
%mor:	co|ben co|non=no pro:sub|il v:aux|être&PRES&3s adj|grand&m
	pro:sub|il v:aux|avoir&PRES&3s neg|pas n|besoin&m prep|de
	det:poss|sa&f&sg n|tétine&f
%mor:	pro:sub|il v:mdl|savoir&PRES&3s v:mdl|faire-INF det:art|la&f&sg
	n|galipette&f ?
%mor:	co|waouw
%mor:	co|allez adv|encore
%mor:	co|ouh co|la co|ouh co|la pro:sub|il v:aux|être&PRES&3s adj|souple
	co|hein
%mor:	det:art|la&f&sg n|galipette&f prep|à det:art|le$n|envers&m co|wouaw
%mor:	co|ah pro:sub|il v:mdl|falloir&PRES&3s v|compter-INF pro:sub|il
	v:mdl|falloir&PRES&3s v|compter-INF
%mor:	det:art|un&m&sg
%mor:	num|deux
%mor:	conj|et
%mor:	v:int|est–ce pro:rel|que$pro:sub|ils v:aux|être&PRES&3p n|sage-PL
	det:dem|ces&m&pl n|bébé&m-PL ?
%mor:	det:art|un&m&sg
%mor:	pro:sub|ils v:aux|être&PRES&3p n|fort&m-PL
%mor:	pro:sub|ils pro:refl|se v:mdl|faire-PRES&3p prep|de&les
	n|bisou&m-PL ?
%mor:	part|taire-PP&m part|taire-PP&m v:mdl|vouloir&PRES&12s
	pro:rel|que$pro:sub|on v|mettre-PRES&SUB&13s det:art|le&m&sg
	n|duvet&m n|parterre&m=flowerbed ?
%mor:	prep|pour v:mdl|faire-INF det:art|la&f&sg n|galipette&f
%mor:	co|ben pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF det:art|un&m&sg
	n|duvet&m n|parterre&m=flowerbed
%mor:	pro:dem|ça v:mdl|aller&PRES&3s v:mdl|faire-INF prep|comme
	det:art|un&m&sg n|tapis&m
%mor:	v|pousser-IMP&2s pro|toi&sg det:art|un&m&sg adj|petit&m n|peu&m
%mor:	adv|comme det:art|un&m&sg n|tapis&m prep|pour v:mdl|faire-INF
	det:art|la&f&sg n|galipette&f
%mor:	v:mdl|aller&PRES&2s pro:y|y n|montre&f pro:obj|nous
%mor:	co|woauh
%mor:	co|attention co|attention
%mor:	part|taire-PP&m v|rentrer-PRES&SUB&2s adv|bien det:poss|ta&f&sg
	n|tête&f
%mor:	v|rentrer-IMP&2s n|bien&m det:poss|ta&f&sg n|tête&f
%mor:	part|taire-PP&m v|monter-PRES&SUB&2s det:poss|tes&pl n|fesse&f-PL
%mor:	v:mdl|aller&PRES&2s pro:y|y v|rentrer-IMP&2s det:poss|ta&f&sg
	n|tête&f v|rentrer-IMP&2s det:poss|ta&f&sg n|tête&f
%mor:	v|monter-IMP&2s det:poss|tes&pl n|fesse&f-PL
%mor:	co|bravo
%mor:	part|taire-PP&m re#v|monter-PRES&SUB&2s det:poss|tes&pl
	n|fesse&f-PL ?
%mor:	co|hé v|dire-PRES&PASS&12s adv|donc part|taire-PP&m
	v:aux|avoir&PRES&2s neg|pas part|montrer-PP&m prep|à ?|aliyah
	det:art|le&m&sg n|tableau&m prep|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|faire-PP&m n|hier&m prep|chez ?|véro
%mor:	v|regarder-IMP&2s
%mor:	part|taire-PP&m v|expliquer-PRES&SUB&2s prep|à ?|aliyah
	pro:rel|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	pro:obj|le$v:poss|avoir&PRES&2s part|faire-PP&m ?
%mor:	v|attendre-IMP&2s adv|doucement adv|doucement
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s ?|anaé co|oui=yes
%mor:	pro:sub|on v|dire-COND&3s det:art|un&m&sg n|robot&m co|non=no ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg det:art|une&f&sg
	n|souris&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|pliage&m-PL
%mor:	on|touc on|touc
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|catcheur&m
%mor:	v:mdl|falloir&PRES&3s neg|pas pro:obj|le$v|abîmer-INF=deteriorate
	co|hein pro:dem|ce$v:aux|être&PRES&3s prep|à&les n|garçon&m-PL
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le re#v|mettre-INF
	adv:place|là
%mor:	co|non=no co|non=no co|non=no pro:dem|ça
