%mor:	co|bah co|oui=yes adv:place|là pro:dem|ce$v:exist|être&PRES&3s
%mor:	co|wouah
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|poser-INF prep|sur
	det:art|le&m&sg n|truc&m
%mor:	part|taire-PP&m prep|en v:mdllex|vouloir&PRES&12s pro|un&m&sg ?
%mor:	co|hé ?|anaé
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	det:art|une&f&sg n|compote&f ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v|ailler-IMP&2s v|chercher-INF det:art|un&m&sg pro|autre&sg n|livre
	?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdllex|vouloir&COND&12s v|lire-INF prep|comme n|livre ?
%mor:	co|non=no prep|à n|part&f det:art|le&m&sg n|loup&m ?
%mor:	prep|à n|part&f det:art|le&m&sg n|loup&m conj|et det:art|la&f&sg
	n|momie&f ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|lire-INF ?|kirikou ?
%mor:	co|oui=yes pro:sub|je v:mdl|aller&PRES&1s pro:obj|le v|chercher-INF
%mor:	v|tenir-IMP&2s v|regarder-PRES&SUB&13s ?|anaé pro:sub|on
	v:mdl|aller&PRES&3s v|regarder-INF det:art|le&m&sg n|livre prep|de
	?|kirikou
%mor:	pro:sub|tu v|venir-PRES&12s ?|anaé ?
%mor:	v|venir-IMP&2s adv:place|là
%mor:	adv|alors
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	co|oui=yes ?
%mor:	co|bah v|regarder-IMP&2s
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	pro:sub|il part|faire-PP&m det:art|un&m&sg n|truc&m ?
%mor:	pro:sub|il v:mdl|faire-PRES&3s pro:int|quoi prep|comme n|truc&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	co|ah co|bah co|oui=yes
%mor:	conj|et pro:sub|elle pro:dem|ce$v:aux|être&PRES&3s pro:int|qui ?
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s
	det:art|la&f&sg n|sorcier&f ?
%mor:	co|han conj|et pro:sub|elle part|faire-PP&m conj|et pro:sub|elle
	part|faire-PP&m n|peur&f ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|elle part|dire-PP&m ?
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|ils
	v|dire-PRES&SUB&3p det:art|les&pl n|fétiche&m-PL ?
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|ils
	v:mdl|faire-PRES&3p adv:place|là ?
%mor:	part|taire-PP&m pro:obj|nous v|raconter-PRES&SUB&2s ?
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|quoi ?
%mor:	pro:sub|ils v:aux|être&PRES&3p prep|en n|train&m prep|de
	v:mdl|faire-INF det:art|le&m&sg n|spectacle&m prep|de
	n|marionnette&f-PL
%mor:	pro:sub|ils v:aux|avoir&PRES&3p part|fabriquer-PP&m prep|de&les
	n|marionnette&f-PL conj|et pro:sub|ils v:mdl|faire-PRES&3p
	det:art|un&m&sg n|spectacle&m
%mor:	co|hum
%mor:	pro:sub|ils v:aux|avoir&PRES&3p prep|de&les n|habit&m-PL conj|ou
	pro:sub|ils v:aux|avoir&PRES&3p neg|pas adv|de n|habit&m-PL ?
%mor:	adv:int|pourquoi pro:sub|ils v:aux|avoir&PRES&3p neg|pas adv|de
	n|habit&m-PL ?
%mor:	co|ah pro:sub|il n|manque&m det:art|une&f&sg n|page
%mor:	co|bah pro:sub|je v|croire&PRES&12s adv|que
	pro:dem|ce$v:aux|être&PRES&3s
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-IMP&2s adv|déjà ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|karaba pro:sub|elle ?
%mor:	pro:sub|il v:aux|être&PRES&3s part|cacher-PP&m pro:int|où ?
%mor:	co|oui=yes
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	adj|petit&m n|garçon&m pro:int|qui
	pro:refl|se$v|appeler-PRES&SUB&13s ?|mathia
%mor:	co|non=no neg|pas prep|de n|nom&m
%mor:	co|tatatatata
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|grand&m n|frère&m conj|et
	adj|petit&m n|frère&m
%mor:	co|hum pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	det:art|les&pl n|poisson&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|comme ?|anaé pro:dem|ça ?
%mor:	conj|et adv|alors pro:dem|ça part|taire-PP&m pro:obj|nous
	v|dire-PRES&PASS&12s pro:rel|ce–que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	conj|et adv:place|là ?
%mor:	co|non=no det:art|un&m&sg n|zèbre&m
%mor:	conj|et pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	adv|alors ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|renard&m
%mor:	conj|et pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|hum
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	conj|et pro:dem|ça ?
%mor:	det:art|la&f&sg n|sorcier&f
%mor:	co|oh n|comment&m pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s
	pro:ind|lui ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|qui
	pro:dem|ce$v:exist|être&PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:gen|quelque$det:art|un&m&sg
	prep|de det:poss|son&m&sg n|village&m
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s ?
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF
	det:art|un&m&sg adj|petit&m n|dessin&m prep|avec det:poss|tes&pl
	n|nouveau&m-PL n|feutre&m-PL ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|un&m&sg
	n|doudou&m=blankie ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s adj|petit&m n|ours&m
	adj|brun&m ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s part|fatiguer-PP&f ?
%mor:	co|oui=yes part|taire-PP&m v:aux|être&PRES&2s part|fatiguer-PP&f ?
%mor:	co|non=no ?
%mor:	pro:dem|ça pro:obj|te part|faire-PP&m adv|mal adv|encore
	det:poss|ton&m&sg n|oreille&f ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF v|voir&INF
	det:art|le&m&sg n|docteur&m
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s part|luire&PP&m v|montrer-INF
	prep|à&le n|docteur&m ?
%mor:	pro:int|où v:int|est–ce adv|que part|taire-PP&m v:aux|avoir&PRES&2s
	adv|mal ?
%mor:	co|pff part|taire-PP&m v:aux|être&PRES&2s neg|pas det:art|un&m&sg
	n|peu&m n|comédien&f ?
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|lire-INF
	det:art|le&m&sg n|livre prep|de v|dorer-PASS&3s part|taire-PP&m
	v:mdl|vouloir&PRES&12s ?
%mor:	pro:sub|on n|lit&m det:art|le&m&sg n|livre prep|de v|dorer-PASS&3s
	pro|toutes&f&pl det:art|les&pl num|deux ?
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s n|rien&m
%mor:	co|hop co|voilà
%mor:	adv|alors
%mor:	det:art|une&f&sg n|super&m ?|party@seng prep|de n|folie&f
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui pro|eux&m&pl ?
%mor:	co|ouais=yes pro:sub|il v:exist|être&PRES&3s det:art|un&m&sg
	adj|petit&m n|peu&m part|casser-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|anaé pro:int|qui
	v:aux|avoir&PRES&3s part|casser-PP&m ?
%mor:	adv|mais part|taire-PP&m v:mdl|savoir&PRES&12s
	pro:dem|ce$v:exist|être&PRES&3s adv|parce pro:rel|que$pro:sub|il
	v:aux|avoir&IMPF&3s n|été&m adv|tout part|mouiller-PP&m pro:dem|ce
	n|livre adv|alors pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:dem|ça
	pro:dem|ça pro:dem|ce$v:exist|être&IMPF&3s part|déchirer-PP&m
%mor:	pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|oui=yes n|mai&m-PL pro:int|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	co|ah co|bon pro:sub|il v:aux|être&PRES&3s part|casser-PP&m
	adv|alors pro:sub|on v:mdl|aller&PRES&3s v|regarder-INF
	det:art|les&pl n|page-PL pro:int|qui v:aux|être&PRES&3p neg|pas
	part|casser-PP&f&pl
%mor:	adv|alors
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s
	prep|comme n|animal&m&pl ?
%mor:	co|oh pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v|manger-PRES&SUB&13s det:art|la&f&sg n|vache&f ?
%mor:	co|oui=yes
%mor:	det:art|le&m&sg n|chat&m pro:sub|il n|court&m prep|avec
	det:art|le&m&sg n|chien&m ?
%mor:	det:art|la&f&sg n|grenouille&f pro:sub|elle v:aux|avoir&PRES&3s
	n|froid&m n|oui&m
%mor:	co|oui=yes
%mor:	det:art|la&f&sg n|vache&f pro:sub|elle v:aux|avoir&PRES&3s
	det:art|une&f&sg n|tête&f prep|de n|canard&m=duck ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|bizarre
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|ils
	v:mdl|faire-PRES&3p adv:place|là ?
%mor:	co|oh n|comment&m pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s
	pro:ind|lui ?
%mor:	co|oui=yes
%mor:	det:art|le&m&sg n|hibou&m
%mor:	conj|et adv:place|là pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui ?
%mor:	pro:sub|elle part|faire-PP&m det:art|la&f&sg n|grimace&f
	v|dorer-PASS&3s ?
%mor:	co|hein v:mdl|faire-PRES&12s v|voir&INF
%mor:	adv|comment pro:sub|elle part|faire-PP&m ?
%mor:	co|oh pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg
	adj|beau&f&sg=pretty n|grimace&f pro:dem|ça
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|un&m&sg n|bébé&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	adv:int|pourquoi part|taire-PP&m v|dire-PRES&PASS&12s prep|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bébé&m ?
%mor:	pro:sub|il n|rigole&f ?
%mor:	co|hum co|hum
%mor:	conj|et adv:place|là pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|un&m&sg prep|dans det:art|le$n|arbre&m
%mor:	co|attention
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v|tourner-PRES&SUB&2s ?
%mor:	adv|alors
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	co|ah co|voilà ?|chipeur
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|ils
	v:mdl|faire-PRES&3p adv:place|là pro:sub|ils v|manger-PRES&3p
	det:art|les&pl n|chose-PL=thing ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|ils v|manger-PRES&3p ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de det:art|la&f&sg
	n|pizza&f prep|sur det:poss|sa&f&sg n|tête&f ?
%mor:	?|anaé part|taire-PP&m v|dire-PRES&PASS&12s prep|à ?|aliyah
	v:int|est–ce adv|que part|taire-PP&m v|aimer-PRES&SUB&2s pro:dem|ça
	det:art|la&f&sg n|pizza&f ?
%mor:	co|hum
%mor:	?|anaé v:int|est–ce adv|que part|taire-PP&m v|aimer-PRES&SUB&2s
	det:art|la&f&sg n|pizza&f ?
%mor:	co|oh pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	v:mdllex|faire-PRES&3s v|regarder-PRES&SUB&13s
	pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|elle part|faire-PP&m
	det:art|la&f&sg n|grenouille&f adv:place|là ?
%mor:	co|ah co|oui=yes
%mor:	pro:sub|il v|envoyer-PRES&SUB&13s prep|de&les prep|de&les
	n|confetti&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|finir-PP&m ?
%mor:	co|bah pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|ils
	v:mdl|faire-PRES&3p pro|eux&m&pl ?
%mor:	pro:sub|ils v|danser-PRES&3p ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	prep|sur det:poss|sa&f&sg n|tête&f ?
%mor:	co|hum
%mor:	co|oui=yes
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v:mdl|faire-INF det:art|un&m&sg adj|petit&m n|dessin&m ?
%mor:	det:art|un&m&sg adj|petit&m n|dessin&m prep|pour ?|aliyah ?
%mor:	part|taire-PP&m v:mdllex|vouloir&PRES&12s neg|pas v|dessiner-INF
	det:art|un&m&sg n|père&m n|noël prep|pour ?|aliyah ?
%mor:	co|oh
%mor:	pro:sub|elle v:mdl|aller&PRES&3s v:aux|être&INF adj|triste ?|aliyah
%mor:	conj|ou det:art|une&f&sg n|momie&f part|taire-PP&m
	v:mdllex|vouloir&PRES&12s neg|pas v|dessiner-INF det:art|la&f&sg
	n|momie&f ?
%mor:	co|allez
%mor:	co|allez
%mor:	co|allez
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s prep|que ?|aliyah
	pro:sub|elle v|connaître-PRES&3s adv|bien det:art|le&m&sg n|papa&m
	prep|de ?|kirikou ?
%mor:	n|si&m
%mor:	co|bah n|si&m
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v:mdl|faire-INF adv|alors ?
%mor:	pro:sub|on part|faire-PP&m det:art|un&m&sg n|puzzle&m ?
%mor:	co|non=no ?
%mor:	pro:sub|on part|faire-PP&m pro:int|quoi ?
%mor:	pro:sub|on part|faire-PP&m det:art|un&m&sg n|câlin&m=coaxing ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|encore adj|mal&m&sg prep|à
	det:poss|ton&m&sg n|oreille&f ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|montrer-INF prep|à&le
	n|docteur&m ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	prep|de&le n|sirop&m ?
%mor:	co|oui=yes pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF
	det:art|le&m&sg n|sirop&m ?
%mor:	adv|alors v|attendre-IMP&2s pro|moi&sg adv:place|ici pro:sub|je
	v:mdl|aller&PRES&1s pro:obj|le v|chercher-INF
%mor:	part|taire-PP&m n|bois&m prep|de det:art|le$n|eau&f ?
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF det:poss|ta&f&sg
	n|serviette&f
%mor:	n|catastrophe&f n|catastrophe&f
%mor:	co|oh adv:place|là
%mor:	co|oui=yes
%mor:	co|merci n|maman&f
%mor:	v|tenir-IMP&2s v|prendre-PRES&3s det:art|une&f&sg n|compote&f
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	prep|de&les n|gâteau&m-PL adv|comme pro:dem|ça ?|anaé
	v|regarder-PRES&SUB&13s
%mor:	prep|à det:art|la&f&sg n|framboise&f
%mor:	part|taire-PP&m det:art|les&pl v|aimer-PRES&SUB&2s pro:dem|ceux–là
	?
%mor:	co|oui=yes ?
%mor:	v|essuyer-IMP&2s=dry det:poss|ta&f&sg n|bouche&f prep|avec
	det:poss|ta&f&sg n|serviette&f
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|on v|ouvrir-PRES&SUB&13s ?
%mor:	v|tenir-IMP&2s v:mdl|falloir&FUT&3s adv|que part|taire-PP&m
	v|colorier-PRES&SUB&2s det:poss|ton&m&sg n|père&m n|noël conj|et
	det:art|le&m&sg n|bonhomme&m prep|de n|neige&f adv|quand adv|même
%mor:	v|donner-IMP&2s
%mor:	v|attendre-IMP&2s pro:sub|je pro:sub|je pro:obj|te
	pro:obj|le$v|ouvrir-IMP&2s ?
%mor:	v|tenir-IMP&2s
%mor:	co|bah v|prendre-PRES&IMP&12s det:art|un&m&sg pro:int|qui
	v:aux|être&PRES&3s neg|pas part|déchirer-PP&m
%mor:	pro:dem|celui–là pro:sub|il v:aux|être&PRES&3s neg|pas
	part|déchirer-PP&m
%mor:	v|tenir-IMP&2s
%mor:	adv|mais pro:int|quoi ?
%mor:	pro:sub|il v:aux|être&PRES&3s neg|pas part|déchirer-PP&m
%mor:	co|oh part|taire-PP&m v:aux|être&PRES&2s part|fatiguer-PP&f
	pro|toi&sg
%mor:	pro:sub|je v|comprendre-PRES&IMP&12s neg|pas pro:rel|ce–que
	part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	pro:dem|ceux–là part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	pro:dem|celui&pl prep|de n|derrière&m ?
%mor:	co|bon
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v|essayer-INF det:art|les&pl n|nouveau&m-PL n|feutre&m-PL prep|pour
	v|colorier-INF det:art|le&m&sg n|père&m n|noël ?
%mor:	co|oui=yes ?
%mor:	v|regarder-IMP&2s pro:sub|je v:mdl|aller&PRES&1s pro:obj|te
	v|montrer-INF det:art|les&pl n|nouveau&m-PL n|feutre&m-PL prep|que
	pro:sub|je$v:poss|avoir&PRES&1s part|acheter-PP&m&pl adv|tout prep|à
	det:art|le$n|heure&f
%mor:	det:gen|quelle&f&sg n|couleur&f part|taire-PP&m
	v:mdl|vouloir&PRES&12s prep|pour v|colorier-INF det:art|le&m&sg
	n|père&m n|noël ?
%mor:	pro:sub|il v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f det:art|le&m&sg n|père&m n|noël ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	v|donner-IMP&2s
%mor:	adv|mais pro:sub|il v:aux|être&PRES&3s adj|dur&m prep|à
	v|ouvrir-INF v|regarder-PRES&SUB&13s
%mor:	adv|comme pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg adj|bleu&m adv|que
	part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|il v:mdl|falloir&PRES&3s adv|bien re#v|mettre-INF
	det:art|les&pl n|bouchon&m-PL co|hein
%mor:	co|hein ?
%mor:	part|taire-PP&m v|écrire-IMP&PRES&12s det:poss|son&m&sg n|oeil&m ?
%mor:	adv|doucement
%mor:	co|oh co|bah v|dire-PRES&PASS&12s adv|donc part|taire-PP&m
	v|colorier-PRES&SUB&2s n|bien&m co|hein
%mor:	adv|doucement
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|une&f&sg
	pro|autre&sg n|couleur&f ?
%mor:	det:gen|quelle&f&sg n|couleur&f ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s adj|rouge ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s ?
%mor:	prep|de&le adj|vert&m ?
%mor:	co|hum prep|de&le
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:gen|quelle&f&sg n|couleur&f
	pro:dem|ça ?
%mor:	co|non=no part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:int|quoi ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF
	det:art|un&m&sg n|câlin&m=coaxing ?
%mor:	co|oui=yes ?
%mor:	co|bah v|regarder-IMP&2s part|taire-PP&m
	pro:sub|tu$v:aux|être&PRES&2s adj|mi&m-PL=half prep|de&le n|feutre&m
	adj|bleu&m prep|sur co|la prep|sur co|la n|joue&f
%mor:	part|taire-PP&m pro:obj|te v|colorier-PRES&SUB&2s prep|en
	adj|bleu&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s chi|psipsi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui chi|psipsi ?
%mor:	co|ah co|oui=yes
%mor:	v|tenir-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|copain&m prep|de
	pro:rel|qui ?
%mor:	adv:place|voilà
%mor:	co|allez v:mdl|faire-IMP&2s det:art|un&m&sg adj|petit&m
	n|câlin&m=coaxing
%mor:	co|oh pro:sub|elle v:aux|être&PRES&3s part|fatiguer-PP&f
	det:dem|cette&f&sg adj|petit&f n|fille&f
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF v|voir&INF
	det:art|le&m&sg n|docteur&m adv|après ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:mdl|aller&PRES&3s
	v|regarder-INF det:art|le&m&sg n|docteur&m ?
%mor:	v|mettre-IMP&2s neg|pas det:poss|ton&m&sg n|doigt&m prep|dans
	det:poss|ton&m&sg n|nez&m
%mor:	pro:sub|il v:mdl|aller&PRES&3s v|regarder-INF det:poss|ton&m&sg
	n|oreille&f ?
%mor:	prep|à det:gen|quelle&f&sg n|oreille&f part|taire-PP&m
	v:aux|avoir&PRES&2s adv|mal ?
%mor:	pro:int|que$v:int|est–ce part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	det:art|les&pl n|gâteau&m-PL ?
%mor:	part|taire-PP&m det:art|les&pl v|aimer-PRES&SUB&2s pro:dem|ceux–là
	?
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon ?
%mor:	adv|après pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF
	det:art|le&m&sg n|jeu&m prep|avec det:art|le$n|ordinateur&m prep|de
	n|maman&f ?
%mor:	pro:int|où pro:sub|il v:mdl|falloir&PRES&3s v|montrer-INF
	det:art|les&pl n|image&f-PL
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s ?
%mor:	co|hein ?|anaé ?
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|le&m&sg adj|petit&m
	n|lapin&m ?
%mor:	det:art|le&m&sg adj|petit&m n|hamster&m
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les n|lapin&m-PL
	prep|chez ?|véro ?
%mor:	co|non=no pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s qn|plus
	prep|de&les n|lapin&m-PL ?
%mor:	conj|et pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les
	?|cochonsdinde ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s pro:int|quoi adv|alors ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:refl|se
	v|passer-PRES&SUB&13s ?
%mor:	det:art|un&m&sg adj|petit&m n|peu&m prep|de n|pâte&f prep|à
	v|modeler-INF prep|sous det:art|le$n|ongle&m n|mai&m-PL
	pro:dem|ce$v:exist|être&PRES&3s neg|pas n|grave&m
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:sub|on v:mdl|faire-FUT&3s prep|de&les n|décoration&f-PL
	n|demain&m ?
%mor:	?|anaé ?
%mor:	co|oui=yes ?
%mor:	pro:sub|on v|mettre-FUT&3s prep|de&les n|boule&f-PL ?
%mor:	conj|et prep|de&les n|guirlande&f-PL ?
%mor:	adj|bleu&f-PL n|oui&m
%mor:	co|oui=yes
%mor:	part|taire-PP&m v|aimer-PRES&SUB&2s det:art|le&m&sg adj|bleu&m ?
%mor:	co|oh co|oui=yes adv|aussi prep|de&le adj|rouge
%mor:	co|hum
%mor:	pro:int|qui v:int|est–ce pro:rel|qui v:mdl|aller&PRES&3s
	v|venir-INF prep|pour n|noël prep|à det:poss|notre&sg n|maison&f ?
%mor:	co|ouais=yes adv|mais pro:y|y n|aura&f adv|aussi det:art|les&pl
	n|cousin&m-PL conj|et det:art|les&pl n|cousin&f-PL
%mor:	adv|comment pro:sub|ils pro:refl|se$v|appeler-PRES&3p
	det:art|les&pl n|cousin&m-PL conj|et det:art|les&pl n|cousin&f-PL ?
%mor:	co|hum ?
%mor:	co|ouais=yes conj|et adv|puis ?
%mor:	pro:sub|ils v:mdl|aller&PRES&3p v|venir-INF prep|chez pro:obj|nous
	?
%mor:	co|oui=yes ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|faire-PP&m ?|timothé prep|chez ?|véro part|taire-PP&m
	pro:obj|me$v:poss|avoir&PRES&2s part|raconter-PP&m pro:dem|ce
	n|matin&m
%mor:	adv:int|pourquoi ?|véro pro:sub|elle v:aux|avoir&PRES&3s
	part|gronder-PP&m ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|déchirer-PP&m det:art|le&m&sg
	n|livre ?
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s part|dire-PP&m ?|véro adv|alors ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s part|dire-PP&m prep|pour v|gronder-INF ?
%mor:	pro:sub|elle v:aux|avoir&PRES&3s part|dire-PP&m co|non=no ?
%mor:	conj|et pro:sub|il v:aux|être&PRES&3s part|aller&PP&m&sg pro:int|où
	?|timothé ?
%mor:	pro:sub|il v:aux|être&PRES&3s part|aller&PP&m&sg prep|à&le n|coin&m
	?
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|pleurer-PP&m ?
