%mor:	v:mdllex|faire-PRES&12s co|attention
%mor:	?|anaé v|venir-PRES&12s pro:y|en adj|bas&m
%mor:	adv|mais n|si&m
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|lire-INF prep|en
%mor:	co|hum
%mor:	conj|et part|taire-PP&m v|aimer-PRES&SUB&2s adv|bien det:art|les&pl
	n|haricot&m-PL adj|vert&m-PL ?
%mor:	adv|peut–être adv|aussi ?
%mor:	pro|moi&sg pro:sub|je v:mdl|vouloir&PRES&12s
	v|préférer-PRES&SUB&13s pro:sub|je v|préférer-PRES&SUB&13s
	det:art|les&pl n|haricot&m-PL adj|vert&m-PL
%mor:	conj|et det:art|le&m&sg n|maïs&m
%mor:	conj|et det:art|le$n|aubergine&f
%mor:	pro:sub|je$v|aimer-IMP&2s neg|pas adv|trop det:art|le&m&sg
	n|brocoli&m=broccoli conj|et det:art|les&pl n|champignon&m-PL
%mor:	conj|et pro|toi&sg pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	neg|ne v|aimer-PRES&SUB&2s neg|pas ?
%mor:	adv|comme n|légume
%mor:	co|oh co|ben co|oui=yes pro:sub|je$v|aimer-IMP&2s n|bien&m
	det:art|les&pl n|+n|pommes+prep|de+n|terre&f
%mor:	prep|avec pro:rel|quoi adv|de pro|autre&sg ?
%mor:	co|hum co|oui=yes
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s part|finir-PP&m
%mor:	adv|d'accord
%mor:	co|oui=yes
%mor:	det:art|un&m&sg n|ressort&m
%mor:	co|ah pro:dem|ça pro:y|y v:aux|être&PRES&3s
	pro:dem|ce$v:exist|être&PRES&3s co|bon ?
%mor:	det:gen|quelques n|chose-PL=thing prep|à v|manger-INF
%mor:	co|oui=yes
%mor:	co|hum
%mor:	co|hum pro:dem|ce$v:exist|être&PRES&3s adv|peut–être
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|yaourt&m
%mor:	co|hum
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v|préférer-PRES&SUB&2s pro|toi&sg ?
%mor:	prep|dans det:dem|cette&f&sg n|page pro:rel|que$v:int|est–ce
	adv|que part|taire-PP&m v|préférer-PRES&SUB&2s n|manger&m=food ?
%mor:	det:gen|quelques n|chose-PL=thing adj|répugnant&f-PL=repugnant
%mor:	co|hum
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	co|non=no det:art|un&m&sg n|vieux&m n|+n|chewing+n|gum&m
%mor:	co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|marron&m n|oui&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|marron&m det:art|la&f&sg n|crotte&f
	prep|de n|chien&m ?
%mor:	det:art|une&f&sg n|+n|pomme+prep|de+n|terre&f
%mor:	adv|alors pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	co|hum
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv:place|là ?
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s neg|pas
	part|dire-PP&m pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	v|perdre-INF det:art|une&f&sg n|dent&f
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|gâteau&m
	prep|avec prep|de&les n|bougie&f-PL adv|de n|anniversaire&m
	pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça ?
%mor:	co|hum
%mor:	co|hum
%mor:	co|hum co|hum
%mor:	co|hum
%mor:	co|ben n|oui&m
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl
	n|chose-PL=thing adj|bizarre-PL
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:int|qui v:aux|être&PRES&3s
	adj|bizarre ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:art|un&m&sg n|zèbre&m
%mor:	adj|rouge
%mor:	det:art|une&f&sg n|pomme&f adj|gros&f prep|comme det:art|une&f&sg
	n|maison&f
%mor:	conj|et adv:place|là pro:dem|ce$v:exist|être&PRES&3s
	det:art|un&m&sg n|enfant pro:int|qui v:aux|avoir&PRES&3s
	pro:int|quoi ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	det:dem|cet&m&sg n|enfant ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s prep|de&les n|moustache&f-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|bizarre
%mor:	co|ah pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl
	n|chose-PL=thing pro:int|qui v:mdl|faire-PRES&3p n|peur&f
	pro:rel|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|ouais=yes
%mor:	det:art|un&m&sg n|éclair&m
%mor:	conj|et det:art|une&f&sg adj|gros&f
%mor:	co|ben pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg adj|petit&m
	n|garçon&m pro:sub|il pro:refl|se v|cacher-PRES&SUB&13s prep|dans
	det:poss|son&m&sg n|drap&m-PL adv|parce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s n|peur&f prep|de det:art|le$n|araignée&f
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|peur&f prep|de&les
	n|araignée&f-PL pro|toi&sg ?
%mor:	det:gen|quelques n|chose-PL=thing prep|à v:mdllex|faire-INF
%mor:	prep|avec pro:rel|quoi pro:sub|on pro:refl|se n|brosse&f
	det:art|les&pl n|dent&f-PL ?
%mor:	conj|et adv|puis ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v|mettre-PRES&3s
	prep|sur det:art|la&f&sg n|brosse&f ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|oui=yes
%mor:	conj|et
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|rose part|taire-PP&m
	v|croire&PRES&12s ?
%mor:	co|ah det:art|le&m&sg n|pyjama&m pro:sub|il v:aux|être&PRES&3s
	n|rose co|ouais=yes
%mor:	adv|comme pro|toi&sg part|taire-PP&m v:aux|avoir&PRES&2s
	det:art|un&m&sg n|nouveau&m n|pyjama&m pro|toi&sg ?
%mor:	pro:sub|il v:aux|être&PRES&3s n|comment&m n|ton&m=tone
	adj|nouveau&m&sg=new n|pyjama&m ?
%mor:	adv|comment v|attendre-PRES&12s adv|mais v|expliquer-PRES&SUB&13s
%mor:	adv|comment pro:sub|il v:aux|être&PRES&3s n|ton&m=tone
	adj|nouveau&m&sg=new n|pyjama&m conj|et prep|de det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s part|dessiner-PP&m adv:place|dessus ?
%mor:	adv|mais co|non=no part|taire-PP&m v:mdl|aller&PRES&2s neg|pas
	v|mettre-INF det:poss|ton&m&sg n|pyjama&m adv|maintenant
%mor:	v|regarder-IMP&2s det:gen|quelques
%mor:	co|hé ?|anaé pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF
	v|changer-INF co|la n|couche&f adv|par adv|contre adv|parce adv|que
	adv:place|là pro:dem|ce$v:exist|être&PRES&3s neg|pas adv|possible
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas n|possible&m
%mor:	co|ben adv|comme pro:dem|ça pro:sub|on v:mdl|aller&PRES&3s
	v|montrer-INF det:poss|ton&m&sg n|pyjama&m prep|à ?|aliyah
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s neg|pas pro:obj|le v|mettre-INF
	n|mai&m-PL pro:sub|tu v:mdl|aller&PRES&2s pro:obj|le v|montrer-INF
%mor:	co|oui=yes ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv:place|dessus prep|sur det:art|le&m&sg
	n|pyjama&m ?
%mor:	prep|de&les n|hibou&m-PL
%mor:	co|non=no pro:sub|on v|mettre-PRES&3s neg|pas det:art|le&m&sg
	n|pyjama&m
%mor:	v|attendre-IMP&2s pro:sub|je v:mdl|aller&PRES&1s v|poser-INF
	pro:dem|ça adv:place|là–bas
%mor:	pro:sub|on v:mdl|aller&PRES&3s neg|pas v|mettre-INF det:art|le&m&sg
	n|pyjama&m pro:sub|on v:mdl|aller&PRES&3s adv|juste det:art|le&m&sg
	v|regarder-INF det:art|le&m&sg n|pyjama&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas n|papa&m
	pro:int|quoi pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v|raconter-PRES&SUB&2s ?
%mor:	pro:sub|tu v:mdl|vouloir&IMP&2s neg|pas pro:int|quoi pro:sub|on
	v|changer-PRES&SUB&13s det:art|la&f&sg v|coucher-PRES&SUB&13s
	adv|parce adv|que pro:dem|ça v|sentir-PRES&3s adv|très adj|mauvais&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas pro:int|quoi ?
%mor:	co|non=no part|taire-PP&m det:art|le&m&sg n|mets&m neg|pas
	adv|maintenant ?|anaé det:art|le&m&sg n|pyjama&m
	pro:dem|ce$v:exist|être&PRES&3s prep|pour v|dormir-INF
%mor:	co|voilà part|taire-PP&m n|montre&f-PL prep|à ?|aliyah
	part|taire-PP&m part|luire&PP&m n|montre&f-PL pro:dem|ce
	pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv:place|dessus
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas pro:int|quoi ?
%mor:	co|hé adv|ben part|taire-PP&m det:art|le&m&sg n|mets&m adv|toute
	adj|seul&f adv|alors
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas pro:int|quoi ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	pro:obj|le$v|emmener-IMP&2s ?
%mor:	adv|comme pro:dem|ça ?|anouk pro:sub|elle v:mdl|pouvoir&FUT&3s
	det:art|le&m&sg v|voir&INF
%mor:	co|oh ?|anaé v|arrêter-PRES&SUB&13s det:poss|tes&pl n|bêtise&f-PL
%mor:	?|anaé v|arrêter-PRES&SUB&13s adv|si pro:sub|il pro:obj|te
	v|plaire-PRES&3s
%mor:	co|allez ?|anaé v|venir-PRES&12s part|taire-PP&m
	v:mdl|vouloir&PRES&12s adv|que pro:sub|je pro:obj|te
	v|couper-PRES&SUB&13s det:art|les&pl n|ongle&m-PL ?
%mor:	v|venir-IMP&2s pro:sub|je v:mdl|aller&PRES&1s pro:obj|te
	v|couper-INF det:art|les&pl n|ongle&m-PL adv|aussi
%mor:	part|taire-PP&m v|venir-PRES&12s pro:sub|je v:mdl|aller&PRES&1s
	pro:obj|te v|couper-INF det:art|les&pl n|ongle&m-PL
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:sub|on v:mdl|aller&PRES&3s
	v|dire-INF det:art|le&m&sg n|nom&m prep|de&les n|doigt&m-PL
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|dire-INF
	det:art|le&m&sg n|nom&m prep|de&les n|doigt&m-PL
%mor:	v|venir-IMP&2s
%mor:	v|venir-IMP&2s det:poss|ma&sg n|puce&f
%mor:	co|allez co|oh co|hisse co|of
%mor:	co|hé pro:dem|ça v|suffire&PASS&3s
%mor:	v:mdllex|aller&PRES&2p pro:sub|on v|commencer-PRES&SUB&13s adv|par
	pro:dem|celui–là
%mor:	co|allez
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s n|savoir&m n|pourquoi&m
	part|taire-PP&m v|pleurer-PRES&SUB&2s ?
%mor:	co|ben pro|moi&sg pro:sub|je v:mdl|aller&PRES&1s pro:obj|le
	v|ranger-INF adv|alors det:art|le&m&sg n|pyjama&m
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|le v|ramener-INF prep|à&le
	n|magasin&m ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v:mdllex|faire-INF ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v:mdllex|faire-INF ?
%mor:	pro:sub|on pro:obj|le v|mettre-PRES&3s adv|comme pro:dem|ça ?
%mor:	co|oh
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|sur det:art|les&pl n|fesse&f-PL ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|sur det:art|les&pl n|fesse&f-PL ?
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	prep|sur det:art|les&pl n|fesse&f-PL ?
%mor:	prep|de det:art|le$pro|autre&sg n|côté&m ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|le v|mettre-INF prep|dans
	det:art|la&f&sg n|+n|salle+prep|de+n|bain ?
%mor:	conj|et adv|ben pro:rel|que$v:int|est–ce adv|que pro:sub|je
	v:mdl|devoir&PRES&12s v:mdl|faire-INF ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le v|mettre-INF ?
%mor:	adv|mais pro:dem|ce$v:exist|être&PRES&3s neg|pas
	det:art|le$n|heure&f prep|de v|mettre-INF det:art|le&m&sg n|pyjama&m
	?|anaé
%mor:	co|ben co|non=no
%mor:	conj|et part|taire-PP&m v:mdl|aller&PRES&2s v|dormir-INF adv|alors
	n|si&m pro:sub|on v|mettre-PRES&3s det:art|le&m&sg n|pyjama&m ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|aller&INF v|dormir-INF
	?
%mor:	co|bon co|ben v|déshabiller-IMP&2s pro|toi&sg
%mor:	conj|et adv|après part|taire-PP&m pro:obj|te
	v|rhabiller-FUT&2s=to_dress_again co|hein
%mor:	co|non=no part|taire-PP&m v:mdllex|pouvoir&IMP&2s pro:obj|les
	v|garder-INF det:art|les&pl n|chaussette&f-PL adv|si part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	v:mdl|falloir&PRES&3s part|taire-PP&m v|enlever-PRES&SUB&2s
	det:poss|ton&m&sg ?|tee n|shirt&m=shirt prep|par n|contre&m
%mor:	det:poss|ton&m&sg ?|tee n|shirt&m=shirt
%mor:	co|ouais=yes
%mor:	pro:dem|ça pro:obj|te part|faire-PP&m prep|de&les n|gant&m-PL ?
%mor:	adv|d'accord
%mor:	adv:place|voilà
%mor:	co|non=no co|non=no n|reste&m adv:place|là prep|pour
	det:art|le$n|instant&m
%mor:	part|taire-PP&m v:mdl|aller&FUT&2s v|dormir-INF adv|après
%mor:	v|venir-IMP&2s v|voir&INF pro:sub|il n|manque&m det:art|un&m&sg
	n|bouton&m v|venir-PRES&12s v|voir&INF pro:sub|il n|manque&m
	det:art|un&m&sg n|bouton&m n|derrière&m
%mor:	adv|ben v|dormir-PRES&12s prep|sur det:art|le&m&sg
	n|canapé&m=canape
%mor:	co|ben co|non=no
%mor:	adv|mais co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas
	det:art|le$n|heure&f
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF det:art|le&m&sg
	n|jeu&m prep|sur det:art|le$n|ordinateur&m
%mor:	v|regarder-IMP&2s pro:sub|je v:mdl|aller&PRES&1s v:mdl|aller&INF
	v|chercher-INF det:art|le&m&sg det:art|le&m&sg n|truc&m prep|pour
	v:mdl|faire-INF det:art|le&m&sg n|jeu&m prep|sur
	det:art|le$n|ordinateur&m
%mor:	n|reste&m prep|en n|bas&m ?|anaé
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?|anaé adv:place|là ?
%mor:	part|taire-PP&m pro:obj|te v|rhabiller-FUT&2s=to_dress_again
	conj|après co|hein ?
