%mor:	v|regarder-PRES&SUB&13s ?|tim pro:dem|ce adv|que
	adj|petit&m-PL n|coup&m-PL=blow prep|de n|bâton&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|hirondelle&f
%mor:	co|mhm
%mor:	pro:sub|elle det:poss|leur&sg v:aux|avoir&PRES&3s part|voler-PP&m
	prep|de&les adj|petit&m-PL n|grain&m-PL=grain prep|de n|blé&m
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s ?
%mor:	adv:place|là pro:dem|ce$v:exist|être&PRES&3s prep|de&les
	n|oiseau&m-PL
%mor:	pro:sub|elle v:aux|avoir&PRES&3s part|apporter-PP&m prep|de&les
	adj|petit&m-PL n|grain&m-PL=grain prep|de n|blé&m
%mor:	v|regarder-IMP&2s pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|les&pl n|paysan&m-PL pro:sub|il v:aux|être&PRES&3p neg|pas
	adj|content&m-PL
%mor:	pro:sub|ils v:aux|être&PRES&3p adv:place|là co|ouh
%mor:	adv|mais part|taire-PP&m v|voir&IMP&PRES&12s
	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|maman&f
	pro:sub|elle v:aux|être&PRES&3s adj|gentille&f
%mor:	pro:sub|elle v|donner-PRES&SUB&13s prep|à v|manger-INF prep|à
	det:poss|ses&pl prep|à det:poss|ses&pl adj|petit&m-PL n|bébé&m-PL
	n|hirondelle&f-PL
%mor:	co|hein ?
%mor:	conj|et co|oui=yes pro:sub|elle det:poss|leur&sg v|apporter-IMPF&3s
	prep|à v|manger-INF
%mor:	?|qu'estce pro:rel|que$pro:sub|elle v:aux|avoir&PRES&3s
	part|mettre-PP&m prep|sur det:poss|sa&f&sg n|tête&f
	det:art|le$n|hirondelle&f adv:place|là ?
%mor:	co|hein ?
%mor:	co|ah co|bah part|taire-PP&m v:mdl|savoir&PRES&12s ?|peutêtre
	pro:sub|je pro:obj|te$v:poss|avoir&PRES&1s adv|jamais ?|peutêtre
	part|dire-PP&m
%mor:	det:art|un&m&sg n|fichu&m
%mor:	det:art|un&m&sg n|fichu&m
%mor:	det:art|un&m&sg n|morceau&m prep|de n|tissu&m
	pro:rel|que$pro:sub|on n|attache&f prep|sous det:art|le&m&sg n|cou&m
%mor:	co|mhm
%mor:	adv|mais co|non=no
%mor:	pro:sub|on n|serre&f neg|pas adv|trop adj|fort&m
%mor:	adv|alors pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	det:gen|quelle&f&sg pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg
	n|chanson&f prep|de pro:rel|quoi pro:dem|ça ?
%mor:	conj|et co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|baleine&f
	pro:int|qui v|tourner-PRES&SUB&13s pro:int|qui v|virer-PRES&SUB&13s
%mor:	prep|à pro|toi&sg
%mor:	adv|comme det:art|un&m&sg adj|joli&m
%mor:	adj|petit&m n|navire&m
%mor:	v|prendre-PRES&2p n|garde prep|à det:art|la&f&sg
%mor:	prep|à det:art|la&f&sg n|baleine&f
%mor:	pro:sub|elle v:mdl|aller&PRES&3s pro:obj|vous n|manger&m=food
%mor:	co|miam
%mor:	prep|dans det:art|la&f&sg n|ferme&f prep|à ?|mathurin
%mor:	det:art|la&f&sg n|honte&f prep|en qn|plus
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|dur&m adv:place|là
%mor:	prep|en adv|plus pro:sub|je v|connaître-PRES&IMP&12s
	part|plaire-PP&m&pl adv|bien
%mor:	co|hi co|ah co|hi co|ah co|oh
%mor:	v|rappeler-PRES&SUB&13s adv|mais
%mor:	prep|dans det:art|la&f&sg n|ferme&f prep|à ?|mathurin co|hi co|ah
	co|hi co|ah co|oh
%mor:	co|non=no part|taire-PP&m v|voir&IMP&PRES&12s pro:sub|je
	v:mdl|savoir&PRES&12s qn|plus
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les n|centaine-PL
	prep|de n|mouton&m-PL co|hi co|ah co|hi co|ah co|oh
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les on|bêê prep|par
	adv|ci pro:y|y v:aux|avoir&PRES&3s prep|de&les on|bêê ?|parlà
%mor:	adv:place|ici prep|de&les on|bêê adv|par adv:place|là prep|de&les
	on|bêê adv|partout prep|de&les on|bêê on|bêê on|bêê on|bêê
%mor:	prep|dans det:art|la&f&sg n|ferme&f prep|à ?|mathurin pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s prep|de&les n|centaine-PL prep|de
	n|canard&m-PL=duck on|couac on|couac on|couac
%mor:	pro:sub|on v|dire-COND&3s det:art|une&f&sg n|grenouille&f
	det:poss|mon&m&sg n|canard&m=duck
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les n|couac&m
	prep|par adv|ci pro:y|y v:aux|avoir&PRES&3s prep|de&les n|couac&m
	?|parlà
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les on|couac ?|parlà
%mor:	adv|enfin co|bon
%mor:	adv|après pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl
	n|abeille&f-PL=bee
%mor:	adv|comment pro:sub|elles v:mdl|faire-PRES&3p det:art|les&pl
	n|abeille&f-PL=bee ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les on|bzz prep|par
	adv|ci pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les on|bzz
	adv|par adv:place|là
%mor:	n|abeille&f-PL=bee part|taire-PP&m v:aux|avoir&PRES&2s
	part|voir&PP&m
%mor:	conj|et prep|après pro:dem|ça v|terminer-PRES&SUB&13s
%mor:	prep|dans det:art|la&f&sg n|ferme&f prep|à ?|mathurin co|hi co|ah
	co|hi co|ah co|oh
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg n|tonne&f
	prep|de n|dynamite&f
%mor:	?|qu'estce adv|que pro:dem|ça part|faire-PP&m det:art|la&f&sg
	n|dynamite&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi det:art|la&f&sg
	n|dynamite&f ?
%mor:	pro:dem|ça v|exploser-PRES&SUB&13s conj|et pro:dem|ça
	part|faire-PP&m co|boum
%mor:	conj|et pro:sub|il pro:y|y v:aux|avoir&PRES&3s qn|plus prep|de
	n|ferme&f prep|à ?|mathurin
%mor:	pro:sub|il v:aux|avoir&PRES&3s qn|plus prep|de n|ferme&f
%mor:	adv|bien adj|drôle prep|de n|chanson&f
%mor:	adv|alors conj|et ?|celleci
%mor:	pro:dem|ce$v:aux|être&IMPF&3s pro:sub|il v:aux|être&IMPF&3s
	det:art|un&m&sg adj|petit&m n|navire&m
%mor:	part|taire-PP&m det:art|la&f&sg v|connaître-PRES&IMP&12s ?|celleci
	?
%mor:	part|taire-PP&m det:art|la&f&sg v|chanter-PRES&SUB&2s adv|alors
%mor:	part|taire-PP&m det:art|la&f&sg v|connaître-PRES&IMP&12s neg|pas ?
%mor:	co|bah v:mdl|falloir&FUT&3s adv|que part|taire-PP&m
	pro:obj|le$v|apprendre-PRES&SUB&2s adv|alors
%mor:	conj|et adv:place|là pro:int|qui ?|estce pro:sub|elle
%mor:	pro:sub|elle v:aux|être&PRES&3s n|mignonne&f co|hein
%mor:	det:art|la&f&sg n|chèvre&f
%mor:	adv|alors adv:place|là pro:sub|je v:mdl|savoir&PRES&12s neg|pas
	prep|de&le adv|tout det:art|le$n|air&m=air co|non=no qn|plus
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|chanson&f prep|de
	det:art|la&f&sg n|chèvre&f
%mor:	pro:sub|il v:aux|être&IMPF&3s det:art|une&f&sg n|chèvre&f prep|de
	n|fort&m n|tempérament&m pro:int|qui re#v|venir-IMPF&3s adv|de
	?|espagne conj|et v|parler-IMPF&3s det:art|le$n|allemand&m
%mor:	co|ouais=yes
%mor:	pro|moi&sg co|non=no qn|plus
%mor:	pro:sub|il n|rigole&f co|hein
%mor:	v|dire-PRES&PASS&12s adv|donc pro:sub|il v:aux|avoir&PRES&3s
	det:art|le$n|air&m=air n|bien&m adj|content&m co|hein
%mor:	adv|d'ailleurs det:art|le&m&sg n|lapin&m pro:sub|on v|dire-COND&3s
	adv|presque det:art|un&m&sg n|kangourou&m
%mor:	part|taire-PP&m v|trouver-PRES&SUB&2s neg|pas ?
%mor:	pro|moi&sg pro:sub|je v|trouver-IMP&2s pro:rel|que$pro:sub|il
	v|ressembler-PRES&SUB&13s det:art|un&m&sg adv|peu prep|à
	det:art|un&m&sg n|kangourou&m adv|mais pro:y|en part|faire-PP&m
	part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
	pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg n|lapin&m
%mor:	adv|parce adv|que v|regarder-IMP&2s pro:sub|il v:aux|avoir&PRES&3s
	det:art|une&f&sg adj|petit&f n|queue&f prep|de n|lapin&m
	adv:place|là
%mor:	conj|et part|luire&PP&m pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui
	adv:place|là ?
%mor:	det:art|un&m&sg n|écureuil&m
%mor:	pro:obj|nous neg|ne v:mdl|aller&FUT&1p qn|plus prep|à&le n|bois&m
%mor:	v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|on
	re#v|trouver-PRES&SUB&13s det:art|le&m&sg n|disque&m
%mor:	det:art|la&f&sg n|chanson&f prep|de&le adj|petit&m n|lapin&m
%mor:	det:art|un&m&sg adj|petit&m n|lapin&m
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas co|non=no prep|plus
	det:art|le$n|air&m=air
%mor:	det:art|un&m&sg adj|petit&m n|lapin&m conj|si$v:aux|être&PRES&3s
	part|sauver-PP&m prep|dans det:art|le&m&sg n|jardin&m
%mor:	v|chercher-IMP&2p pro|moi&sg
%mor:	co|coucou=peekaboo
%mor:	co|coucou=peekaboo
%mor:	pro:sub|je v:aux|être&PRES&1s part|cacher-PP&m prep|sous
	det:art|un&m&sg n|chou&m
%mor:	re#part|muer&m-PPRE det:poss|son&m&sg n|nez&m pro:sub|il
	pro:refl|se v|moquer-PRES&SUB&13s prep|de&le n|fermier&m
%mor:	co|oh
%mor:	adv|alors conj|et pro:dem|ça ?
%mor:	part|taire-PP&m det:art|la&f&sg v|connaître-PRES&IMP&12s ?|celleci
%mor:	det:art|la&f&sg n|chanson&f prep|avec det:art|les&pl n|cloche&f-PL
%mor:	part|taire-PP&m v|souvenir-IMP&2s ?
%mor:	n|frère&m ?|jacques
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|luire&PP&m det:art|le&m&sg
	n|frère&m ?|jacques
%mor:	n|frère&m ?|jacques
