%mor:	co|mh
%mor:	prep|à&le n|galop&m prep|à&le n|galop&m
%mor:	co|oh adv:place|là
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|perdre-PP&m det:poss|sa&f&sg
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|faire-PP&m
	v|tomber-INF
%mor:	adv|ensuite
%mor:	det:art|le&m&sg n|triangle&m adj|rouge
%mor:	part|taire-PP&m det:art|le&m&sg n|mets&m pro:int|où ?
%mor:	pro:obj|nous pro:sub|on v:mdl|vouloir&PRES&3s det:art|un&m&sg
	n|triangle&m
%mor:	co|oui=yes
%mor:	adv|mais pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|rectangle&m
%mor:	det:art|le&m&sg n|triangle&m pro:sub|il v:aux|être&PRES&3s
	pro:int|où ?
%mor:	co|bravo
%mor:	pro:sub|on pro:obj|le v|mettre-PRES&3s adv:place|là
%mor:	co|oh
%mor:	det:art|un&m&sg adj|carré&m adj|bleu&m
%mor:	adj|carré&m adj|bleu&m
%mor:	v|mettre-IMP&2s neg|pas prep|à det:art|la&f&sg n|bouche&f
%mor:	co|mhm
%mor:	co|bah n|mets&m det:art|les&pl prep|dessus n|si&m pro:dem|ça
	v|rentrer-PRES&SUB&13s
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	adv|comme pro:dem|ça
%mor:	adv|alors
%mor:	n|pose&f det:art|le&m&sg adv:place|là adj|haut&f n|rond&m prep|à&le
	n|lieu&m prep|de det:art|le&m&sg n|manger&m=food
%mor:	co|oui=yes
%mor:	adv|mais adv|si part|taire-PP&m pro:y|y v|arriver-PRES&SUB&2s
	pro|toi&sg
%mor:	det:art|le&m&sg n|rose
%mor:	adv|ensuite
%mor:	det:art|le&m&sg adj|vert&m
%mor:	pro:dem|ça ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	n|ferme&f co|euh pro:rel|que$pro:sub|on v:mdl|faire-PRES&SUB&13s
	prep|de&les n|forme&f-PL ?
%mor:	det:art|les&pl pro|autres&pl ?
%mor:	pro:sub|on v|ranger-IMP&2s ?|celuilà ?
%mor:	co|allez
%mor:	pro:sub|on v|ranger-PRES&SUB&13s
%mor:	pro:sub|on v|ranger-PRES&SUB&13s adv|tout
%mor:	adv:place|là pro:dem|ce$v:exist|être&PRES&3s part|faire-PP&m
	?|celuilà
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	co|merci adj|grand&f n|fille&f
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF ?|ceuxlà
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF pro:int|quoi
	?
%mor:	det:art|le&m&sg n|puzzle&m conj|ou det:art|les&pl n|forme&f-PL ?
%mor:	conj|ou det:art|les&pl n|animal&m&pl ?
%mor:	pro:dem|ça ?
%mor:	adv|alors
%mor:	pro:dem|ça pro:sub|on pro:obj|le$v:poss|avoir&PRES&3s adv|déjà
	part|faire-PP&m pro:dem|ça
%mor:	co|mh
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF ?|ceuxlà
%mor:	pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|monsieur&m ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	v|attendre-IMP&2s
%mor:	v|lever-IMP&2s pro|toi&sg
%mor:	part|taire-PP&m det:art|le&m&sg v|plier-PRES&SUB&2s adv:place|là
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|pantin&m
%mor:	n|pantin&m
%mor:	co|oui=yes
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	det:art|un&m&sg n|ballon&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	v|regarder-IMP&2s
%mor:	adv|encore det:art|un&m&sg n|pantin&m
%mor:	co|oh conj|et pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	det:art|un&m&sg n|oiseau&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|oiseau&m
%mor:	pro:sub|on v|dire-COND&3s det:art|un&m&sg n|canard&m=duck co|hein
%mor:	det:art|un&m&sg n|oiseau&m co|ouais=yes
%mor:	det:art|un&m&sg n|canard&m=duck
%mor:	adv|comme part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	conj|et pro:dem|ça ?
%mor:	co|bravo
%mor:	conj|et pro:dem|ça
%mor:	pro:int|où pro:dem|ce$v:exist|être&PRES&3s pro:rel|que$pro:sub|il
	v:mdl|aller&PRES&3s det:art|le&m&sg n|canard&m=duck ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|soleil&m pro:dem|ça
	co|ouais=yes
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|vouloir&PRES&12s
	det:art|le&m&sg n|soleil&m ?
%mor:	v|tenir-IMP&2s det:art|le&m&sg n|soleil&m
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là det:art|le&m&sg
	n|soleil&m
%mor:	co|oui=yes
%mor:	prep|de pro:rel|quoi ?
%mor:	part|taire-PP&m v|arriver-PRES&SUB&2s neg|pas ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là det:art|le&m&sg
	n|canard&m=duck
%mor:	v|regarder-IMP&2s
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|mettre-IMP&2s det:art|le&m&sg det:poss|ton&m&sg n|canard&m=duck
%mor:	conj|et det:art|le&m&sg n|poisson&m
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg
	n|poisson&m ?
%mor:	v|tenir-IMP&2s
%mor:	co|bravo
%mor:	v|mettre-IMP&2s det:art|le&m&sg det:art|le&m&sg n|poisson&m
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
	pro:obj|nous n|manque&m ?|làbas ?
%mor:	v|tenir-IMP&2s
%mor:	det:art|les&pl n|cerise&f-PL
%mor:	co|non=no
%mor:	pro:dem|ça v:mdl|aller&PRES&3s neg|pas prep|sur ?|celuilà
%mor:	pro:sub|je pro:obj|me v:aux|être&PRES&1s part|tromper-PP&f
	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|poire&f
%mor:	det:art|le&m&sg n|soleil&m ?
%mor:	co|bah adv|alors
%mor:	pro:sub|elle v:aux|être&PRES&3s
%mor:	co|ah
%mor:	co|la adv:place|voilà det:art|la&f&sg n|poire&f
%mor:	v|tenir-IMP&2s
%mor:	det:art|la&f&sg n|poire&f ?|làbas
%mor:	co|mhm
%mor:	co|oui=yes
%mor:	co|bravo
%mor:	v|tenir-IMP&2s
%mor:	det:art|la&f&sg n|chaussure&f adv|aussi
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|mettre-IMP&2s det:poss|ta&f&sg n|poire&f prep|comme pro:sub|il
	v:mdl|falloir&PRES&3s
%mor:	co|bravo ?|ana
%mor:	v|tenir-IMP&2s
%mor:	det:art|la&f&sg n|chaussure&f
%mor:	det:art|un&m&sg n|triangle&m
%mor:	pro:sub|il v:aux|être&PRES&3s n|passé&m prep|à n|travers&m
	det:poss|ton&m&sg n|triangle&m ?
%mor:	co|mhm
%mor:	pro:sub|il v:mdl|falloir&PRES&3s prep|de&les n|rond&m-PL adv|aussi
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|où det:art|les&pl
	n|rond&m-PL ?
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|perdre-PP&m det:art|les&pl
	n|rond&m-PL
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas pro|toi&sg ?
%mor:	part|taire-PP&m v|arriver-PRES&SUB&2s neg|pas ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|oui=yes
%mor:	adv|mais det:dem|ces&m&pl prep|de&les n|rond&m-PL adv|comme
	pro:dem|ça
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où pro:sub|ils
	v:aux|être&PRES&3p
%mor:	co|ouais=yes
%mor:	v|tenir-IMP&2s
%mor:	v|mettre-IMP&2s det:art|la&f&sg n|chaussure&f
%mor:	v|mettre-IMP&2s det:art|la&f&sg n|chaussure&f
%mor:	adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|difficile pro:dem|ça
%mor:	co|mh
%mor:	v|tenir-IMP&2s
%mor:	det:art|le$n|orange
%mor:	adv|mais adv|si part|taire-PP&m pro:y|y v|arriver-PRES&SUB&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|parce adv|que part|taire-PP&m
	n|tape&f-PL prep|dessus adv|que pro:dem|ça re#v|partir-PRES&3s
%mor:	adv|forcément
%mor:	v|tenir-IMP&2s
%mor:	co|oui=yes
%mor:	adv|comme pro:dem|ça
%mor:	v|tenir-IMP&2s
%mor:	det:art|le&m&sg n|rond&m
%mor:	co|non=no adv|mais pro:dem|ce$v:exist|être&PRES&3s co|bon
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas n|besoin&m prep|de
	v|taper-INF prep|dessus ?|ninette
%mor:	n|si&m ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|besoin&m ?
%mor:	conj|et pro:sub|il v:mdl|aller&PRES&3s adv:place|là ?|celuilà ?
%mor:	co|ouais=yes
%mor:	prep|en n|bas&m prep|en n|bas&m n|oui&m
%mor:	co|bah pro:sub|elles v:aux|être&PRES&3p pro:int|où det:art|les&pl
	pro|autres&pl
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:sub|on v:aux|avoir&PRES&3s part|finir-PP&m ?
%mor:	co|ah pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg n|triangle&m
	?|làhaut
%mor:	co|bah pro:int|où pro:sub|ils v:aux|être&PRES&3p det:art|les&pl
	n|rond&m-PL ?
%mor:	co|hop
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|tout&m part|faire-PP&m ?
%mor:	co|bon
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|orange pro:dem|ça
%mor:	v|tenir-IMP&2s
%mor:	det:art|un&m&sg n|rectangle&m
%mor:	co|bon
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	v:aux|être&PRES&3s prep|passé det:art|le&m&sg n|rond&m
%mor:	pro:sub|il v:aux|être&PRES&3s part|tomber-PP&m ?
%mor:	co|ah
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|faire-PP&m v|tomber-INF
	det:art|les&pl n|cerise&f-PL
%mor:	co|ah
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|je$v:aux|être&IMPF&12s adv:place|dessus
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	part|taire-PP&m n|mets&m det:art|le&m&sg n|rond&m ?|làbas ?
%mor:	prep|dans det:art|le$pro|autre&sg n|sens&m
%mor:	co|bravo
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|parce adv|que part|taire-PP&m
	n|tape&f-PL adv|que pro:dem|ça pro:refl|se$pro:y|en
	v:mdl|aller&PRES&3s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|gagner-PP&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|tout&m part|faire-PP&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF
	det:art|un&m&sg pro|autre&sg ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF
	det:art|un&m&sg pro|autre&sg conj|ou neg|pas ?
