%mor:	adv:place|là part|taire-PP&m v:aux|avoir&PRES&2s num|deux n|an&m-PL
%mor:	adv|alors part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|aliyah
	pro:int|où v:int|est–ce pro:rel|que$pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|aller&INF prep|en n|vacance&f-PL ?
%mor:	pro:int|où v:int|est–ce pro:rel|que$pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|aller&INF ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF prep|à co|la ?
%mor:	prep|à det:art|la&f&sg ?
%mor:	prep|à det:art|la&f&sg n|mer&f=sea ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|faire-INF prep|à det:art|la&f&sg n|mer&f=sea ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:int|quoi ?
%mor:	pro:int|que$v:int|est–ce part|taire-PP&m v:mdl|faire-PRES&12s
	adv:place|là ?
%mor:	n|lèche&f det:poss|ton&m&sg n|doigt&m
%mor:	co|ben co|oui=yes neg|ne$v|importer-IMP&2s pro:int|quoi
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|savoir&PRES&12s
	v|nager-INF ?
%mor:	co|hein ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s v|nager-INF conj|ou neg|pas ?
%mor:	co|allez n|mélange&m n|mélange&m v|mélanger-PRES&SUB&13s adv|vite
	adv|vite adv|vite
%mor:	part|taire-PP&m v|continuer-PRES&SUB&2s prep|à v|mélanger-INF
	det:art|un&m&sg adj|petit&m n|peu&m adv|puis adv:place|après
	pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF prep|dans
	det:art|le&m&sg n|moule
%mor:	v:mdl|aller&IMP&2p pro:sub|on v:mdl|aller&PRES&3s pro:obj|le
	v|mettre-INF prep|dans det:art|le&m&sg n|moule ?
%mor:	co|ben n|oui&m
%mor:	co|allez co|oh pro:dem|ce$v:aux|être&PRES&3s adv|lourd
%mor:	co|oh pro:dem|ce$v:aux|être&PRES&3s adv|lourd
%mor:	adv:place|voilà
%mor:	co|ah adv|ben pro:dem|ça part|faire-PP&m pro:dem|ça part|faire-PP&m
	adv|beaucoup prep|de n|truc&m-PL co|hein adv|quand adv|même
%mor:	co|hum co|voilà
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|lécher-INF det:art|le&m&sg
	n|plat&m det:art|un&m&sg adj|petit&m n|peu&m ?
%mor:	conj|et pro:sub|on v|mettre-PRES&3s prep|dans det:art|le&m&sg
	n|four&m
%mor:	pro:sub|je v:mdl|aller&PRES&1s v:mdl|faire-INF prep|de&le n|thé&m
%mor:	conj|et adv|après
%mor:	conj|et adv:place|après pro:sub|on v:mdl|aller&PRES&3s
	re#v|trouver-INF
%mor:	?|alice ?|aurel conj|et ?|sybille
%mor:	co|hé co|oui=yes pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF
	prep|dans det:poss|leur&sg n|maison&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?|alice ?|aurel conj|et
	?|sybille ?
%mor:	co|oh pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|peu&m
	adj|dégoûtant&m=disgusting pro:rel|ce–que part|taire-PP&m
	v:mdl|faire-PRES&12s ?|anaé
%mor:	v|attendre-IMP&2s pro:sub|je v:mdl|aller&PRES&1s
	pro:obj|te$v|essuyer-INF=dry det:art|la&f&sg n|main&f
%mor:	co|oh co|berk co|berk co|berk co|berk
%mor:	v|attendre-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg det:art|le&m&sg
	adj|petit&m n|cochon&m pro:int|qui
	pro:refl|se$v|appeler-PRES&SUB&13s n|jules&m ?
%mor:	co|ouais=yes ?
%mor:	co|euh
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v:mdl|faire-INF ?|anaé ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|lire-INF det:art|un&m&sg
	n|livre ?
%mor:	co|han
%mor:	co|ah co|non=no pro:dem|ce$v:aux|être&PRES&3s pro|moi&sg
%mor:	co|non=no pro:dem|ce$v:aux|être&PRES&3s pro|moi&sg
%mor:	co|ah co|bon adv|d'accord
%mor:	pro:sub|je v:mdl|vouloir&PRES&12s adv|bien
%mor:	co|hop
%mor:	pro:sub|on v|enlever-PRES&SUB&13s det:art|le&m&sg
	adj|beau&m&sg=pretty n|tablier&m
%mor:	co|oui=yes
%mor:	prep|à det:art|les&pl n|parrain&m-PL part|taire-PP&m
	v:mdl|aller&PRES&2s v|montrer-INF det:poss|ton&m&sg n|cadeau&m ?
%mor:	prep|à det:poss|ton&m&sg n|parrain&m
%mor:	co|non=no prep|à det:poss|ton&m&sg n|parrain&m prep|à pro|toi&sg
%mor:	adv:place|voilà
%mor:	v|tenir-IMP&2s v|asseoir&PRES&12s pro|toi&sg prep|sur
	det:art|la&f&sg n|chaise&f
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s
%mor:	co|ah co|non=no part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s
	neg|pas
%mor:	co|non=no
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s det:art|un&m&sg
	pro|autre&sg adv|de ?|emma adv|mais pro:dem|ce$v:exist|être&PRES&3s
	neg|pas pro:dem|celui–là
%mor:	v|regarder-PRES&SUB&13s pro:dem|celui–ci
	pro:refl|se$v|appeler-PRES&SUB&13s
%mor:	?|emma conj|et det:art|le&m&sg n|bain&m prep|à det:art|la&f&sg
	n|banane&f
%mor:	co|wah conj|et v:int|est–ce adv|que part|taire-PP&m
	v:mdl|savoir&PRES&12s pro:int|qui v:aux|avoir&PRES&3s
	part|écrire-PP&m pro:dem|ce n|livre ?
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que pro:sub|je pro:obj|te
	v|dire-PRES&SUB&13s pro:int|qui v:int|est–ce pro:int|qui
	v:aux|avoir&PRES&3s part|écrire-PP&m pro:dem|ce n|livre ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|maman&f adv|de
	?|aliyah
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|maman&f adv|de
	?|aliyah pro:int|qui v:aux|avoir&PRES&3s part|écrire-PP&m pro:dem|ce
	n|livre
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s n|merci ?
%mor:	?|anaé ?
%mor:	pro:sub|il v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m
	v:mdl|faire-PRES&SUB&2s det:art|un&m&sg n|bisou&m prep|à ?|aliyah
%mor:	part|taire-PP&m v:mdllex|vouloir&PRES&12s pro:rel|que$pro:sub|on
	pro:obj|le v|lire-PRES&SUB&13s ?
%mor:	conj|ou pro:dem|ce$v:exist|être&PRES&3s pro|toi&sg pro:int|qui
	v|raconter-PRES&SUB&2s ?
%mor:	adv|alors v:mdl|falloir&PRES&3s v|commencer-INF prep|à&le n|début&m
%mor:	co|oh pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|elle
	part|faire-PP&m ?|emma ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle part|faire-PP&m ?
%mor:	pro:sub|elle v|prendre-PRES&3s det:poss|son&m&sg n|bain&m
%mor:	prep|en part|manger&m-PPRE det:art|une&f&sg n|banane&f
%mor:	v|dire-PRES&PASS&12s adv|donc
%mor:	adv|alors v:mdl|aller&PRES&2s pro:y|y v|raconter-IMP&2s pro|moi&sg
	pro:rel|ce–que part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	adv|alors pro:dem|ce$v:aux|être&PRES&3s ?|emma
	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle part|faire-PP&m ?
%mor:	co|ah co|bon pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|elle
	part|faire-PP&m prep|comme n|bêtise&f-PL ?
%mor:	co|attention det:art|les&pl n|page-PL
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s prep|de&les n|bêtise&f-PL
	pro|toi&sg prep|de&les n|fois&f ?
%mor:	co|oui=yes pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s prep|comme n|bêtise&f-PL ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|de&le n|gâteau&m
	adv:place|là
%mor:	prep|de&le n|gâteau&m prep|sur det:art|la&f&sg n|bouche&f
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m v:mdl|faire-IMP&2s
	prep|comme n|bêtise&f-PL ?
%mor:	pro:sub|elle v|crier-PRES&SUB&13s ?
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s prep|comme n|animal&m&pl prep|dans
	det:poss|son&m&sg n|bain&m part|taire-PP&m pro:obj|me
	v|dire-PRES&PASS&12s ?
%mor:	co|oui=yes
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|un&m&sg
	n|requin&m pro:dem|ce$v:exist|être&PRES&3s det:art|une&f&sg
	n|baleine&f
%mor:	conj|et pro:dem|ça ?
%mor:	co|ouais=yes
%mor:	co|oh pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s v|regarder-IMP&2s ?|emma ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle part|faire-PP&m ?
%mor:	adv:int|pourquoi pro:sub|elle v|pleurer-PRES&SUB&13s ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s n|pourquoi&m pro:sub|elle
	v|pleurer-PRES&SUB&13s adv|parce pro:rel|que$pro:sub|elle
	v:mdl|vouloir&PRES&3s det:art|une&f&sg n|banane&f
%mor:	pro:sub|elle v:mdl|vouloir&PRES&3s det:art|une&f&sg n|banane&f
	prep|dans det:poss|son&m&sg n|bain&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|normal&m&sg adv|de
	v:aux|avoir&INF det:art|une&f&sg n|banane&f prep|dans
	det:poss|son&m&sg n|bain&m ?
%mor:	co|ouais=yes ?
%mor:	part|taire-PP&m v|prendre-PRES&IMP&12s det:art|une&f&sg n|banane&f
	pro|toi&sg prep|pour v|prendre-INF det:poss|ton&m&sg n|bain&m ?
%mor:	v:mdl|faire-PRES&12s adv|doucement
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|poupée&f
	pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|un&m&sg n|bébé&m
	pro:sub|je v|penser-PRES&SUB&13s
%mor:	part|taire-PP&m v|croire&PRES&12s part|taire-PP&m v|croire&PRES&12s
	pro:rel|que$pro:sub|elle det:art|le&m&sg v|tenir-COND&3s adv|comme
	pro:dem|ça det:poss|son&m&sg n|bébé&m ?
%mor:	co|non=no co|hein
%mor:	co|ouais=yes
%mor:	part|taire-PP&m prep|en v|connaître-PRES&IMP&12s prep|de&les
	n|bébé&m-PL pro|toi&sg ?
%mor:	pro:int|qui v:int|est–ce adv|que part|taire-PP&m
	v|connaître-PRES&IMP&12s prep|comme n|bébé&m ?
%mor:	?|emma ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bébé&m ?
%mor:	co|oh v|regarder-IMP&2s pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|elle part|faire-PP&m prep|avec det:poss|sa&f&sg
	n|banane&f ?
%mor:	co|ouais=yes
%mor:	conj|et pro:sub|elle det:art|la&f&sg v|mettre-PRES&3s pro:rel|où
	det:art|la&f&sg n|peau&f ?
%mor:	co|oh co|non=no
%mor:	v:mdl|falloir&PRES&3s neg|pas v:mdl|faire-INF pro:dem|ça
%mor:	pro:sub|elle v:exist|être&PRES&3s det:art|un&m&sg n|peu&m
	adj|coquin&f ?|emma pro:sub|on v|dire-COND&3s co|hein
%mor:	co|oh det:art|la&f&sg n|banane&f pro:sub|elle v:aux|avoir&PRES&3s
	n|disparu&m
%mor:	pro:sub|elle v:aux|être&PRES&3s part|tomber-PP&f prep|dans
	det:art|le$n|eau&f co|han
%mor:	n|catastrophe&f
%mor:	n|catastrophe&f det:art|la&f&sg n|banane&f v:aux|être&PRES&3s
	part|tomber-PP&f prep|dans det:art|le$n|eau&f
%mor:	co|ben n|oui&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:sub|elle
	v:aux|avoir&PRES&3s n|plein&m
%mor:	co|oh pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:exist|être&PRES&3s pro:dem|ce n|bruit&m ?
%mor:	pro:sub|je v|croire&PRES&12s pro:int|que
	pro:dem|ce$v:aux|être&PRES&3s n|papa&m conj|et n|papa&m pro:int|qui
	v:aux|avoir&PRES&3s part|prendre-PP&m prep|de det:art|le$n|eau&f
	prep|à&le n|robinet&m adv:place|dehors
%mor:	prep|pour v:mdl|faire-INF det:poss|son&m&sg n|barbecue&m
%mor:	part|taire-PP&m part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m
	det:art|un&m&sg n|cadeau&m prep|pour det:art|la&f&sg n|fête&f
	prep|de&les n|papa&m-PL prep|chez ?|véro ?
%mor:	conj|ou neg|pas adv|encore ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	v:mdl|falloir&PRES&3s neg|pas part|luire&PP&m n|dire&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:exist|être&PRES&3s
	pro:rel|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	det:art|le&m&sg n|cadeau&m prep|pour n|papa&m ?
%mor:	co|ben co|non=no pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s
%mor:	part|taire-PP&m part|luire&PP&m v:aux|avoir&PRES&2s part|faire-PP&m
	det:art|un&m&sg n|dessin&m ?
%mor:	det:art|un&m&sg n|dessin&m prep|de pro:rel|quoi ?
%mor:	adv|doucement
%mor:	adv|ben part|taire-PP&m pro:obj|nous v:aux|avoir&PRES&2s neg|pas
	adv|beaucoup part|raconter-PP&m det:art|le$n|histoire&f co|hein
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que pro:sub|je
	pro:obj|te v|raconter-IMP&2s pro|moi&sg ?
%mor:	adv|d'accord
%mor:	adv|alors v|attendre-PRES&12s pro:sub|je$v|enlever-IMP&2s
	det:poss|mon&m&sg n|sachet&m prep|de n|thé&m
%mor:	adv|alors ?|emma conj|et det:art|le&m&sg n|bain&m prep|à
	det:art|la&f&sg n|banane&f
%mor:	part|taire-PP&m v|regarder-PRES&SUB&2s ?
%mor:	?|emma v|adorer-IMP&2s pro:refl|se v|mettre-INF prep|de&les
	n|crème&f-PL prep|en part|pincer&m-PPRE prep|de&les n|tube&m-PL=tube
	conj|ou prep|en n|versant&m prep|de&les n|pommade&f-PL
	part|parfumer-PP&f&pl prep|sur n|tout&m det:art|le&m&sg n|corps&m
%mor:	v|tenir-IMP&2s n|tien&m-PL pro:dem|ça pro:obj|me
	v|rappeler-PRES&SUB&13s det:gen|quelque$det:art|un&m&sg pro:dem|ça
%mor:	part|taire-PP&m v|aimer-PRES&SUB&2s n|bien&m pro|toi&sg adv|aussi
	pro:obj|te v|mettre-INF prep|de&les n|pommade&f-PL adv|partout
%mor:	conj|et prep|de&les n|crème&f-PL
%mor:	co|non=no part|taire-PP&m v|aimer-PRES&SUB&2s neg|pas pro:obj|me
	v|piquer-INF det:poss|mes&pl n|crème&f-PL ?
%mor:	co|non=no ?
%mor:	adv|jamais adv|jamais adv|jamais ?
%mor:	adv|alors
%mor:	pro:sub|elle v|collectionner-PRES&SUB&13s adv|aussi det:art|les&pl
	adj|petit&f-PL n|bouteille&f-PL prep|de n|shampoing&m conj|et
	det:art|les&pl n|savonnette&f-PL prep|que n|mamy&f part|luire&PP&m
	v:aux|avoir&PRES&3s part|rapporter-PP&f&pl prep|de&les n|hôtel&m-PL
	adv|quand pro:sub|elle n|voyage&m
%mor:	pro|toi&sg adv|aussi part|taire-PP&m v|aimer-PRES&SUB&2s adv|bien
	pro:dem|ça
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s det:art|les&pl
	pro|toutes&f&pl adj|petit&f-PL n|bouteille&f-PL prep|de
	n|shampoing&m conj|et det:art|les&pl adj|petit&m-PL n|savon&m-PL
%mor:	adv|que part|taire-PP&m v|aimer-PRES&SUB&2s adv|bien
%mor:	conj|et det:art|le&m&sg adj|petit&m n|savon&m det:art|le&m&sg
	adj|petit&m n|savon&m adj|mignon&m
%mor:	co|hum ?
%mor:	pro:int|quoi ?
%mor:	prep|à det:poss|sa&f&sg n|gorge&f ?
%mor:	pro:sub|je v|comprendre-PRES&IMP&12s neg|pas pro:rel|ce–que
	part|taire-PP&m v|dire-PRES&PASS&12s
%mor:	prep|à det:poss|sa&f&sg n|gorge&f ?
%mor:	det:art|la&f&sg n|gorge&f prep|de pro:rel|qui ?
%mor:	adv|de ?|emma ?
%mor:	?|emma neg|ne v|aimer-IMP&2s neg|pas adv|trop v:poss|avoir&INF
	det:art|les&pl n|cheveu&m-PL part|mouiller-PP&m&pl n|mai&m-PL
	pro:sub|elle v:mdl|vouloir&PRES&3s adv|bien det:art|les&pl
	v|laver-INF adv|parce adv|que pro:dem|ça v|sentir-PRES&3s co|bon
%mor:	prep|dans det:poss|son&m&sg n|bain&m pro:sub|elle
	pro:refl|se$v|amuser-IMP&2s prep|à v:mdl|faire-INF prep|de&les
	n|bulle&f-PL conj|et prep|à v|chanter-INF
%mor:	n|bulle&f-PL prep|de n|savon&m sing|lilala pro:sub|je n|sens&m
	adj|bon&m sing|lulala
%mor:	pro:sub|je pro:obj|me n|mets&m prep|dans det:art|le$n|eau&f
	det:art|le&m&sg co|la sing|la
%mor:	prep|pour det:art|une&f&sg adj|joli&f n|peau&f sing|lolala
%mor:	v:int|est–ce adv|que part|taire-PP&m v|aimer-PRES&SUB&2s
	v|chanter-INF pro|toi&sg prep|dans det:poss|ton&m&sg n|bain&m ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s prep|dans det:art|le&m&sg n|bain&m ?
%mor:	part|taire-PP&m v|prendre-PRES&IMP&12s det:art|le&m&sg n|bain&m
	prep|avec pro:rel|qui pro|toi&sg ?
%mor:	co|non=no adv|mais adv|quand part|taire-PP&m v|prendre-PRES&IMP&12s
	det:art|le&m&sg n|bain&m prep|dans det:art|la&f&sg
	n|+n|salle+prep|de+n|bain prep|à det:art|la&f&sg n|maison&f
	pro:sub|tu v|prendre-PRES&IMP&12s det:art|le&m&sg n|bain&m prep|avec
	pro:rel|qui ?
%mor:	prep|avec det:poss|tes&pl n|frère&m-PL ?
%mor:	pro:obj|vous v|jouer-PRES&2p prep|à pro:rel|quoi ?
%mor:	conj|et det:art|le$pro|autre&sg n|jour&m prep|avec pro:rel|qui
	part|taire-PP&m v:aux|avoir&PRES&2s part|prendre-PP&m
	det:poss|ta&f&sg n|douche&f ?
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s ?
%mor:	prep|avec pro:rel|qui pro:sub|tu v:aux|avoir&PRES&2s
	part|prendre-PP&m det:art|la&f&sg n|douche&f ?
%mor:	pro:obj|vous v:aux|avoir&PRES&2p part|jouer-PP&m prep|à
	det:art|la&f&sg n|piscine&f ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui v:aux|être&PRES&3s
	part|venir-PP&m prep|avec pro:obj|nous prep|chez n|mamy&f
	?|catherine n|dimanche&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|anouk
%mor:	?|anouk
%mor:	conj|et adv:int|quand pro:sub|on v:aux|être&PRES&3s
	re#part|venir-PP&m&pl pro:obj|vous v:aux|avoir&PRES&2p
	part|prendre-PP&m det:poss|votre&sg n|douche&f pro|toutes&f&pl
	det:art|les&pl num|deux
%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:obj|vous v:aux|avoir&PRES&2p ?
%mor:	pro:obj|vous v:aux|avoir&PRES&2p part|faire-PP&m prep|de&les
	n|bulle&f-PL pro:obj|vous v:aux|avoir&PRES&2p part|faire-PP&m
	prep|de&les n|bêtise&f-PL adv|aussi
%mor:	pro:obj|vous v:aux|avoir&PRES&2p part|mettre-PP&m prep|de
	det:art|le$n|eau&f adv|partout adv|partout adv|partout adv|partout
	adv|partout
%mor:	pro:int|qui v:int|est–ce pro:int|qui v:aux|avoir&PRES&3s
	part|nettoyer-PP&m ?
%mor:	conj|et n|pourquoi&m pro:y|y v:aux|avoir&IMPF&3s prep|de
	det:art|le$n|eau&f adv|partout ?
%mor:	pro:sub|vous v:aux|avoir&PRES&2p part|jouer-PP&m prep|à
	pro:rel|quoi prep|dans det:art|la&f&sg n|douche&f ?
%mor:	adv|ben pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:sub|elle neg|ne conj|si$pro:y|y v|sentir-PRES&3s adv|jamais
	adj|seul&f n|maman&f n|reste&m adv:place|à–côté=aside adv|de
	pro:sub|elle conj|et adv|puis pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|la&f&sg n|famille&f n|canard&m=duck det:art|une&f&sg
	n|grenouille&f det:art|une&f&sg n|baleine&f adv|mais neg|pas prep|de
	n|requin&m
%mor:	n|livreur&m
%mor:	co|hé co|hé co|hé v|monter-IMP&2s neg|pas prep|sur det:art|la&f&sg
	n|table&f
%mor:	co|ouais=yes
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu
	pro:dem|ce$v:aux|être&PRES&3s ?|toine conj|et ?|collin ?
%mor:	v:mdllex|aller&IMP&2p pro:sub|on v|continuer-PRES&SUB&13s prep|de
	v|lire-INF det:art|le&m&sg n|livre ?
%mor:	adv|ben pro:sub|il v|regarder-PRES&SUB&13s det:art|les&pl
	n|truc&m-PL adv|mais pro:sub|il pro:obj|te det:art|les&pl
	v|rendre-FUT&3s adv|après
%mor:	v:mdllex|aller&IMP&2p pro:sub|on v|continuer-PRES&SUB&13s prep|de
	v|lire-INF
%mor:	conj|et prep|dans det:poss|sa&f&sg n|tête&f pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s ?|antonin ?|guillaume ?|anna conj|et n|mamy&f
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s n|mamy&f prep|dans
	det:poss|sa&f&sg n|tête&f
%mor:	n|mamy&f pro:int|qui ?
%mor:	co|ouais=yes
%mor:	conj|et n|ton&m=tone pro|autre&sg n|mamy&f pro:sub|elle
	pro:refl|se$v|appeler-PRES&SUB&13s n|comment&m ?
%mor:	det:poss|ma&sg n|maman&f prep|à pro|moi&sg pro:sub|elle
	pro:refl|se$v|appeler-PRES&SUB&13s n|comment&m ?
%mor:	n|mamy&f ?|catherine
%mor:	co|ouais=yes
%mor:	v|asseoir&PRES&12s pro|toi&sg ?|anaé
%mor:	?|emma v|prendre-PRES&3s det:art|un&m&sg n|bain&m prep|lorsque
	det:art|le&m&sg n|téléphone&m=telephone v|sonner-PRES&SUB&13s
%mor:	adv|alors adv|toute det:poss|sa&f&sg adj|bon&f n|humeur&f
	pro:refl|se$pro:y|en v:mdl|aller&PRES&3s
%mor:	det:poss|sa&f&sg n|mère&f=mother v|parler-IMP&2s conj|et
	v|parler-IMP&2s conj|et v|parler-PRES&SUB&13s
%mor:	adv|même prep|avec det:poss|ses&pl n|canard&m-PL=duck conj|et
	det:poss|sa&f&sg n|baleine&f
%mor:	?|emma pro:refl|se v|sentir-PRES&3s adv|seule
%mor:	co|ouais=yes pro:dem|ce$v:aux|être&PRES&3s pro:int|qui ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|tomber-INF adv:place|là
	co|hein
%mor:	v|asseoir&PRES&12s pro|toi&sg
%mor:	v|asseoir&PRES&12s pro|toi&sg
%mor:	adv|mais co|non=no pro:int|quoi ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|jouer-INF prep|à
	det:art|le$n|ordinateur&m ?
%mor:	adv|après
%mor:	adv|quand pro:sub|on n|aura&f n|fini&m det:art|le&m&sg n|livre
	prep|après pro:sub|on v|jouer-FUT&3s prep|à
	det:art|le$n|ordinateur&m
%mor:	adv|d'accord ?
%mor:	det:art|un&m&sg pro|autre&sg pro:int|quoi ?
%mor:	det:art|un&m&sg pro|autre&sg n|cadeau&m ?
%mor:	co|ah co|bah pro:dem|ça v|suffire&PASS&3s adv|peut–être adv|quand
	adv|même
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je$v|ailler-IMP&2s v|chercher-INF det:art|un&m&sg
	pro|autre&sg n|livre ?
%mor:	det:art|un&m&sg n|livre prep|de pro:rel|quoi ?
%mor:	det:art|un&m&sg n|livre prep|de pro:dem|ça ?
%mor:	adv|ben pro:sub|on v|finir-PASS&3s pro:dem|celui–là adv|d'abord
	adv|alors
%mor:	conj|et pro:sub|elle part|dire-PP&m n|maman&f
	v|crier-IMP&2s~pro|elle
%mor:	v|attendre-IMP&2s ?|emma n|maman&f v|hurler-IMP&2s~pro|elle
%mor:	pro:sub|je v:aux|être&PRES&1s prep|à&le n|téléphone&m=telephone
%mor:	n|maman&f
%mor:	pro:sub|on v|dire-COND&3s det:gen|quelque$det:art|un&m&sg adv|que
	pro:sub|je v|connaître-PRES&IMP&12s
%mor:	n|deux&m adj|second&f-PL^adj|seconde&m-PL ?|emma
%mor:	n|maman&f pro:sub|je$v:aux|avoir&PRES&1s n|faim&f
%mor:	pro:sub|elle v:aux|avoir&PRES&3s n|faim&f
%mor:	co|ouais=yes
%mor:	pro:sub|elle v|prendre-PRES&3s det:poss|son&m&sg n|bain&m
%mor:	n|maman&f v|raccrocher-IMP&2s conj|et v|entrer-PRES&SUB&13s
	prep|dans det:art|la&f&sg n|+n|salle+prep|de+n|bain
%mor:	n|maman&f pro:sub|je v:mdl|vouloir&PRES&12s det:art|une&f&sg
	n|banane&f
%mor:	part|taire-PP&m v|manger-FUT&2s adv|quand part|taire-PP&m
	v:aux|être&FUT&2s n|sortie&f prep|de&le n|bain&m
%mor:	n|maman&f det:art|une&f&sg n|banane&f
%mor:	n|tout&m prep|à det:art|le$n|heure&f ?|emma
%mor:	co|non=no n|tout&m prep|de n|suite&f v|pleurnicher-IMP&2s~pro|elle
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s pro:dem|ça pro|toi&sg
	prep|de&les n|fois&f ?
%mor:	co|hein ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|faire-IMP&2s pro:dem|ça
	prep|de&les n|fois&f v:int|est–ce adv|que part|taire-PP&m
	v|dire-PRES&PASS&12s n|tout&m prep|de n|suite&f
%mor:	?|emma part|taire-PP&m neg|ne v:mdllex|pouvoir&IMP&2s neg|pas
	v|manger-INF det:art|une&f&sg n|banane&f prep|dans det:art|le&m&sg
	n|bain&m
%mor:	pro:sub|elle v:mdl|pouvoir&PRES&3s v|tomber-INF prep|dans
	det:art|le$n|eau&f adj|plein&f prep|de n|savon&m
%mor:	?|emma neg|ne v:exist|être&PRES&3s neg|pas adv|d'accord
	n|pourquoi&m det:art|la&f&sg n|banane&f v|tomber-COND&3s
	pro:sub|elle
