%mor:	co|non=no
%mor:	pro:sub|elle v:aux|avoir&PRES&3s adj|dû&m part|tomber-PP&m
%mor:	pro:sub|tu pro:y|y v|arriver-PRES&SUB&2s ?|ninette ?
%mor:	co|non=no ?
%mor:	v|tenir-IMP&2s
%mor:	part|taire-PP&m pro:obj|te$v|asseoir&IMP&2s adv:place|là ?
%mor:	co|non=no adv:place|là ?
%mor:	pro:sub|il pro:y|y v:aux|être&PRES&3s adv:place|là det:art|le&m&sg
	n|grenouille&f pro:dem|ça ?
%mor:	v|regarder-PRES&SUB&13s adv|bien
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|on det:art|la&f&sg v|voir&PRES&3s n|bien&m adv:place|là
%mor:	conj|et adv:place|là adv|aussi
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	det:art|une&f&sg n|tortue&f co|oui=yes co|bravo
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|copine&f prep|de
	?|nemo ?
%mor:	co|ouais=yes
%mor:	co|oh v|regarder-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|encore det:art|la&f&sg n|tortue&f
%mor:	co|ouais=yes pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|bébé&m
	n|tortue&f pro:dem|ça
%mor:	co|mh
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|squiz conj|et n|cruche&f
%mor:	co|mhm
%mor:	co|ah co|bah pro:sub|il v:aux|être&PRES&3s pro:int|où
	det:art|le&m&sg n|papa&m prep|de ?|nemo ?
%mor:	co|ohlàlà adv:place|là
%mor:	adv|encore det:art|le&m&sg n|requin&m ?
%mor:	co|ah adv:place|là
%mor:	co|bah pro:sub|on v:mdl|savoir&PRES&3s neg|pas
%mor:	pro:sub|on pro:y|y v:aux|avoir&PRES&3s neg|pas det:art|le&m&sg
	det:art|le$n|autocollant&m=sticker adv|encore
%mor:	pro:sub|on v:aux|avoir&PRES&3s neg|pas det:art|le$n|image&f
%mor:	co|oh conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi
	det:dem|cette&f&sg adj|petit&f n|fille&f
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
	n|pélican&m co|ouais=yes
%mor:	?|no pro:dem|ce$v:exist|être&PRES&3s pro:dem|ce$v:aux|être&PRES&3s
	n|marin&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|son&m&sg n|papa&m
	pro:int|qui v:aux|être&PRES&3s part|cacher-PP&m adv:place|dedans
%mor:	co|non=no pro:sub|il pro:obj|le$v:poss|avoir&PRES&3s
	part|cacher-PP&m prep|dans det:poss|sa&f&sg n|bouche&f
%mor:	co|mh
%mor:	prep|dans det:poss|son&m&sg n|bec&m
%mor:	co|ohlàlà adv:place|là
%mor:	co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|dentiste pro:dem|ça
	?
%mor:	conj|et co|bah pro:sub|il v:aux|être&PRES&3s adj|moche co|hein
%mor:	conj|et adv:place|voilà
%mor:	co|mh
%mor:	conj|et adv:place|voilà
%mor:	det:art|la&f&sg n|tortue&f
%mor:	v|dire-IMPF&12s adv|que pro:dem|ce$v:aux|être&IMPF&3s
	det:art|une&f&sg n|grenouille&f adv|mais
	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|tortue&f
%mor:	conj|et adv:place|voilà
%mor:	co|mh
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui pro:dem|ça ?
%mor:	det:art|le&m&sg n|requin&m co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|bruce
%mor:	pro:sub|on det:art|le&m&sg v|voir&PRES&3s adv:place|là
%mor:	co|mh
%mor:	?|bruce
%mor:	?|ana
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|de&le n|chocolat&m prep|de
	adv|partout
%mor:	co|mhm
%mor:	co|oh
%mor:	co|bon
%mor:	co|mh
%mor:	co|ah pro:sub|on v:aux|avoir&PRES&3s neg|pas part|faire-PP&m
	det:art|le$n|étoile&f
%mor:	pro:sub|on co|la v|mettre-PRES&3s det:art|le$n|étoile&f ?
%mor:	pro:sub|on co|la v|mettre-PRES&3s pro:rel|où ?
%mor:	prep|sur det:poss|ta&f&sg n|main&f ?
%mor:	co|non=no adv:place|là
%mor:	pro:int|où ?
%mor:	pro:sub|on pro:obj|le v|mettre-PRES&3s adv:place|là ?
%mor:	n|côté&m prep|de&les n|sapin&m-PL ?
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	det:art|un&m&sg n|ange&m
%mor:	pro:sub|on pro:obj|le v|mettre-PRES&3s pro:rel|où
	det:art|le$n|ange&m ?
%mor:	pro:int|qui n|joue&f prep|de det:art|la&f&sg n|trompette
%mor:	pro:sub|on v|mettre-PRES&3s pro:rel|où ?
%mor:	adv:place|là prep|à&le n|milieu&m ?
%mor:	pro:sub|ils v:mdl|aller&PRES&3p pro:refl|se v|marcher-INF
	adv:place|dessus
%mor:	pro:y|y v:aux|avoir&PRES&3s qn|plus prep|de n|place&f
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|mettre-INF adv:place|là
%mor:	pro:dem|ça pro:obj|te v:mdl|aller&PRES&3s ?
%mor:	conj|et det:art|la&f&sg n|dernier&f n|étoile&f ?
%mor:	co|ah
%mor:	pro:sub|je
%mor:	co|oui=yes
%mor:	co|oh pro:y|y pro:y|en v:aux|avoir&PRES&3s prep|de adv|partout
%mor:	co|mh
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|les v|coller-INF
	det:dem|ces&m&pl n|machin&n-PL adv:place|là ?
%mor:	co|ah co|bon
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:art|la&f&sg
	n|colle&f adv|alors ?
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te v|chercher-INF
	det:art|une&f&sg n|serviette&f ?|ana
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|lécher-INF ?
%mor:	pro:dem|ça v|empêcher-PRES&SUB&13s neg|pas adv|que part|taire-PP&m
	pro:y|en v:aux|avoir&PRES&2s prep|de adv|partout
%mor:	v|tenir-IMP&2s n|bichette&f=term_of_endearment
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s part|taire-PP&m
	v:aux|avoir&PRES&2s n|tout&m v|lécher-INF ?
%mor:	co|oui=yes co|bah part|taire-PP&m n|peu&m-PL conj|quand pro|même
	v|essuyer-INF=dry co|hein
%mor:	det:poss|ta&f&sg n|bouche&f adv|aussi
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|les&pl
	n|yeux&m pro:dem|ce$v:exist|être&PRES&3s det:art|la&f&sg n|bouche&f
	?|ana
%mor:	v|pousser-IMP&2s pro|toi&sg
%mor:	co|béh co|oui=yes prep|de&le n|chocolat&m
%mor:	co|non=no part|taire-PP&m v:aux|avoir&PRES&2s neg|pas prep|de
	n|chocolat&m prep|sur det:art|le&m&sg n|front&m
%mor:	part|taire-PP&m prep|en n|ange&m
%mor:	prep|plein det:art|la&f&sg n|bouche&f
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	v|attendre-IMP&2s
