%mor:	co|ben conj|ou conj|sinon part|taire-PP&m pro:obj|te n|mets&m
%mor:	conj|et pro:y|y n|aura&f n|jules&m adv|aussi
%mor:	conj|et ?|zoé
%mor:	conj|et pro:sub|je v|croire&PRES&12s conj|que pro:y|y n|aura&f
	neg|pas pro:obj|les pro:y|y v:aux|avoir&FUT&3s neg|pas n|dune&f
	conj|et v|marier-PRES&SUB&13s
%mor:	pro:sub|tu v:exist|être&FUT&2s co|la adv|seule adj|petit&f
	n|fille&f
%mor:	co|ouais=yes
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te v|donner-INF
	det:art|un&m&sg pro|autre&sg n|livre adv|si part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	co|ah co|tiens v|regarder-IMP&2s
%mor:	part|taire-PP&m n|montre&f-PL prep|à ?|aliyah
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|un&m&sg
	n|panda
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|kangourou&m
%mor:	n|kangourou&m
%mor:	pro:int|qui v:int|est–ce pro:int|qui pro:obj|te
	pro:obj|le$v:poss|avoir&PRES&3s part|donner-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s
%mor:	pro:dem|ce$v:aux|être&IMPF&3s prep|à ?|quiterie det:dem|cette&f&sg
	n|robe&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|quiterie pro:int|qui pro:obj|te
	pro:obj|le$v:poss|avoir&PRES&3s part|donner-PP&f
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|comme det:art|un&m&sg
	n|jupon&m
%mor:	co|ben pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|robe&f
	adv|aussi
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|kangourou&m
%mor:	on|stong on|stong on|stong on|stong
%mor:	co|oh pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s adv:place|là det:art|le&m&sg n|kangourou&m ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:sub|il
	v:aux|avoir&PRES&3s det:poss|son&m&sg n|bébé&m prep|dans
	det:poss|sa&f&sg n|poche&f
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|une&f&sg n|poche&f prep|sur
	det:poss|son&m&sg n|ventre&m
%mor:	conj|et prep|dans det:art|la&f&sg n|poche&f pro:sub|il
	v|mettre-PRES&3s det:poss|son&m&sg n|bébé&m
%mor:	on|stong on|stong on|stong on|stong on|stong
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|kangourou&m prep|de
	?|strasbourg
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|spécialité&f
	prep|de ?|strasbourg
%mor:	pro:sub|je pro:obj|le$v:poss|avoir&PRES&1s part|ramener-PP&m
	prep|de ?|strasbourg
%mor:	on|stong on|stong on|stong
%mor:	on|stong
%mor:	co|hop
%mor:	co|oh on|badaboum
%mor:	co|oh
%mor:	v|regarder-IMP&2s pro:dem|ce pro:rel|que$pro:sub|il
	pro:obj|te$v:poss|avoir&PRES&3s part|amener-PP&m ?|ael
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on part|dire-PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|martin n|bébé&m n|lutin&m
%mor:	part|taire-PP&m pro:obj|nous pro:obj|le v|raconter-PRES&SUB&2s
%mor:	part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|aliyah
	det:art|le$n|histoire&f ?
%mor:	co|oh co|ben pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s
%mor:	pro:sub|il v:aux|être&PRES&3s part|perdre-PP&m prep|dans
	det:art|le&m&sg n|jardin&m ?
%mor:	adv|alors pro:sub|il ?
%mor:	co|hum
%mor:	pro:sub|il v:aux|être&PRES&3s adj|triste v|regarder-IMP&2s
	pro:sub|il v:aux|avoir&PRES&3s prep|de&les adj|gros&f-PL
	n|larme&f-PL adv|aussi adj|gros&f-PL prep|que det:poss|son&m&sg
	n|nez&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:sub|elles
	v:aux|être&PRES&3p adj|gros&f-PL det:poss|ses&pl n|larme&f-PL
%mor:	pro:sub|il conj|si$v:aux|être&PRES&3s part|perdre-PP&m prep|dans
	det:art|le&m&sg n|jardin&m
%mor:	conj|et pro:sub|il part|dire-PP&m co|ouin
	pro:dem|ce$v:exist|être&PRES&3s n|malin&m
%mor:	conj|et adv|alors adv|après ?
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui pro:ind|lui ?
%mor:	co|oui=yes n|mai&m-PL pro:ind|lui
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|saturnin det:art|le&m&sg
	adj|petit&m n|poussin&m
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|faire-PP&m ?|saturnin
%mor:	co|chut
%mor:	?|saturnin pro:sub|il v:aux|avoir&PRES&3s part|manger-PP&m
	pro|tous&m&pl det:art|les&pl adj|petit&m-PL n|bout&m-PL prep|de
	n|pain&m adv|que ?|martin pro:sub|il v:aux|avoir&IMPF&3s
	adj|mi&m-PL=half prep|sur det:poss|son&m&sg n|chemin&m
%mor:	prep|pour re#v|trouver-INF det:poss|son&m&sg n|chemin&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|il part|dire-PP&m ?
%mor:	pro:sub|il part|dire-PP&m co|ouin part|taire-PP&m
	v:aux|être&PRES&2s adj|vilain&m
%mor:	adv|alors adv|après
%mor:	pro:int|que$v:int|est–ce pro:int|qui pro:refl|se
	v|passer-PRES&SUB&13s adv|après ?
%mor:	co|touc
%mor:	neg|ne v|pleurer-IMP&2s neg|pas det:poss|mon&m&sg n|lapin&m
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:poss|sa&f&sg
	n|maison&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où pro:sub|elle
	v:aux|être&PRES&3s adv:place|à–côté=aside prep|de pro:rel|quoi ?
%mor:	co|ouais=yes
%mor:	conj|et pro:sub|elle v:aux|être&PRES&3s prep|en n|forme&f prep|de
	pro:rel|quoi det:poss|sa&f&sg n|maison&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|champignon&m
%mor:	n|champignon&m
%mor:	adv|alors pro:sub|il part|luire&PP&m part|dire-PP&m neg|ne
	v|pleurer-IMP&2s neg|pas det:poss|mon&m&sg n|lapin&m
	det:poss|ta&f&sg n|maison&f v:aux|être&PRES&3s prep|à&le n|pied&m
	prep|de&le n|sapin&m
%mor:	part|dire-PP&m det:art|le&m&sg n|poussin&m prep|en
	part|prendre-PPRE det:art|la&f&sg n|main&f prep|de n|bébé&m
	n|lutin&m
%mor:	pro:sub|on v|tourner-PRES&SUB&13s ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|dans det:poss|sa&f&sg n|maison&f ?
%mor:	co|oh pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|ils
	v:mdl|faire-PRES&3p ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|ils
	v:mdl|faire-PRES&3p ?
%mor:	adv|d'accord
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s part|finir-PP&m
%mor:	co|ah ?|estelle n|bébé&m n|coccinelle&f pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|elle part|faire-PP&m
%mor:	pro:sub|elle n|lave&f det:art|les&pl n|fleur&f-PL
%mor:	pro:sub|elle pro:obj|les v|arroser-PRES&SUB&13s pro:sub|je
	v|croire&PRES&12s adv|plutôt
%mor:	pro:sub|elle pro:obj|les v|arroser-PRES&SUB&13s prep|avec
	det:poss|son&m&sg n|arrosoir&m
%mor:	co|oh v|regarder-IMP&2s
%mor:	pro:int|que$v:int|est–ce pro:int|qui conj|si$v:aux|être&PRES&3s
	n|passé&m ?
%mor:	det:art|les&pl n|fleur&f-PL pro:sub|elle det:art|les&pl
	v:aux|avoir&PRES&3s adv|tellement adj|arrosé&f-PL
	pro:rel|que$pro:sub|elles v:aux|avoir&PRES&3p part|pousser-PP&m
	prep|jusque$prep|à&le n|ciel&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu adv|comme pro:sub|elles
	v:aux|être&PRES&3p adj|gros&f-PL det:art|les&pl n|fleur&f-PL
%mor:	pro:sub|elles v:aux|être&PRES&3p adj|grand&f-PL adj|grand&f-PL
	adj|grand&f-PL
%mor:	pro:sub|elle v:aux|avoir&PRES&3s pro:int|quoi ?
%mor:	prep|de&les n|marque&f-PL ?
%mor:	prep|de&les n|masque&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	pro:sub|ils v:aux|avoir&PRES&3p prep|de&les n|masque&m-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça adv|que part|taire-PP&m
	v|dire-PRES&PASS&12s ?
%mor:	co|oh co|ben det:art|le&m&sg adv:place|revoilà part|luire&PP&m
	pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|simon n|bébé&m n|papillon&m
	pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	prep|dans det:art|le&m&sg n|livre prep|de ?|estelle n|bébé&m
	n|coccinelle&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|coquin&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|celui–là
%mor:	adv|parce prep|que det:art|les&pl det:art|les&pl n|gros&m
	pro:sub|ils v:exist|être&PRES&3p det:art|un&m&sg n|peu&m
	adj|compliqué&m-PL prep|pour det:art|les&pl pro|tous&m&pl
	adj|petit&m-PL pro:sub|je v|trouver-PRES&SUB&13s
%mor:	pro:sub|elle v|pleurer-IMP&2s neg|pas pro:sub|elle
	v:aux|être&PRES&3s prep|en n|colère&f
%mor:	co|ben pro:dem|ça pro:sub|je pro:obj|me v|demander-PRES&SUB&13s
	adv|bien
%mor:	pro:sub|je v|croire&PRES&12s adv|que
	pro:dem|ce$v:exist|être&PRES&3s neg|pas pro|moi&sg
%mor:	co|ben co|tiens pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|peu&m adj|facile adv|de v|accuser-INF adv|toujours ?|timothée
%mor:	part|taire-PP&m v|croire&PRES&12s ?
%mor:	co|ouais=yes ?
%mor:	?|véro pro:sub|elle pro:obj|me$v:poss|avoir&PRES&3s part|dire-PP&m
	adv|hier adv|que part|taire-PP&m v|dire-PRES&PASS&12s adv|toujours
	adv|que pro:dem|ce$v:aux|être&PRES&3s ?|timothée
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	?|timothée prep|chez ?|véro ?
%mor:	co|oh pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl adv|même
	prep|que n|tout&m prep|à det:art|le$n|heure&f ?|anaé
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	?|timothée prep|chez ?|véro ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|nini n|bébé&m n|chenille&f
%mor:	?|martin n|bébé&m n|lutin&m
%mor:	?|odillon n|bébé&m n|bourdon&m
%mor:	?|estelle n|bébé&m n|coccinelle&f
%mor:	?|béa n|bébé&m n|abeille&f=bee
%mor:	n|pierrot&m n|bébé&m n|escargot&m
%mor:	conj|et n|filou&m n|bébé&m n|pou&m
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|savoir&PRES&12s
	pro:rel|ce–que pro:dem|ce$v:aux|être&PRES&3s
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|non=no
%mor:	pro:sub|je v|voir&IMP&PRES&12s prep|que n|tien&m-PL pro:sub|tu
	v:aux|avoir&PRES&2s part|dessiner-PP&m prep|sur det:poss|tes&pl
	n|main&f-PL adv|aussi ?
%mor:	co|hein pro:dem|ce v:aux|être&COND&3s n|bien&m adv|de
	v:mdl|aller&INF prep|sur det:art|les&pl n|toilette&f-PL
	det:art|un&m&sg n|peu&m adv|quand adv|même
%mor:	adv|si part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|aller&INF
	prep|à det:art|le$n|école&f
%mor:	part|taire-PP&m v:mdl|vouloir&FUT&2s v:mdl|aller&INF prep|à
	det:art|le$n|école&f pro|toi&sg ?
%mor:	conj|et adv|comment pro:sub|elle v:mdl|aller&PRES&3s
	pro:refl|se$v|appeler-INF det:dem|cette&f&sg n|dame&f=lady ?
%mor:	co|ah co|ben co|oui=yes det:art|une&f&sg n|maîtresse&f pro:int|qui
	pro:refl|se$v|appeler-PRES&SUB&13s n|maîtresse&f
%mor:	pro|moi&sg pro:sub|je v|croire&PRES&12s adv|que co|ta n|maîtresse&f
	pro:sub|elle pro:refl|se$v|appeler-FUT&3s adv|soit ?|laure adv|soit
	?|laetitia
%mor:	co|hop co|la
%mor:	?|anaé part|taire-PP&m re#v|pondre-PRES&12s prep|à ?|aliyah
	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v:mdl|aller&INF prep|à det:art|le$n|école&f ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on part|faire-PP&m
	prep|à det:art|le$n|école&f adv|d'abord ?
%mor:	co|ah co|bon conj|et pro:sub|on v:mdl|faire-PRES&3s pro:int|quoi
	prep|comme n|boulot&m ?
%mor:	co|ben co|oui=yes
%mor:	conj|et prep|comme n|travail&m&sg pro:sub|on v:mdl|faire-PRES&3s
	pro:int|quoi ?
%mor:	co|bon
%mor:	pro:sub|on part|faire-PP&m co|euh prep|de det:art|la&f&sg
	n|peinture&f ?
%mor:	co|non=no ?
%mor:	conj|et prep|de&le
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&13s prep|à&le
	n|début&m prep|de det:art|le$n|année&f part|taire-PP&m
	v|dire-IMPF&12s prep|de&le
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	v:int|est–ce adv|que part|taire-PP&m pro:obj|te
	v|rappeler-PRES&SUB&2s pro:int|où v:int|est–ce
	pro:rel|que$pro:sub|on pro:y|en v:aux|avoir&IMPF&3s prep|vu
	prep|de&les n|âne&m-PL ?
%mor:	co|hum
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s adv|quand
	pro:sub|on v:aux|être&PRES&3s part|partir-PP&m prep|en
	n|vacance&f-PL ?
%mor:	prep|avec ?|anouk
%mor:	conj|et adv|que pro:obj|vous v:aux|avoir&PRES&2p pro:obj|vous
	v:aux|avoir&PRES&2p part|faire-PP&m prep|de&le n|poney&m
%mor:	prep|de&les pro:rel|quoi ?
%mor:	prep|de&les pro:rel|quoi ?
%mor:	prep|de&les pro:rel|quoi ?
%mor:	prep|de&les ?
%mor:	pro:sub|je$v|entendre-IMP&2s neg|pas
%mor:	pro:sub|je$v:aux|avoir&PRES&1s neg|pas adj|entendu&m ?|anaé
%mor:	conj|et adv|puis pro:y|y v:aux|avoir&IMPF&3s pro:int|quoi adv|de
	pro|autre&sg ?
%mor:	adv|comme det:art|un&m&sg n|âne&m adv|mais adv|beaucoup adv|plus
	adj|grand&m
%mor:	prep|de&les n|cheval&m&pl
%mor:	prep|de&les pro:rel|quoi ?
%mor:	prep|de&les n|cheval&m&pl
%mor:	prep|de&les n|cheval&m&sg pro:sub|on part|dire-PP&m ?
%mor:	co|ah co|oui=yes
%mor:	conj|et det:art|un&m&sg n|cheval&m&sg
%mor:	adv|bien
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v|raconter-PRES&SUB&2s ?
%mor:	det:gen|quel&m&sg adj|petit&m n|bébé&m ?
%mor:	det:art|un&m&sg n|bébé&m pro:int|quoi ?
%mor:	det:art|un&m&sg n|bébé&m pro:int|qui v:aux|être&PRES&3s
	det:art|un&m&sg n|panda
%mor:	co|si co|si pro:dem|ce$v:exist|être&PRES&3s ?|arthur pro:int|qui
	pro:obj|le$v:poss|avoir&PRES&3s part|regarder-PP&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|manger-PP&m prep|de&les
	n|pâte&f-PL prep|devant det:art|la&f&sg n|télé&f=television
	co|ouais=yes
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|comprendre-PP&m prep|de
	pro:rel|quoi part|taire-PP&m v|parler-IMPF&12s
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|dans prep|dans
	det:art|le$n|âge&m prep|de n|glace&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça
	pro:dem|ce$v:aux|être&IMPF&3s pro:dem|ça adv|que part|taire-PP&m
	v|dire-IMPF&12s ?
%mor:	co|la pro:int|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi det:art|la&f&sg ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	adv|d'ailleurs pro:sub|on v:aux|avoir&PRES&3s part|oublier-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça pro:int|quoi ?
%mor:	pro:int|que$v:int|est–ce prep|que pro:dem|ce$v:aux|être&PRES&3s
	det:dem|cet&m&sg adj|animal&m&sg ?|anaé ?
%mor:	co|hum
%mor:	co|allez part|taire-PP&m det:art|le&m&sg v|ranger-PRES&SUB&2s ?
%mor:	conj|et v|venir-PRES&12s v|voir&INF ?|ael pro:sub|il
	v:aux|avoir&PRES&3s part|amener-PP&m n|plein&m adv|de
	adj|animal&m&pl
%mor:	co|allez v|venir-PRES&12s v|voir&INF
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	co|allez pro|toi&sg part|taire-PP&m det:art|les&pl n|mets&m
	prep|sur det:art|la&f&sg n|table&f
%mor:	adv|d'accord pro:sub|je pro:obj|te pro:obj|les
	v|donner-PRES&SUB&13s conj|et part|taire-PP&m det:art|les&pl
	n|mets&m prep|sur det:art|la&f&sg n|table&f
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-IMP&2s
	pro:dem|celle–là ?
%mor:	co|ah v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m
	v|parler-PRES&SUB&2s prep|plus adj|fort&m
%mor:	pro:sub|elle part|faire-PP&m n|caca&m=poopoo ?
%mor:	adv|mais pro:sub|elle v:mdl|faire-PRES&3s neg|pas n|caca&m=poopoo
	pro:dem|ce$v:exist|être&PRES&3s det:poss|sa&f&sg n|queue&f
	det:poss|ma&sg n|puce&f pro:int|qui v:aux|être&PRES&3s n|marron&m
%mor:	part|taire-PP&m det:art|la&f&sg n|pose&f-PL prep|sur
	det:art|la&f&sg n|table&f ?
%mor:	adv|parce adv|que v|regarder-PRES&SUB&13s pro:sub|il pro:y|y
	pro:y|en v:aux|avoir&PRES&3s det:art|un&m&sg pro|autre&sg
	pro:int|qui v|arriver-PRES&SUB&13s
%mor:	co|oh
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|truc&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|un&m&sg n|truc&m
	pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg
%mor:	det:art|un&m&sg ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg ?
%mor:	det:art|un&m&sg n|zèbre&m
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	co|non=no neg|pas det:art|un&m&sg n|cerf&m
%mor:	det:art|un&m&sg n|zèbre&m
%mor:	n|zèbre&m
%mor:	on|zzzzz
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|zèbre&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|grave pro:sub|on neg|ne
	v:aux|avoir&PRES&3s pro:rel|que$prep|à n|dire&m
	pro:rel|que$pro:sub|elle v|dormir-PRES&3s
%mor:	part|taire-PP&m pro:sub|elle v:mdllex|faire-PRES&3s co|dodo
	v|regarder-IMP&2s co|oh pro:sub|elle v:mdllex|faire-PRES&3s co|dodo
%mor:	co|oh pro:sub|on v|dire-COND&3s pro:rel|que$pro:sub|elle
	v|tirer-PRES&SUB&13s det:art|la&f&sg n|langue&f
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|ah co|ouais=yes pro:sub|elle v|tirer-PRES&SUB&13s
	det:art|la&f&sg n|langue&f
%mor:	conj|et adv:place|voilà det:art|un&m&sg pro|autre&sg n|animal&m&sg
%mor:	prep|sur det:poss|ton&m&sg n|épaule&f
%mor:	conj|et pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|gros&m n|singe&m
	pro:int|qui pro:refl|se$v|appeler-IMP&2s det:art|un&m&sg n|gorille&m
%mor:	co|ouais=yes
%mor:	pro:sub|il v|prendre-PRES&3s prep|de&les n|graine&f-PL=seed
	part|taire-PP&m v|croire&PRES&12s ?
%mor:	co|ah co|bon
%mor:	co|oh
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas n|tout&m prep|à
	part|faire-PP&m det:art|un&m&sg n|éléphant&m v|regarder-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|éléphant&m
	prep|avec n|plein&m prep|de n|poil&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|mammouth&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|comme co|non=no
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bébé&m n|mammouth&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|comme prep|dans
	det:art|le$n|âge&m prep|de n|glace&f part|taire-PP&m
	v:mdl|savoir&PRES&12s
%mor:	co|touloumtouloum
%mor:	?|many pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|mammouth&m
%mor:	conj|et co|attention
%mor:	co|ah co|non=no part|taire-PP&m v:aux|avoir&PRES&2s neg|pas
	det:art|le&m&sg adj|droit&m prep|de v|regarder-INF
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas det:art|le&m&sg
	adj|droit&m prep|de v|regarder-INF
%mor:	prep|à det:poss|ton&m&sg n|avis&m pro:rel|que$v:int|est–ce conj|que
	pro:dem|ce$v:exist|être&PRES&3s det:dem|cet&m&sg n|animal&m&sg ?
%mor:	pro:int|que$v:int|est–ce conj|que pro:dem|ce$v:exist|être&PRES&3s
	det:dem|cet&m&sg n|animal&m&sg ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|hoplà
%mor:	co|attention co|oh
%mor:	co|oh v|regarder-IMP&2s
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bébé&m
%mor:	det:art|un&m&sg n|bébé&m pro:int|quoi ?
%mor:	co|ah co|oui=yes
%mor:	co|oh conj|et pro:ind|lui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	adv|bien
%mor:	co|oh co|oh co|oh co|oh co|oh
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adv|très adj|gros&m
	n|chien&m
%mor:	co|ben pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
%mor:	det:art|un&m&sg n|mastiff&m=mastiff
%mor:	det:art|un&m&sg n|chien&m adv|comme pro:dem|ça
%mor:	part|taire-PP&m v|connaître-PRES&IMP&12s det:art|un&m&sg n|chien&m
	adv|comme pro:dem|ça pro|toi&sg ?
%mor:	conj|et det:art|le&m&sg n|dernier&m
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|une&f&sg adj|drôle prep|de
	n|tête&f adv|mais pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	det:art|un&m&sg n|hippopotame&m
%mor:	pro:sub|on re#v|commencer-PRES&SUB&13s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je$v|ailler-PRES&SUB&13s prep|en v|chercher-INF adv|de
	pro|autres&pl ?
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s n|pose&f det:art|les&pl
	adv:place|à–côté=aside prep|de pro|moi&sg
%mor:	pro:sub|on v:mdl|aller&FUT&3s pro:obj|les v|ranger-INF
	pro|tous&m&pl n|ensemble&m adv|après
%mor:	?|ael pro:sub|il v:aux|être&PRES&3s part|partir-PP&m prep|en
	v|chercher-INF adv|de pro|autres&pl
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	adv|bien v|ramasser-INF pro:rel|ce–qui v:aux|être&PRES&3s
	adv:place|à–côté=aside prep|de&le n|pied&m adv|de ?|aliyah ?
%mor:	v|regarder-IMP&2s pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|non=no pro:dem|ça adv:place|là–bas
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg
	n|singe&m adv|mais adv|comment pro:dem|ça
	pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-IMP&2s det:art|les&pl
	n|truc&m-PL pro:int|où pro:sub|on v|mettre-PRES&3s det:art|la&f&sg
	n|main&f adv:place|dedans ?
%mor:	det:art|une&f&sg pro:int|quoi ?
%mor:	det:art|une&f&sg ?
%mor:	co|bonjour ?|anaé
%mor:	n|comment&m pro:dem|ça v:mdl|aller&PRES&3s
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|faire-PRES&12s v|parler-INF ?
%mor:	part|taire-PP&m pro:y|y v|arriver-PRES&SUB&2s ?
%mor:	co|oui=yes
%mor:	n|montre&f prep|à ?|aliyah
%mor:	v:mdl|aller&PRES&2s pro:y|y part|taire-PP&m v:mdl|faire-PRES&12s
	adv|comme adv|si part|taire-PP&m n|étai&m-PL det:art|le&m&sg
	det:art|le&m&sg n|singe&m pro:int|qui v|parler-PRES&SUB&13s
