%mor:	adv|alors ?|anaé pro:sub|on v:aux|être&PRES&3s det:art|le&m&sg
%mor:	pro|moi&sg pro:sub|je v|croire&PRES&12s adv|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chien&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chien&m
	part|luire&PP&m co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chien&m ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	pro:sub|il v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	pro:sub|il v:exist|être&PRES&3s neg|pas n|tout&m prep|à
	part|faire-PP&m n|noir&m pro:sub|il v:exist|être&PRES&3s
	det:art|un&m&sg n|peu&m n|gris&m adv|quand adv|même
%mor:	co|oh v|regarder-PRES&SUB&13s det:art|une&f&sg n|chaise&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|une&f&sg n|chaise&f
	?
%mor:	prep|pour det:poss|ton&m&sg n|zoo&m ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:int|quoi ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:refl|se$v|asseoir&INF prep|sur
	det:art|la&f&sg n|chaise&f ?
%mor:	co|oh co|ben n|tien&m-PL v|regarder-PRES&SUB&13s pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|de&les adj|petit&m-PL n|gâteau&m-PL
%mor:	adv|ben pro:int|qui v:int|est–ce pro:int|qui v|aimer-PRES&SUB&13s
	adv|bien det:art|les&pl n|gâteau&m-PL prep|dans det:art|les&pl
	n|animal&m&pl ?
%mor:	co|ah co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg
	n|gourmand&m
%mor:	adv:place|là pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les
	n|fleur&f-PL
%mor:	co|ah co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|son&m&sg n|copain&m ?
%mor:	v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|gâteau&m adv|de n|anniversaire&m ?
%mor:	conj|et v|regarder-IMP&2s pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	pro:dem|celui–ci prep|comme prep|comme n|gâteau&m
%mor:	n|anniversaire&m
%mor:	pro:sub|il v:mdl|falloir&PRES&3s v|chanter-INF
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le$n|anniversaire&m prep|de
	pro:rel|qui ?
%mor:	prep|de&le n|chat&m ?
%mor:	adv|alors pro:sub|il v:mdl|falloir&PRES&3s v|chanter-INF
%mor:	adj|joyeux&m n|anniversaire&m
%mor:	det:art|le&m&sg n|chat&m
%mor:	adj|joyeux&m n|anniversaire&m
%mor:	adj|joyeux&m
%mor:	adj|joyeux&m
%mor:	n|anniversaire&m
%mor:	co|allez v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|il n|souffle&m
	det:poss|ses&pl n|bougie&f-PL adv|maintenant
%mor:	det:art|un&m&sg n|deux&m
%mor:	part|taire-PP&m det:art|le$n|aide-PL ?
%mor:	co|bravo co|bravo det:art|le&m&sg n|chat&m
%mor:	pro:sub|il v:mdl|falloir&PRES&3s part|luire&PP&m v|donner-INF
	prep|de&les n|cadeau&m-PL
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v:mdl|aller&PRES&3s
	part|luire&PP&m v|donner-INF prep|comme n|cadeau&m ?
%mor:	conj|et pro:sub|il pro:y|y pro:y|en v:aux|avoir&IMPF&3s neg|pas
	det:art|un&m&sg prep|de n|cadeau&m ?
%mor:	n|si&m
%mor:	part|taire-PP&m det:art|le$n|aide-PL prep|à v|ouvrir-INF ?
%mor:	co|ah det:art|la&f&sg adj|beau&f&sg=pretty n|robe&f
%mor:	pro:dem|ça v|mettre-PRES&3s prep|de&les n|robe&f-PL det:art|les&pl
	n|chat&m-PL ?
%mor:	v:int|est–ce prep|que det:art|les&pl n|chat&m-PL pro:sub|ils
	v|mettre-PRES&SUB&3p prep|de&les n|robe&f-PL ?
%mor:	co|oui=yes
%mor:	prep|de&les n|pull&m-PL n|comment&m ?
%mor:	co|ah co|oui=yes
%mor:	det:art|un&m&sg adj|joli&m n|pull&m adj|rouge
%mor:	conj|et ?|gipsy pro:sub|il v|mettre-PRES&3s prep|de&les n|pull&m-PL
	?
%mor:	co|ouais=yes ?
%mor:	co|ah co|bon
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s pro:sub|tu v:mdl|pouvoir&PRES&12s
	v|mettre-INF det:art|une&f&sg n|barrière&f
%mor:	prep|pour det:art|le&m&sg n|chat&m co|oui=yes prep|par n|exemple&m
%mor:	prep|pour neg|pas pro:rel|que$pro:sub|il pro:refl|se
	v|sauver-PRES&SUB&13s
%mor:	pro:sub|je re#v|venir-PRES&12s pro:sub|je v:mdl|aller&PRES&1s
	v|chercher-INF det:art|un&m&sg n|mouchoir&m
%mor:	adv|d'accord ?
%mor:	?|anaé v|regarder-IMP&2s pro:rel|ce–que
	pro:sub|je$v:aux|avoir&PRES&1s re#part|trouver-PP&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	adv|ben pro:sub|je v|croire&PRES&12s pro:rel|que$pro:sub|il
	pro:obj|le$v:poss|avoir&IMPF&3s v:aux|avoir&PP&m&sg det:art|le&m&sg
	n|sien&m ?|timothée
%mor:	pro:dem|ça v:mdl|devoir&PRES&3s v:aux|être&INF det:art|le&m&sg
	n|tien&m pro:dem|celui–là
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m v|expliquer-PRES&SUB&2s prep|à ?|elise
	pro:rel|ce–que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|un&m&sg
	n|pingouin&m
%mor:	v|regarder-PRES&SUB&13s adv|bien
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	adv|mais co|non=no
%mor:	det:art|les&pl n|pingouin&m-PL pro:dem|ce$v:exist|être&PRES&3s
	n|noir&m conj|et adj|blanc
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|poussin&m
%mor:	conj|et co|oui=yes
%mor:	adv|comment pro:sub|on n|demande&f ?
%mor:	v|attendre-IMP&2s pro:sub|je$v|enlever-IMP&2s part|taire-PP&m
	v:mdl|vouloir&PRES&12s prep|que pro:sub|je$v|enlever-PRES&SUB&13s
	det:art|le$n|étiquette&f adv|aussi
%mor:	pro:int|que$v:int|est–ce pro:int|qui pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv:place|dedans ?
%mor:	prep|dans det:art|le&m&sg n|poussin&m ?
%mor:	pro:int|que$v:int|est–ce prep|que pro:dem|ce$v:aux|être&PRES&3s
	prep|dans det:art|le&m&sg n|poussin&m ?|anaé ?
%mor:	co|hum co|hum
%mor:	pro:dem|ça v:mdl|aller&PRES&3s v:aux|être&INF adj|joli&m
%mor:	co|hé adv|mais v|dire-PRES&PASS&12s adv|donc part|taire-PP&m
	v:aux|avoir&PRES&2s det:art|un&m&sg n|badge&m=badge
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	adv|que pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg ?|petshop@seng
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s n|rien&m part|marquer-PP&m
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|petit&m
	det:art|un&m&sg adj|petit&m n|oiseau&m
%mor:	adv|très adj|joli&m
%mor:	pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s ?|zozio
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	?|petshop ?|petshop@seng
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|petshop@seng
%mor:	co|attention part|taire-PP&m n|attrape&f-PL ?
%mor:	pro:sub|je pro:obj|te pro:obj|le$v|envoyer-IMP&2s
%mor:	co|attention
%mor:	co|oh n|catastrophe&f
%mor:	pro:sub|il v:aux|être&PRES&3s adj|obéissant&m=obedient ?|omer
	co|hein ?
%mor:	co|attention part|taire-PP&m v:aux|être&PRES&2s prep|en n|train&m
	prep|de adv|tout v|glisser-INF det:art|les&pl n|lego&m-PL=toy ?|anaé
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|grave
	pro:dem|ce$v:exist|être&PRES&3s neg|pas n|grave&m
%mor:	v:mdl|aller&PRES&2s pro:y|y part|taire-PP&m part|luire&PP&m
	v|dire-PRES&PASS&12s v|asseoir&PASS&12s
%mor:	part|taire-PP&m pro:y|y v|arriver-PRES&SUB&2s
%mor:	v|attendre-IMP&2s pro:sub|je v:mdl|aller&PRES&1s
	pro:obj|le$v|ouvrir-INF adv|si part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|aller&PRES&2s v:mdl|faire-INF prep|avec det:art|la&f&sg
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay ?
%mor:	co|non=no neg|pas prep|avec det:art|les&pl n|dent&f-PL
%mor:	co|non=no ?|anaé
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|perdre-PP&m det:poss|sa&f&sg
	n|dent&f ?|ael ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|perdre-PP&m det:poss|sa&f&sg
	n|dent&f ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|perdre-PP&m det:art|une&f&sg n|dent&f pro|toi&sg ?
%mor:	v|attendre-IMP&2s v|regarder-IMP&2s v|attendre-IMP&2s pro:sub|je
	v|regarder-IMP&2s pro:rel|où pro:dem|ça pro:refl|se$v|ouvrir-IMP&2s
	conj|et pro:sub|je pro:obj|te pro:obj|le v|donner-PRES&SUB&13s
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s pro:dem|ce$v:aux|être&PRES&3s
	adv|parce adv|que pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|un&m&sg adj|petit&m n|bout&m prep|de n|scotch&m adv:place|là
%mor:	co|voilà adv|comme pro:dem|ça part|taire-PP&m n|peu&m-PL
	pro:obj|le$v|ouvrir-INF
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te$v|aider-INF prep|à
	det:art|la&f&sg n|sortir&m adv|parce prep|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|peu&m
	part|coller-PP&m pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|facile
%mor:	adv:place|voilà
%mor:	adv|comme pro:dem|ça part|taire-PP&m v:mdl|faire-PRES&12s
	det:art|une&f&sg n|boule&f
%mor:	conj|et pro:sub|tu v:mdl|pouvoir&PRES&12s v|fabriquer-INF
	pro:rel|ce–que part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?
%mor:	pro:sub|on v:mdl|falloir&PRES&3s prep|en v|mettre-INF prep|plus
	n|oui&m
%mor:	v|regarder-IMP&2s part|taire-PP&m v:mdl|faire-PRES&12s
	det:art|une&f&sg adj|gros&f n|boule&f
%mor:	adv|comme pro:dem|ça
%mor:	co|oh
%mor:	conj|et v|regarder-PRES&SUB&13s prep|après part|taire-PP&m
	v|appuyer-PRES&SUB&2s part|taire-PP&m v|appuyer-PRES&SUB&2s
%mor:	co|hop conj|et pro:dem|ça pro:obj|te part|faire-PP&m
	det:art|un&m&sg n|poussin&m
%mor:	co|oh co|ben co|non=no
%mor:	adv|parce adv|que conj|sinon pro:sub|tu v:mdl|pouvoir&FUT&2s
	neg|pas v|jouer-INF adv|après prep|avec det:poss|ta&f&sg
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|badge&m=badge
%mor:	det:art|un&m&sg n|badge&m=badge prep|de n|poussin&m
%mor:	v|regarder-IMP&2s
%mor:	n|montre&f prep|à ?|elise
%mor:	co|ouh det:art|le&m&sg adj|joli&m n|badge&m=badge prep|de
	n|poussin&m
%mor:	pro:sub|on n|fabrique&f
%mor:	co|euh det:art|un&m&sg n|serpent&m ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|savoir&PRES&12s
	v:mdl|faire-INF det:art|les&pl n|serpent&m-PL prep|en
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay ?
%mor:	adv|comment pro:sub|on part|faire-PP&m ?
%mor:	co|hum co|hum
%mor:	co|ouh co|la co|la co|la co|la
%mor:	v|attendre-IMP&2s adv|comme pro:dem|ça v:mdl|falloir&PRES&3s
	v:aux|avoir&INF prep|de&les adj|gros&f-PL n|main&f-PL prep|pour
	v:mdl|faire-INF det:art|un&m&sg adj|gros&f n|boule&f
%mor:	adv:place|voilà
%mor:	conj|et adv:place|après pro:sub|on part|faire-PP&m pro:int|quoi ?
%mor:	co|ah co|oui=yes
%mor:	det:art|un&m&sg n|gros&m n|poussin&m
%mor:	co|oh co|attention
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|chercher-INF co|la
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|chercher-INF det:art|les&pl
	det:art|les&pl n|patte&f-PL prep|de&le n|poussin&m ?
%mor:	co|eh co|ben v:mdl|falloir&PRES&3s re#v:mdl|faire-INF
	det:art|une&f&sg n|boule&f pro:sub|on re#part|faire-PP&m
	det:art|une&f&sg n|boule&f ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je$v|ailler-PRES&SUB&13s pro:obj|te v|chercher-INF
	det:art|un&m&sg pro|autre&sg n|pot&m=pot conj|et adv|de
	det:art|une&f&sg pro|autre&sg n|couleur&f ?
%mor:	det:gen|quelle&f&sg n|couleur&f part|taire-PP&m
	v:mdl|vouloir&COND&12s ?
%mor:	adj|rouge ?
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te v|chercher-INF
	det:art|la&f&sg adj|rouge
%mor:	co|oh co|non=no neg|pas prep|de det:art|la&f&sg n|peinture&f
	co|non=no
%mor:	neg|pas prep|de det:art|la&f&sg n|peinture&f prep|à
	det:dem|cette&f&sg n|heure&f adv:place|là
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF prep|de
	det:art|la&f&sg n|+n|pâte+prep|à+n|modeler&f=modeling_clay
%mor:	v|regarder-IMP&2s
%mor:	part|taire-PP&m part|choisir-PP&m&pl det:art|une&f&sg n|couleur&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:gen|quelle&f&sg n|couleur&f
	pro:dem|ça ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	det:art|un&m&sg n|rouleau&m ?
%mor:	co|oui=yes ?
%mor:	co|oh co|oh pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	v:aux|avoir&PP&m&sg prep|de&les v|mélanger-PRES&SUB&2s
	adv:place|là–dedans
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|je v:mdl|faire-PRES&12s det:art|une&f&sg n|boule&f
%mor:	conj|et adv|après part|taire-PP&m pro:obj|le$v|étaler-PRES&SUB&2s
	prep|avec det:art|le&m&sg n|rouleau&m
%mor:	v|attendre-IMP&2s
%mor:	v|pousser-PRES&SUB&13s pro:dem|ça
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF det:art|un&m&sg
	n|gâteau&m adv|d'accord ?
%mor:	part|taire-PP&m pro:obj|me$v:poss|avoir&PRES&2s part|aider-PP&f
	n|hier&m prep|à v:mdl|faire-INF det:art|le&m&sg n|gâteau&m ?
%mor:	prep|pour ?|ael
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s
	part|mettre-PP&m prep|dans det:art|le&m&sg n|gâteau&m ?
%mor:	co|ouais=yes conj|et adv|puis pro:int|quoi adv|de pro|autre&sg ?
%mor:	conj|et adv|puis pro:int|quoi ?
%mor:	co|wah
%mor:	part|taire-PP&m v|étaler-PRES&SUB&2s adv|bien
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|gâteau&m prep|à
	pro:rel|quoi adv|quand pro:dem|ce$v:exist|être&PRES&3s adj|vert&m
	adv|comme pro:dem|ça ?
%mor:	det:art|un&m&sg n|gâteau&m prep|à pro:rel|quoi ?
%mor:	co|ah co|ben co|oui=yes pro:sub|on v:mdl|devoir&PRES&3s pro:obj|le
	v|mettre-INF prep|dans det:art|le&m&sg n|four&m
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF n|semblant&m
%mor:	pro:sub|on part|dire-PP&m adv|que pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|four&m adv|d'accord
%mor:	v:mdl|aller&PRES&2s pro:y|y part|taire-PP&m det:art|le&m&sg
	n|mets&m prep|dans det:art|le&m&sg n|four&m det:poss|ton&m&sg
	n|gâteau&m ?
%mor:	conj|et pro:sub|on v:mdl|aller&PRES&3s v|fabriquer-INF prep|de&les
	n|bougie&f-PL prep|pour v|mettre-INF prep|sur det:art|le&m&sg
	n|gâteau&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	adv|alors pro|toi&sg part|taire-PP&m n|fabrique&f-PL
	det:art|une&f&sg n|bougie&f conj|et pro|moi&sg pro:sub|je
	n|fabrique&f det:art|une&f&sg n|bougie&f
%mor:	adv|d'accord ?
%mor:	v|attendre-IMP&2s v|attendre-PRES&12s v:mdl|falloir&PRES&3s
	det:art|le&m&sg v:mdl|faire-INF v|cuire-INF adv|d'abord
%mor:	co|hop prep|dans det:art|le&m&sg n|four&m
%mor:	v|attendre-IMP&2s pro:sub|je v|regarder-PRES&SUB&13s adv|si
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s neg|pas det:art|un&m&sg
	n|couteau&m prep|à n|+n|pâte+prep|à+n|modeler&f=modeling_clay
	adv:place|là–dedans
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s pro:dem|ça
%mor:	co|ouais=yes
%mor:	co|oh v|regarder-IMP&2s pro:rel|ce–que
	pro:sub|je$v:aux|avoir&PRES&1s part|mettre-PP&m prep|sur
	det:art|le&m&sg n|gâteau&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|gâteau&m
	pro:int|qui v:aux|avoir&PRES&3s prep|de&les n|yeux&m
%mor:	v|regarder-PRES&SUB&13s det:art|une&f&sg n|bougie&f
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|un&m&sg n|an&m
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?
%mor:	v|attendre-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|enlever-INF
	det:art|les&pl n|yeux&m
%mor:	pro:dem|ça pro:obj|nous v|gêner-PRES&SUB&13s det:art|les&pl
	n|yeux&m
%mor:	co|wah n|super&m
%mor:	n|super&m
%mor:	v|tenir-IMP&2s
%mor:	co|wah
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:gen|quel&m&sg n|âge&m ?
%mor:	co|ben co|non=no n|compte&m det:art|les&pl n|bougie&f-PL
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|combien prep|de
	n|bougie&f-PL ?
%mor:	conj|et adv|alors pro:dem|ça part|faire-PP&m det:gen|quel&m&sg
	n|âge&m ?
%mor:	co|bravo
%mor:	part|taire-PP&m pro:obj|nous v|couper-PRES&SUB&2s det:art|une&f&sg
	n|part&f prep|de n|gâteau&m ?
%mor:	v:mdl|falloir&PRES&3s v|enlever-INF det:art|les&pl n|bougie&f-PL
%mor:	pro:sub|on v|enlever-PRES&SUB&13s det:art|les&pl n|bougie&f-PL
%mor:	conj|et pro:sub|on v|couper-PRES&SUB&13s det:art|une&f&sg n|part&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:rel|qui ?
%mor:	v|attendre-IMP&2s pro:sub|je v|croire&PRES&12s
	pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|galette&f ?
%mor:	adv|quand pro:sub|on part|dire-PP&m pro:dem|ce$v:aux|être&PRES&3s
	prep|pour pro:int|qui pro:dem|ce$v:exist|être&PRES&3s
	det:art|une&f&sg n|galette&f ?
%mor:	v|regarder-IMP&2s pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|le&m&sg n|couteau&m n|suisse
%mor:	co|euh v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s det:art|un&m&sg n|couteau&m adv:place|là–dedans
	?
%mor:	pro:dem|ce v:aux|être&COND&3s n|logique&f co|non=no prep|dans
	det:art|un&m&sg n|couteau&m n|suisse
%mor:	co|oh det:art|une&f&sg n|pince&f prep|à v|épiler-INF
%mor:	det:art|une&f&sg n|loup&f
%mor:	det:art|une&f&sg n|fourchette&f
%mor:	det:art|une&f&sg n|cuillère&f=spoon pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adj|même&m=same neg|pas prep|de n|couteau&m
%mor:	co|ah n|si&m
%mor:	det:art|un&m&sg n|couteau&m n|requin&m
%mor:	v|regarder-IMP&2s
%mor:	co|oh co|hisse
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:rel|qui ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg n|fève&f
	adv:place|dedans ?
%mor:	v:mdl|faire-PRES&12s n|attention&f prep|en n|croquant&m ?|elise
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg n|fève&f
%mor:	co|oh v|dire-PRES&PASS&12s adv|donc pro:dem|ça
	v|couper-PRES&SUB&13s n|bien&m co|hein
%mor:	v:mdl|faire-PRES&12s co|attention prep|de neg|pas v|couper-INF
	det:art|la&f&sg n|table&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro|moi&sg ?
%mor:	co|merci
%mor:	pro:sub|je$v:aux|avoir&PRES&1s neg|pas det:art|la&f&sg n|fève&f
%mor:	pro:sub|je$v:aux|avoir&PRES&1s neg|pas det:art|la&f&sg n|fève&f
	pro|moi&sg
%mor:	co|ah co|bon
%mor:	co|ah det:art|une&f&sg n|fève&f co|merci
%mor:	co|oh adv|mais co|non=no pro:dem|ça pro:refl|se v|manger-IMP&2s
	neg|pas det:art|une&f&sg n|fève&f
%mor:	n|super&m
%mor:	pro:sub|je$pro:y|en v:mdl|vouloir&PRES&12s prep|plus pro|moi&sg
	pro:sub|je$v:poss|avoir&PRES&1s qn|plus n|faim&f
%mor:	adv|alors pro:sub|je v:mdl|aller&PRES&1s v|essayer-INF prep|de
	v:mdl|faire-INF pro:dem|ça
%mor:	?|elise pro:sub|elle v:aux|avoir&PRES&3s neg|pas part|manger-PP&m
	det:poss|sa&f&sg det:poss|sa&f&sg n|galette&f
%mor:	pro:sub|elle v:aux|être&PRES&3s prep|à pro:rel|quoi det:art|la&f&sg
	n|galette&f ?
%mor:	v|regarder-IMP&2s
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	prep|de&les n|carte&f-PL ?
%mor:	prep|de&les n|carte&f-PL prep|de pro:rel|quoi ?
%mor:	prep|dans det:art|un&m&sg n|cadre&m ?
%mor:	co|ben
%mor:	pro:sub|il v:aux|être&PRES&3s n|tout&m adj|écrasé&m
%mor:	pro:sub|on pro:obj|le re#v|commencer-PRES&SUB&13s ?
%mor:	v|regarder-IMP&2s pro:sub|je v:mdl|aller&PRES&1s pro:obj|te
	v|montrer-INF det:gen|quelque n|chose=thing
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:sub|on v:mdl|aller&PRES&3s
	pro:obj|le v:mdllex|faire-INF conj|et adv|puis pro:sub|on
	v:mdl|aller&PRES&3s dé#v|couper-INF n|tout&m n|autour&m prep|avec
	det:art|le&m&sg n|couteau&m
%mor:	adv|comme pro:dem|ça pro:dem|ça v:mdl|faire-FUT&3s adv|plus
	adj|joli&m
%mor:	adv|d'accord ?
%mor:	pro:sub|on v|appuyer-IMP&2s adj|fort&m n|fort&m adj|fort&m
%mor:	co|oh co|hisse co|oh co|hisse co|oh co|hisse
%mor:	adv:place|voilà
%mor:	conj|et prep|avec det:art|le&m&sg n|couteau&m
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|couper-INF n|tout&m n|autour&m
	prep|de n|babouche&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	det:art|le&m&sg v:mdl|faire-PRES&12s ?
%mor:	v|tenir-IMP&2s v|mettre-IMP&2s pro|toi&sg prep|sur det:art|la&f&sg
%mor:	part|taire-PP&m pro:y|y v|arriver-PRES&SUB&2s ?
%mor:	v|tenir-IMP&2s pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|un&m&sg n|couteau&m adv|comme pro:dem|ça adv|si
	part|taire-PP&m v|préférer-PRES&SUB&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|peut–être prep|plus adj|facile
%mor:	co|oh pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:gen|quelque$det:art|un&m&sg pro:int|qui v:aux|avoir&PRES&3s
	adj|dû&m v|écraser-INF det:art|un&m&sg n|bonbon&m
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&le n|bonbon&m
	part|coller-PP&m n|parterre&m=flowerbed
%mor:	n|dégoûtant&m
%mor:	prep|en adv|plus pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|les&pl n|fourmi&f-PL
%mor:	pro:int|qui v|venir-PRES&SUB&3p det:art|le&m&sg n|manger&m=food
%mor:	v:int|est–ce adv|que pro:dem|ce$v:exist|être&IMPF&3s adj|bien co|la
	n|fête&f adv|hier ?|anaé ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s
	pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s
	part|faire-PP&m prep|à det:art|la&f&sg prep|à det:art|la&f&sg
	v|fêter-PRES&SUB&13s adv|de n|anniversaire&m adv|de ?|ael ?
%mor:	pro:sub|on v:aux|avoir&PRES&3s part|faire-PP&m prep|de&les
	n|jeu&m-PL ?
%mor:	co|hein ?
%mor:	?|anaé ?
%mor:	co|oh n|super&m
%mor:	n|super&m
%mor:	pro:sub|on re#v|connaître-PRES&3s neg|pas n|bien&m adv|mais
%mor:	v|attendre-IMP&2s pro:sub|je v:mdl|aller&PRES&1s v|mettre-INF
	pro:dem|ça prep|dans det:art|la&f&sg n|poubelle&f
%mor:	co|allez part|taire-PP&m re#v:mdl|faire-PRES&12s det:art|une&f&sg
	adj|gros&f n|boule&f ?
%mor:	prep|avec prep|avec det:art|la&f&sg
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay adj|vert&f
