%mor:	pro:sub|vous v:mdl|aller&PRES&2p v|jouer-INF det:art|un&m&sg
	co|hein
%mor:	co|hum
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s prep|à ?|aliyah pro:int|où
	v:int|est–ce pro:rel|que$pro:sub|on v:aux|être&PRES&3s
	part|aller&PP&m&sg det:art|le$pro|autre&sg n|jour&m adv|quand
	pro:sub|on v:aux|avoir&PRES&3s part|prendre-PP&m det:art|le&m&sg
	n|métro&m ?
%mor:	adv|mais co|non=no
%mor:	pro:sub|on v:aux|être&PRES&3s part|aller&PP&m&sg prep|à&le
	n|musée&m prep|pour v|voir&INF det:art|les&pl n|squelette&m-PL
%mor:	pro:sub|on v:aux|avoir&PRES&3s prep|vu prep|de&les n|squelette&m-PL
	prep|de pro:rel|quoi ?
%mor:	conj|et pro:int|quoi adv|de pro|autre&sg ?
%mor:	co|ouais=yes
%mor:	v|mettre-IMP&2s pro|toi&sg adv|debout ?|anaé
%mor:	prep|avec det:art|la&f&sg n|carapace&f
%mor:	co|ouais=yes co|ouais=yes
%mor:	v|ramasser-IMP&2s pro:rel|ce–qui v:aux|être&PRES&3s
	part|tomber-PP&m n|parterre&m=flowerbed ?|anaé
%mor:	co|oh ?|anaé v|regarder-PRES&SUB&13s
	pro:dem|ce$v:exist|être&PRES&3s adj|sale
%mor:	co|ben co|oui=yes pro:dem|ce$v:exist|être&PRES&3s n|dégoûtant&m
%mor:	v|regarder-IMP&2s part|taire-PP&m v:aux|avoir&PRES&2s n|tout&m
	part|salir-PP&m
%mor:	adv|tout part|salir-PP&m part|salir-PP&m
%mor:	pro:sub|il v:aux|être&PRES&3s adj|sale det:art|le&m&sg adj|petit&m
	n|poisson&m ?
%mor:	v|donner-IMP&2s
%mor:	adv|mais co|non=no neg|ne prep|en n|mets&m neg|pas adv|trop
	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|déjà
	adv|beaucoup prep|de det:art|le$n|eau&f ?|anaé adv:place|là
	pro:dem|ça v:mdl|aller&PRES&3s dé#v|border-INF
%mor:	co|attention neg|pas prep|en v|mettre-INF adv|partout
