%mor:	pro:sub|ils v:exist|être&PRES&3p ?|làbas ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s v:mdl|falloir&INF v|enlever-INF
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s num|deux
%mor:	co|mhm
%mor:	co|oui=yes pro|toi&sg adv|aussi part|taire-PP&m pro:y|en
	v:aux|avoir&PRES&2s
%mor:	pro:sub|ils v:aux|être&PRES&3p prep|dans det:poss|ta&f&sg
	n|chambre&f det:poss|tes&pl v|tourner-PRES&SUB&2s n|vis&f
%mor:	co|mh
%mor:	co|mh
%mor:	pro:sub|je det:art|les&pl v:aux|avoir&PRES&1s part|couper-PP&m
	det:poss|tes&pl n|cheveu&m-PL adv|alors v|arrêter-PRES&SUB&13s
	prep|de v:mdl|faire-INF pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|nounours&m=teddy_bear adj|blanc pro:dem|ça
%mor:	co|ouais=yes
%mor:	det:gen|quelle&f&sg n|couleur&f pro:sub|il v:aux|être&PRES&3s
	det:poss|son&m&sg n|kiki&m ?
%mor:	det:art|le&m&sg det:art|le&m&sg n|noeud&m adv:place|là
%mor:	co|mhm
%mor:	pro:sub|il v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	co|ah part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m ?
%mor:	co|ah co|bah pro:sub|il v:mdl|falloir&PRES&3s v|prendre-INF
	det:art|un&m&sg pro|autre&sg
%mor:	pro:sub|il v:aux|être&IMPF&3s adj|rouge
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|prendre-INF
	det:art|le$pro|autre&sg ?
%mor:	co|allez v:mdl|aller&PRES&3s
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	part|taire-PP&m pro:obj|me det:art|les&pl v:aux|avoir&PRES&2s
	pro|tous&m&pl adj|mi&m-PL=half n|parterre&m=flowerbed det:art|les&pl
	n|livre-PL
%mor:	?|làbas
%mor:	v|mettre-IMP&2s det:art|le&m&sg adv:place|là
%mor:	co|ouais=yes
%mor:	conj|et adv|puis
%mor:	co|mhm
%mor:	adj|petit&m n|clown&m
%mor:	co|mh
%mor:	det:art|le$n|abîme&m=abyss neg|pas ?|ana
%mor:	part|taire-PP&m v|venir-IMP&2s
%mor:	co|ah
%mor:	part|taire-PP&m det:art|les&pl v|prendre-PRES&IMP&12s pro|tous&m&pl
	?
%mor:	adv|d'accord
%mor:	v|prendre-PRES&IMP&12s adv|tout
%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|trouver-PP&m ?
%mor:	pro:dem|ça adv:place|là ?
%mor:	co|ouais=yes pro:obj|vous pro:obj|me
	pro:obj|le$v:poss|avoir&PRES&2p part|ressortir&PP&m pro:dem|ça
%mor:	v:aux|avoir&PRES&3s pro|moi&sg
%mor:	co|mh
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|il pro:obj|te v|géner-PRES&SUB&13s=to_block pro:dem|ça
%mor:	v:mdllex|faire-PRES&12s co|attention
%mor:	co|boum
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdl|vouloir&IMP&2s
	v:mdllex|faire-INF ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|jouer-INF prep|avec
	det:art|la&f&sg n|vache&f conj|ou neg|pas ?
%mor:	co|ah
%mor:	v|appuyer-PRES&SUB&13s prep|sur det:art|les&pl n|bouton&m-PL co|euh
	n|noir&m-PL
%mor:	v|appuyer-IMP&2s
%mor:	co|non=no adv:place|là
%mor:	adv:place|là
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:art|la&f&sg
	n|vache&f ?
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|elle v:aux|être&PRES&3s adv:place|là
%mor:	pro:sub|elle v:aux|être&PRES&3s part|cacher-PP&f adv:place|là
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|euh pro:int|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	adv:place|là pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi
	pro:dem|ça ?
%mor:	det:art|un&m&sg n|oiseau&m ?
%mor:	co|mh
%mor:	conj|et pro:dem|ça adv:place|là pro:int|que$v:aux|être&PRES&3s
	part|cacher-PP&m
%mor:	prep|dans det:poss|son&m&sg n|auge&f
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|le&m&sg
	n|fermier&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	v|regarder-IMP&2s ?|nine
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ça ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	v:mdl|falloir&PRES&3s det:art|la&f&sg n|sortir&m prep|de&le
	n|pot&m=pot
%mor:	adv:place|voilà
%mor:	det:art|une&f&sg n|chanson&f co|oui=yes
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s qn|plus ?
%mor:	co|ah part|taire-PP&m v:aux|avoir&PRES&2s re#part|mettre-PP&m
	det:art|le&m&sg n|chapeau&m prep|à&le n|fermier&m ?
%mor:	conj|et adv:place|voilà
%mor:	v|tenir-IMP&2s v|mettre-IMP&2s det:art|le&m&sg prep|dans
	det:poss|sa&f&sg n|coquille&f
%mor:	adv:place|voilà
%mor:	co|bah v:mdl|falloir&PRES&3s pro:obj|la v|pousser-INF
	det:art|la&f&sg n|vache&f adv:place|là co|hein
%mor:	co|mh
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	?|lucie det:art|la&f&sg n|taupe&f ?
%mor:	co|ah pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s ?|lucie
%mor:	pro:sub|elle v|regarder-IMP&2s pro:int|quoi adv:place|là prep|dans
	det:art|le&m&sg n|ciel&m ?
%mor:	det:art|les&pl n|étoile&f-PL
%mor:	pro:sub|elle v:aux|être&PRES&3s
%mor:	co|oh co|bon adv|d'accord
%mor:	?|lucie pro:obj|te$v|intéresser-IMP&2s neg|pas
%mor:	adv:int|pourquoi v:mdllex|faire-INF ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|aller&INF prep|à&le
	n|lit&m ?
%mor:	adv|alors n|pose&f pro|moi&sg det:dem|cette&f&sg n|tutu&m
%mor:	co|ah adv|d'accord
%mor:	co|mhm
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adv:place|là det:art|la&f&sg
	n|chanson&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|vers det:art|le&m&sg n|fermier&m
%mor:	v:mdl|falloir&PRES&3s v|appuyer-INF prep|vers det:art|le&m&sg
	n|fermier&m ?|ana
%mor:	co|non=no
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
%mor:	co|ouais=yes
%mor:	?|làbas
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	v|tourner-PRES&SUB&13s det:art|la&f&sg det:art|la&f&sg n|vache&f
%mor:	co|hop
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|appuyer-PRES&SUB&13s prep|vers det:art|le&m&sg n|fermier&m
%mor:	co|mh
%mor:	v|enlever-PRES&SUB&13s pro:dem|ça prep|de det:art|la&f&sg
	n|bouche&f
%mor:	v|enlever-PRES&SUB&13s pro:dem|ça prep|de det:art|la&f&sg
	n|bouche&f
%mor:	adv:place|voilà
%mor:	co|allez
%mor:	pro:dem|ce$v:aux|être&IMPF&3s adj|juste prep|pour det:art|la&f&sg
	n|route&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	co|ouh det:art|le&m&sg n|père&m n|noël
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	adv:place|voilà
%mor:	det:art|le&m&sg n|père&m n|noël pro:sub|il v|apporter-IMP&2s
	pro:int|quoi ?
%mor:	n|plein&m prep|de n|cadeau&m-PL prep|dans det:poss|sa&f&sg
	n|hotte&f
%mor:	conj|et adv:place|voilà
%mor:	adv|encore det:art|une&f&sg v|encourir-PRES&SUB&13s
	det:art|une&f&sg adv|encore pro|une&f&sg
%mor:	adv|encore det:art|une&f&sg
%mor:	conj|et adv:place|voilà
%mor:	n|père&m n|noël conj|et det:art|les&pl n|lutin&m-PL
%mor:	pro:sub|on re#v|plier-PRES&SUB&13s ?
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	co|aïe
%mor:	pro:y|y v:aux|avoir&PRES&3s adv|toujours det:poss|mes&pl
	n|doigt&m-PL adv:place|dedans
%mor:	adv:place|voilà
%mor:	adv|alors pro:sub|on pro:obj|le$v:poss|avoir&PRES&3s part|lire-PP&m
	co|euh pro:sub|on det:art|la&f&sg n|lit&m det:dem|cette&f&sg ?|lucie
	det:art|la&f&sg n|taupe&f ?
%mor:	conj|et v|regarder-PRES&SUB&13s
%mor:	pro:sub|elle v:mdl|vouloir&PRES&12s v|attraper-INF=catch
	det:art|les&pl n|étoile&f-PL ?|lucie
%mor:	pro:sub|elle v:mdl|savoir&PRES&3s neg|pas adv|comment
	v:mdllex|faire-INF
%mor:	v|attendre-IMP&2s
%mor:	adv|alors pro:sub|elle v|sauter-PRES&SUB&13s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:sub|elle v|sauter-PRES&SUB&13s prep|pour v|attraper-INF=catch
	det:art|les&pl n|étoile&f-PL
%mor:	adv|mais pro:dem|ça n|marche&f neg|pas
%mor:	conj|et co|non=no
%mor:	adv|alors pro:int|que$v:aux|être&PRES&3s pro:dem|ce
	pro:rel|que$pro:sub|elle part|faire-PP&m ?
%mor:	pro:sub|elle pro:refl|se part|dire-PP&m co|zut
	pro:dem|ce$v:exist|être&PRES&3s n|raté&m
%mor:	adv|alors pro:sub|elle pro:refl|se$pro:y|en v:mdl|aller&PRES&3s
%mor:	pro:sub|elle v:aux|avoir&PRES&3s part|trouver-PP&m pro|autre&sg
	n|chose=thing
%mor:	adv|alors det:dem|cette&f&sg n|+n|fois+n|ci pro:sub|elle
	v:mdl|aller&PRES&3s pro:y|y v|arriver-INF
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|elle
	part|faire-PP&m ?
%mor:	pro:sub|elle v|prendre-PRES&3s det:art|une&f&sg n|herbe&f conj|et
	pro:sub|elle v|monter-PRES&SUB&13s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m
%mor:	pro:sub|elle v|grimper-PRES&SUB&13s
%mor:	co|non=no
%mor:	pro:sub|tu pro:obj|me$v|enlever-PRES&SUB&2s pro:dem|ça prep|de
	det:art|la&f&sg n|bouche&f
%mor:	conj|et pro:sub|elle v|grimper-PRES&SUB&13s
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:poss|ton&m&sg
	n|doudou&m=blankie ?
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|je pro:obj|te pro:obj|le v|donner-PRES&SUB&13s adv|mais
	pro:obj|te$v|enlever-PRES&SUB&2s co|ta adv|toute
%mor:	v|enlever-PRES&SUB&13s pro:dem|ça prep|de det:art|la&f&sg
	n|bouche&f
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|elle v|monter-PRES&SUB&13s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:sub|on co|la v|voir&PRES&3s qn|plus
%mor:	co|hop
%mor:	conj|et pro:sub|elle re#v|tomber-PRES&SUB&13s prep|de
	det:art|le$pro|autre&sg n|côté&m
%mor:	co|aïe co|aïe co|aïe adv|juste prep|sur det:art|les&pl n|fesse&f-PL
%mor:	conj|et co|ouais=yes
%mor:	pro:sub|elle conj|si$v:aux|être&PRES&3s part|dire-PP&m ?|'aurais
	adj|dû&m pro:y|y v|penser-INF prep|plus n|tôt&m
%mor:	adv|alors pro:sub|elle pro:refl|se v|mettre-PRES&3s prep|à&le
	v|fondre-PRES&3s prep|de det:poss|son&m&sg n|trou&m
%mor:	det:art|un&m&sg n|deux&m pro:sub|elle v:aux|être&PRES&3s prep|à&le
	v|fondre-PRES&3s
%mor:	pro:sub|elle v:aux|être&PRES&3s part|cacher-PP&f adv:place|là
	co|hein
%mor:	conj|et num|trois
%mor:	pro:sub|elle v|monter-PRES&SUB&13s prep|dans det:poss|sa&f&sg
	n|fusée&f
%mor:	conj|et adv:place|voilà
%mor:	pro:sub|elle v:aux|avoir&PRES&3s part|attraper-PP&m=catch
	det:art|les&pl n|étoile&f-PL prep|avec det:poss|sa&f&sg n|fusée&f
%mor:	v|enlever-PRES&SUB&13s pro:dem|ça ?|ana
%mor:	co|mm
%mor:	pro:int|quoi ?
%mor:	det:poss|ta&f&sg n|tétine&f
%mor:	conj|et adv:place|voilà
%mor:	co|ohlàlà
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:int|que
	pro:dem|ce$v:aux|être&PRES&3s adv|que pro:dem|ça ?
%mor:	n|hippopotame&m
%mor:	co|ah co|oui=yes
%mor:	adj|joyeux&m n|noël n|popo&m=poopoo
%mor:	prep|sur det:art|les&pl n|joue&f-PL sing|tam_tam
%mor:	prep|sur det:art|les&pl n|fesse&f-PL
%mor:	det:art|les&pl n|fesse&f-PL
%mor:	det:art|les&pl n|cuisse&f-PL
%mor:	det:art|les&pl n|pied&m-PL
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdllex|faire-IMP&2s ?
%mor:	co|ah co|bon
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|trop adj|chaud&m ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|trop
%mor:	prep|pour pro:int|quoi pro:obj|te$v|enlever-PRES&SUB&2s
	det:art|les&pl n|chaussette&f-PL ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg n|baleine&f prep|sur
	det:poss|ta&f&sg n|chaussette&f
%mor:	v|regarder-IMP&2s
%mor:	co|ah co|ouais=yes
%mor:	adv:place|là adv|aussi pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg
	n|baleine&f ?
%mor:	co|oui=yes v|regarder-IMP&2s
%mor:	prep|avec prep|de&les n|poisson&m-PL
%mor:	v|regarder-PRES&SUB&13s det:art|les&pl n|poisson&m-PL
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
	n|soleil&m
%mor:	adj|rouge
%mor:	co|bon adv|alors det:art|le$n|hippopotame&m
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|père&m n|noël co|hein ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le$n|hippopotame&m
	?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	v:mdl|falloir&PRES&3s v|tourner-INF det:art|les&pl n|page-PL
%mor:	co|ah
%mor:	co|éh pro:sub|il v:aux|être&PRES&3s prep|en n|train&m prep|de
	v:mdl|faire-INF det:art|le&m&sg n|sapin&m
%mor:	co|ouais=yes
%mor:	pro:sub|il v:mdl|aller&PRES&3s v|mettre-INF
	pro:obj|le$v|étoiler-IMP&2s n|tout&m ?|làhaut
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	co|oh pro:sub|il v:aux|être&PRES&3s adj|beau&m&sg=pretty
	det:poss|son&m&sg n|sapin&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|mettre-PP&m n|plein&m prep|de
	n|chose-PL=thing
%mor:	pro:sub|il v:aux|avoir&PRES&3s adv|même adj|mi&m-PL=half
	det:art|un&m&sg n|train&m adv:place|dedans
%mor:	co|oh pro:sub|il n|neige&f
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de det:art|la&f&sg n|neige&f
	pro:dem|ça
%mor:	adv|doucement
%mor:	co|ah co|bah part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m
	prep|de v|lire-INF ?
%mor:	co|bon
%mor:	adv|alors pro:sub|on v|arrêter-PRES&SUB&13s
%mor:	co|non=no
%mor:	neg|pas prep|par n|terre&f det:art|le&m&sg n|livre
%mor:	adv:place|là prep|avec det:art|les&pl pro|autres&pl
%mor:	det:art|les&pl pro|autres&pl n|oui&m
%mor:	adv:place|voilà
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|encore det:art|un&m&sg ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?|celuilà ?
%mor:	co|ohlàlà pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|même
	det:art|un&m&sg pro|autre&sg
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|le$pro|autre&sg
	n|livre ?
%mor:	pro:int|lequel&m&sg
%mor:	pro:dem|celui&m&sg prep|avec det:art|les&pl n|mouton&m-PL ?
%mor:	det:art|un&m&sg n|deux&m n|trois&m
%mor:	co|ah co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg
	adj|petit&m n|mouton&m
%mor:	prep|avec det:poss|sa&f&sg n|maman&f det:art|le&m&sg n|bébé&m ?
%mor:	co|mhm
%mor:	chi|ale chi|ale
%mor:	det:art|un&m&sg n|papillon&m co|oui=yes
%mor:	co|non=no v:mdl|falloir&PRES&3s neg|pas dé#v:mdl|faire-INF
	det:art|le&m&sg n|livre
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|oh co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|coccinelle&f
%mor:	n|coccinelle&f
%mor:	num|deux
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s det:art|une&f&sg pro|autre&sg
	?
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|coquelicot&m
%mor:	co|mh n|coquelicot&m
%mor:	adv:place|là adv|aussi pro:y|y pro:y|en v:aux|avoir&PRES&3s
	det:art|un&m&sg v|regarder-PRES&SUB&13s
%mor:	conj|et adv:place|là adv|aussi
%mor:	pro:dem|ce v:aux|être&PRES&3p prep|de&les n|fleur&f-PL
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg
	n|marguerite&f
%mor:	n|marguerite&f
%mor:	co|ouais=yes prep|dans pro:dem|ce n|sens&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|ciel&m pro:dem|ça
%mor:	det:art|un&m&sg n|coquelicot&m
%mor:	co|bah n|si&m
%mor:	co|aïe
%mor:	n|excuse&f
%mor:	pro:rel|où pro:dem|ça
%mor:	co|si pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|coquelicot&m
%mor:	n|si&m
%mor:	adv|alors pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|bah co|non=no
%mor:	pro:sub|ils v:aux|être&PRES&3p neg|pas adj|rouge det:art|les&pl
	n|escargot&m-PL
