%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|très adj|facile ?
%mor:	co|ah pro:dem|ce$v:exist|être&PRES&3s neg|pas adj|facile
%mor:	co|non=no
%mor:	adv|plutôt
%mor:	prep|pour v|enlever-INF
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	co|bah v:mdl|aller&PRES&2s pro:y|y
%mor:	co|oh adv|si part|taire-PP&m v:aux|être&PRES&2s adj|fort&m
%mor:	v|regarder-IMP&2s
%mor:	co|euh n|force&f n|force&f
%mor:	pro:sub|ils conj|si$pro:y|en v|foutre&PRES&3p pro:dem|ça
	n|enfant-PL ?
%mor:	pro:dem|ça n|casse&f det:art|les&pl n|oreille&f-PL ?
%mor:	co|non=no co|non=no co|non=no co|non=no
%mor:	adv|mais ?|amé part|taire-PP&m v|voir&IMP&PRES&12s pro:sub|elle
	v:aux|être&PRES&3s part|occuper-PP&f
%mor:	adv|si part|taire-PP&m v|amener-PRES&SUB&2s det:art|les&pl
	n|enfant-PL pro:sub|elle v:mdl|aller&PRES&3s qn|plus v|entendre-INF
%mor:	co|hein ?
%mor:	adv|parce prep|que n|si&m pro:sub|ils v|pleurer-PRES&3p conj|et
	pro:rel|que$pro:sub|ils v|casser-PRES&3p det:art|les&pl
	n|oreille&f-PL
%mor:	co|hein ?
%mor:	n|montre&f v|voir&INF
%mor:	pro:sub|on v|ouvrir-PRES&SUB&13s ?
%mor:	pro:sub|on n|écoute&f ?
%mor:	co|ouh co|la co|la
%mor:	v:mdl|falloir&PRES&3s adv|vite re#v|fermer-INF co|hein
%mor:	?|qu'estce pro:rel|que$pro:sub|ils v:aux|avoir&PRES&3p ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s ?|peutêtre det:poss|leur&sg
	v|demander-INF pro:dem|ce pro:rel|que$pro:sub|ils
	v:aux|avoir&PRES&3p adv|quand adv|même
%mor:	?|qu'estce pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|les&pl n|enfant-PL ?
%mor:	pro:int|où pro:sub|ils v:aux|être&PRES&3p ?
%mor:	co|oh pro:sub|ils v:aux|être&PRES&3p neg|pas adv:place|là
%mor:	pro:sub|ils v:aux|être&PRES&3p part|partir-PP&m&pl
%mor:	pro:sub|ils v:aux|être&PRES&3p neg|pas part|partir-PP&m&pl ?
%mor:	adv|mais co|éh pro:sub|ils v:aux|être&PRES&3p pro:int|où
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|enfant-PL
	n|voiture&f-PL adv|alors
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|bébé&m-PL
	n|voiture&f-PL ?
%mor:	co|oh
%mor:	adv|mais pro:rel|que$pro:sub|elles v:aux|avoir&PRES&3p n|faim&f
%mor:	co|ah
%mor:	v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m det:art|le&m&sg
	v|tourner-PRES&SUB&2s adv|si pro:dem|ça n|marche&f neg|pas
%mor:	part|taire-PP&m re#v|tourner-PRES&SUB&2s
%mor:	conj|et adv:place|là co|hop pro:dem|ça pro:refl|se n|colle&f
%mor:	co|mh
%mor:	det:art|le$pro|autre&sg n|wagon&m ?
%mor:	co|ah
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|la&f&sg
	n|locomotive&f adv:place|là
%mor:	?|qu'estce pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s ?
%mor:	pro:sub|il v|pleurer-IMP&2s neg|pas ?
%mor:	pro:sub|il n|manque&m co|euh
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdllex|aller&PRES&2s
	pro:ind|leur v|donner-INF prep|à v|manger-INF ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon ?
%mor:	pro:sub|elles v:aux|avoir&PRES&3p qn|plus n|faim&f ?
%mor:	co|oh
%mor:	co|ah
%mor:	co|oh co|la
%mor:	co|oh co|non=no neg|pas prep|sous det:art|le&m&sg n|sou&m-PL
	det:art|le$n|armoire&f
%mor:	adv|après pro:sub|on v:aux|avoir&PRES&3s prep|de&le adj|mal&m&sg
	prep|à v|rattraper-INF
%mor:	co|oh
%mor:	re#part|tourner-PP&f ?|cellelà
%mor:	co|oh
