%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:int|qui
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour v|attacher-INF
	det:art|les&pl n|pied&m-PL ?
%mor:	conj|et det:poss|ta&f&sg n|clé&f adv:place|là part|faire-PP&m
	v|voir&INF
%mor:	det:art|la&f&sg n|clé&f ?
%mor:	co|ah
%mor:	conj|et det:poss|ton&m&sg n|klaxon&m pro:sub|il v:aux|être&PRES&3s
	pro:int|où ?
%mor:	conj|et pro:sub|il part|faire-PP&m neg|pas adv|beaucoup prep|de
	n|bruit&m det:poss|ton&m&sg n|klaxon&m
%mor:	co|ah
%mor:	co|ah co|oui=yes pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
%mor:	part|taire-PP&m part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s
	neg|pas part|perdre-PP&m
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|enlever-PP&m
	adv|plutôt
%mor:	conj|et co|ben
%mor:	adv|ben pro:obj|te v|gratter-PRES&SUB&13s neg|pas det:art|les&pl
	n|yeux&m adv|après
%mor:	co|ah adv|évidemment
%mor:	pro:sub|je$v:aux|avoir&COND&12s v|dire-PASS&PRES&3s pro:obj|te
	v|gratter-PRES&SUB&13s neg|pas det:art|la&f&sg n|tête&f pro:sub|tu
	v:poss|avoir&COND&12s part|faire-PP&m adv|comme pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|bien&m pro:dem|ce pro:int|qui
	pro:obj|me v|sembler-IMPF&3s
%mor:	co|oh co|ben co|oui=yes part|taire-PP&m v|voir&IMP&PRES&12s
	pro:sub|je$v:aux|avoir&IMPF&12s adv|encore neg|pas part|voir&PP&m
	pro:dem|ça
%mor:	pro:sub|on conj|si$pro:y|en v|rappeler-IMPF&3s qn|plus
%mor:	pro:int|où ?|estce pro:rel|que$pro:sub|elle v:aux|être&PRES&3s
	prep|à&le part|faire-PP&m det:poss|ta&f&sg adj|petit&f n|pelle&f
	adv:place|là ?
%mor:	adv|hier part|taire-PP&m v:mdl|vouloir&IMPF&12s pro:obj|la
	re#v|construire-INF n|hier&m n|matin&m
%mor:	v:mdl|faire-PRES&12s v|voir&INF adv:place|là ?
%mor:	part|taire-PP&m pro:obj|me v:mdl|faire-PRES&12s v|penser-INF
%mor:	n|mécanique&f
%mor:	co|ouh co|la pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg
	n|singe&m pro:int|qui
%mor:	v|monter-INF prep|dessus conj|et pro:sub|il v|sauter-PRES&SUB&13s ?
%mor:	co|mh
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas adv|si pro:sub|elle
	v|marcher-PRES&SUB&13s adv|encore adv|d'ailleurs
%mor:	adv|parce adv|que
%mor:	co|ah co|oui=yes co|ah co|oui=yes
%mor:	co|oh n|super&m
%mor:	co|ouh co|la co|la co|la co|la
%mor:	co|bom co|bom co|bom
%mor:	n|comment&m pro:dem|ça n|marche&f pro:dem|ça ?
%mor:	pro:sub|tu pro:obj|te v|rappeler-PRES&SUB&2s ?|tim ?
%mor:	pro|moi&sg pro:sub|je pro:obj|me$pro:y|en v|rappeler-PRES&SUB&13s
	qn|plus
%mor:	adv|comme pro:dem|ça ?|peutêtre ?
%mor:	co|ouais=yes adv|comme pro:dem|ça
%mor:	v|tenir-IMP&2s pro:dem|ça pro:sub|on v:mdl|aller&PRES&3s pro:obj|le
	v|pousser-INF adv:place|là
%mor:	pro:obj|vous pro:obj|vous pro:y|en v|servir-IMP&PRES&2p
	part|plaire-PP&m&pl adv|trop
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|mettre-INF adv:place|là
	prep|pour det:art|le$n|instant&m
%mor:	pro:dem|ça v|prendre-PRES&3s prep|de det:art|la&f&sg n|place&f
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s adj|merveilleux&m pro:sub|il
	n|marche&f
%mor:	v|venir-IMP&2s
%mor:	v:mdl|faire-PRES&12s pro:obj|le re#v|venir-INF prep|vers
	pro:obj|nous
%mor:	?|tim v|venir-PRES&12s v|voir&INF
%mor:	co|eh pro:sub|je pro:obj|me v|souvenir-PRES&12s adv|plus
	adv:place|là
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:gen|quelque
	n|chose=thing
%mor:	v|venir-IMP&2s v|venir-IMP&2s pro:obj|me$v|aider-INF adv|si
	pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	?|tim ?
%mor:	?|tim
%mor:	co|oh pro:sub|ils pro:refl|se v:aux|être&PRES&3p
	part|enfermer-PP&m&pl adv:place|là ?
%mor:	co|ah co|oui=yes
%mor:	co|eh ?|tim
%mor:	part|taire-PP&m n|laisse&f-PL v|rentrer-INF n|si&m pro:sub|il
	pro:obj|te v|plaire-PRES&3s
%mor:	co|oui=yes v|venir-PRES&12s ?|tim
%mor:	v|venir-IMP&2s prep|avec pro|moi&sg
%mor:	?|tim part|taire-PP&m pro:obj|te v|pousser-PRES&SUB&2s prep|de
	n|derrière&m det:art|la&f&sg n|porte&f=door
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|dangereux&m
%mor:	pro:sub|on n|joue&f neg|pas prep|avec det:art|les&pl
	n|porte&f-PL=door
%mor:	v|venir-IMP&2s v|voir&INF pro:sub|on v:mdl|aller&PRES&3s
	v|jouer-INF prep|avec det:art|le$n|hélicoptère&m adv:place|là
%mor:	det:art|les&pl adj|petit&m-PL n|bonhomme&m-PL
%mor:	v|regarder-IMP&2s
