%mor:	pro:sub|elles v:aux|être&PRES&3p pro:int|où ?|chl ?
%mor:	part|taire-PP&m dé#v|couper-PRES&SUB&2s pro:int|quoi ?|ana ?
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	v|couper-INF pro:int|quoi ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	v|regarder-IMP&2s pro:dem|ce pro:int|que
%mor:	num|deux n|cuillère&f-PL=spoon ?
%mor:	adv|mais pro:sub|je$v|aimer-IMP&2s adv|mieux=better det:art|la&f&sg
	adj|jaune prep|de n|cuillère&f=spoon pro|moi&sg
%mor:	neg|pas pro|toi&sg ?
%mor:	adv:place|voilà
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|on v:aux|avoir&PRES&3s part|réparer-PP&m
	det:art|le$n|oreille&f adv|mais det:art|le&m&sg n|groin&m pro:sub|il
	v:mdl|vouloir&PRES&3s neg|pas v|tenir-INF
%mor:	co|ah co|oui=yes
%mor:	v|attendre-IMP&2s pro:sub|je pro:obj|la v|ranger-PRES&SUB&13s
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	co|merci
%mor:	?|qu'estce adv|que part|taire-PP&m pro:obj|me v:mdl|faire-PRES&12s
	prep|de adj|bon&m ?|ana ?
%mor:	adv|encore det:art|un&m&sg n|thé&m ?
%mor:	adv|mais pro|moi&sg pro:sub|je v:mdl|vouloir&IMPF&12s
	det:art|un&m&sg n|bout&m prep|de n|gâteau&m
%mor:	pro|moi&sg pro:sub|je v|commencer-PRES&SUB&13s prep|à
	v:aux|avoir&INF n|faim&f adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|mon&m&sg num|quatre
	n|heure&f-PL
%mor:	co|ben n|oui&m
%mor:	pro:rel|où pro:dem|ça ?
%mor:	adv:place|là conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	pro:int|quoi ?
%mor:	det:art|un&m&sg n|jus&m prep|de$n|orange ?
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg n|excuse&f
	pro|moi&sg
%mor:	n|bois&m det:poss|ton&m&sg n|jus&m prep|de$n|orange adv|alors
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s det:poss|ton&m&sg n|café&m
%mor:	co|ah part|taire-PP&m n|bois&m prep|de&le n|café&m pro|toi&sg ?
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui n|bois&m
	det:art|le&m&sg n|café&m adv|normalement ?
%mor:	co|ah part|taire-PP&m n|bois&m det:art|le&m&sg n|café&m prep|comme
	n|papa&m
%mor:	co|mhm co|mhm
%mor:	co|mm
%mor:	adj|sacré&m n|café&m
%mor:	adv|mais pro:y|y v:aux|avoir&PRES&3s pro:int|quoi ?
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s det:poss|mon&m&sg n|gâteau&m
	pro:dem|ça ?
%mor:	pro:sub|il v:mdl|falloir&IMP&2s det:art|un&m&sg n|couteau&m conj|et
	det:art|une&f&sg n|fourchette&f ?|ana co|hein ?
%mor:	co|mh
%mor:	co|ouais=yes v:mdl|aller&PRES&2s pro:y|y n|pose&f
%mor:	adv|d'accord
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s adv|encore v|chauffer-INF ?
%mor:	co|ah
%mor:	v:mdl|falloir&PRES&3s v:mdl|aller&INF prep|sur det:art|le&m&sg
	det:art|les&pl n:let|w n:let|c
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|pénible prep|avec
	det:poss|ton&m&sg n|pot&m=pot
%mor:	v|venir-IMP&2s
%mor:	v|venir-IMP&2s prep|sur det:art|les&pl n|toilette&f-PL
%mor:	v|venir-IMP&2s adv|vite
%mor:	pro:obj|te$v:poss|avoir&FUT&2s part|plaire-PP&m&pl adv|vite
	v:mdllex|faire-PRES&12s
%mor:	part|boire&PP&m part|taire-PP&m v:mdl|aller&PRES&2s pro:y|y
	v|rester-INF det:art|une&f&sg n|heure&f prep|sur det:poss|ton&m&sg
	n|pot&m=pot
%mor:	co|oui=yes
%mor:	co|allez v|venir-PRES&12s adj|petit&f n|fille&f
%mor:	co|allez
%mor:	part|taire-PP&m pro:obj|te$v|installer-PRES&SUB&2s pro:int|où ?
%mor:	n|dépêche&f pro|toi&sg
%mor:	adv:place|là ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
	v:mdl|falloir&PRES&3s v:mdllex|faire-INF ?
%mor:	part|taire-PP&m v|venir-IMP&2s adv:place|là ?
%mor:	v|venir-IMP&2s adv:place|là adj|petit&f n|fille&f
%mor:	det:art|un&m&sg adj|grand&m ?
%mor:	pro:sub|je$v:aux|avoir&PRES&1s pro:sub|je$v:aux|avoir&PRES&1s
	neg|pas part|comprendre-PP&m
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te$v|amener-INF
%mor:	adv|d'accord
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te pro:obj|le$v|amener-INF
	adv:place|là
%mor:	det:art|la&f&sg n|vaisselle&f
%mor:	adv|d'accord ?
%mor:	adv|tout
%mor:	v|asseoir&PASS&12s pro|toi&sg
%mor:	n|tout&m n|tout&m n|oui&m
%mor:	adv|tout
%mor:	part|taire-PP&m n|reste&m-PL neg|pas det:art|une&f&sg n|heure&f
	prep|sur det:art|le&m&sg n|pot&m=pot co|hein ?
%mor:	v|tenir-IMP&2s det:poss|mon&m&sg n|ange&m
%mor:	pro:dem|ça pro:obj|te v:mdl|aller&PRES&3s adv:place|là ?
%mor:	v|tenir-IMP&2s det:art|le&m&sg n|verre&m
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon adv:place|là ?
%mor:	v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|finir-PP&m ?
%mor:	co|oh
%mor:	adj|petit&f n|fille&f
%mor:	adv|d'accord pro:sub|je pro:obj|te pro:obj|le v|donner-PRES&SUB&13s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m ?
%mor:	pro:y|y v:aux|avoir&PRES&3s qn|plus prep|de$n|eau&f ?
%mor:	co|oui=yes
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s ?
%mor:	re#v|pondre-IMP&2s pro|moi&sg
%mor:	co|oh pro:sub|je$v:aux|avoir&PRES&1s adv|tout part|renverser-PP&m
%mor:	pro:sub|je v:aux|être&PRES&1s part|désoler-PP&f
%mor:	adv|comme pro:dem|ça ?
%mor:	pro:sub|je pro:obj|te v|donner-PRES&SUB&13s adv|tout ?
%mor:	conj|et pro|moi&sg pro:sub|je$v:poss|avoir&PRES&1s prep|plus
	n|rien&m
%mor:	pro|toi&sg adv|aussi co|hein ?
%mor:	co|mh
%mor:	pro|toi&sg adv|aussi ?
%mor:	v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|finir-PP&m ?|ana ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas adv|encore
	part|finir-PP&m ?
