%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|avoir&PRES&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|panda ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|étaler-PP&m det:art|les&pl
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s adv|encore det:art|une&f&sg
	n|citrouille&f conj|et det:art|une&f&sg n|orange
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s ?
%mor:	co|oui=yes pro:sub|je v:mdl|vouloir&PRES&12s adv|bien
	det:art|un&m&sg n|thé&m adv|si pro:sub|il pro:obj|te
	v|plaire-PRES&3s
%mor:	det:art|un&m&sg n|thé&m adv|comme pro:dem|ça n|oui&m
%mor:	co|merci
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	v|dire-PRES&PASS&12s pro|moi&sg adv|comment pro:sub|elle
	pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	n|comment&m ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|donner-INF prep|à ?|ger ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s det:art|la&f&sg adj|gros&f
	n|théier&f adv:place|là co|hein
%mor:	part|taire-PP&m n|peu&m-PL co|la v|prendre-INF co|hein
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|sucre&m
%mor:	co|oh adv|ben part|taire-PP&m n|peu&m-PL n|oui&m
%mor:	co|oui=yes pro:obj|vous v:aux|avoir&PRES&2p adv|tout
	part|casser-PP&m
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s ?|ana
%mor:	pro|toutes&f&pl det:art|les&pl num|deux ?
%mor:	co|mh
%mor:	pro:dem|ça pro:refl|se v:mdl|pouvoir&PRES&3s
%mor:	det:art|le&m&sg n|cheval&m&sg pro:dem|ce$v:exist|être&PRES&3s
	?|cellelà
%mor:	v|attendre-IMP&2s part|taire-PP&m v:mdl|savoir&PRES&12s
	pro:int|quoi ?
%mor:	co|attention det:poss|mon&m&sg n|coeur&m
%mor:	?|qu'estce prep|que part|taire-PP&m v:poss|avoir&PRES&2s
	v:mdl|faire-IMP&2s v|chauffer-INF ?
%mor:	co|ah adv|mais pro:dem|ce$v:exist|être&PRES&3s neg|pas
	det:art|une&f&sg n|barrette&f pro:dem|ce$v:exist|être&PRES&3s
	det:art|une&f&sg n|barrette&f pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|une&f&sg
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|pince&f
%mor:	pro:sub|je v|croire&IMPF&12s adv|que pro:dem|ce$v:aux|être&IMPF&3s
	det:art|une&f&sg n|boucle&f prep|de$n|oreille&f
%mor:	co|hop v|regarder-IMP&2s pro|moi&sg ?
%mor:	co|hoh
%mor:	co|oui=yes v:mdl|faire-PRES&12s v|chauffer-INF
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|grand&f det:poss|ta&f&sg
	n|casserole&f ?
%mor:	co|mh
%mor:	v:mdl|falloir&PRES&3s v:mdl|faire-INF v|chauffer-INF adv|comme
	pro:dem|ça adv:place|voilà
%mor:	v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v:mdl|aller&INF prep|à&les n|toilette&f-PL ?
%mor:	co|oui=yes co|hein co|allez on|zou adv|vite adv|vite
%mor:	co|oui=yes
%mor:	co|ah co|bon
%mor:	co|aïe
%mor:	det:art|les&pl n|main&f-PL
%mor:	conj|et co|oui=yes n|mai&m-PL n|oui&m adv|mais part|taire-PP&m
	v:mdl|aller&PRES&2s adv|toujours adv|trop adv|vite conj|pour
	v:mdl|faire-INF det:art|les&pl n|chose-PL=thing
%mor:	part|taire-PP&m pro:obj|le$v|enlever-PRES&SUB&2s det:art|le&m&sg
	n|sac&m ?
%mor:	co|ouais=yes
%mor:	co|hop co|hop
%mor:	co|attention v|perdre-PRES&3s neg|pas ?|amtaro prep|dans
	det:art|les&pl n|toilette&f-PL co|hein ?
%mor:	adv|parce pro:int|que conj|alors co|hein pro:sub|on
	v:mdl|aller&PRES&3s neg|pas v:mdl|aller&INF det:art|le&m&sg
	v|chercher-INF ?
%mor:	co|hop
%mor:	neg|pas co|non=no qn|plus prep|à v:mdl|faire-INF
	det:art|le$n|andouille&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon adv:place|là ?
%mor:	adv|mais co|non=no pro:sub|elle v:mdl|aller&PRES&3s neg|pas
	v|tomber-INF det:poss|ta&f&sg n|robe&f
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	pro:sub|je re#v|venir-PRES&12s adv|d'accord ?
%mor:	pro:sub|tu pro:obj|me$v|appeler-PRES&SUB&2s adv|quand
	part|taire-PP&m v:aux|avoir&PRES&2s n|fini&m-PL
%mor:	pro:sub|je re#v|venir-PRES&12s n|tout&m prep|de n|suite&f
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|fini&m-PL ?
%mor:	pro:sub|je$v|arriver-IMP&2s
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sure adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s v:mdl|faire-PRES&12s det:gen|quelque
	n|chose=thing ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça co|oui=yes
%mor:	prep|à det:poss|mon&m&sg n|avis&m part|taire-PP&m
	v:aux|avoir&PRES&2s n|rien&m part|faire-PP&m prep|de&le adv|tout
%mor:	det:art|un&m&sg n|tout&m adj|petit&m n|peu&m adv|comme pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&IMPF&3s adv|vraiment det:art|un&m&sg
	adj|petit&m n|tout&m adj|petit&m adv|alors
%mor:	num|deux
%mor:	n|deux&m adv|comme pro:dem|ça
%mor:	v|tenir-IMP&2s det:poss|ma&sg n|biche&f
%mor:	co|oui=yes n|garde det:art|le&m&sg
%mor:	adv:int|pourquoi pro:int|quoi det:art|le&m&sg n|micro&m ?
%mor:	co|ben adv|parce adv|que
%mor:	co|allez n|avance&f
%mor:	co|allez co|oust
%mor:	adv|doucement det:art|le&m&sg n|micro&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là det:art|le&m&sg
	n|micro&m
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s
	pro:dem|ce$v:exist|être&IMPF&3s neg|pas det:art|une&f&sg adj|bon&f
	n|idée&f det:poss|ma&sg n|chéri&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le v|voir&INF ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v|inventer-PRES&SUB&2s ?
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|vouloir&PRES&3s adv:place|là
	?
%mor:	prep|de pro:dem|ce n|côté&m adv:place|là adv|mais pro:dem|ça
	v:mdl|aller&PRES&3s neg|pas pro:obj|te v|géner-INF=to_block prep|de
	pro:dem|ce n|côté&m adv:place|là ?
%mor:	co|oh
%mor:	adv|alors v|attendre-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|tourner-INF adv|comme
	pro:dem|ça
%mor:	adv:place|voilà
%mor:	co|allez n|avance&f
%mor:	v|attendre-IMP&2s det:art|la&f&sg n|robe&f pro:sub|elle
	v:aux|être&PRES&3s part|coincer-PP&f prep|dans det:art|le&m&sg
	n|collant&m
%mor:	adv:place|voilà
%mor:	co|ah
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|tout pro:dem|ce adv|que
	part|taire-PP&m v:aux|avoir&PRES&2s pro:dem|ce$v:exist|être&PRES&3s
	pro:dem|ce adv|que part|taire-PP&m v:aux|avoir&PRES&2s
	v:mdl|faire-PRES&12s prep|à v|manger-INF ?
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	prep|à v|manger-INF part|taire-PP&m v:aux|avoir&PRES&2s
	v:mdl|faire-PRES&12s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi
	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s v:mdl|faire-PRES&12s ?
%mor:	?|qu'estce prep|que part|taire-PP&m pro:sub|nous
	v:poss|avoir&PRES&2s v:mdl|faire-PRES&12s prep|à v|manger-INF
	prep|de co|bon ?
%mor:	prep|de det:art|la&f&sg n|soupe&f prep|de n|tomate&f ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|pomme&f
%mor:	prep|de pro:rel|quoi ?
%mor:	pro:sub|elle pro:obj|te$v:poss|avoir&PRES&2s part|préparer-PP&m
	det:art|un&m&sg n|thé&m part|taire-PP&m v:aux|avoir&PRES&2s
	part|entendre-PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|gentil&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|préparer-PP&m pro:int|quoi
	?
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s neg|pas pro:dem|ça prep|à&le
	micro#n|onde&f-PL ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s co|heuh
%mor:	det:art|un&m&sg n|chocolat&m
%mor:	co|ah adv|d'accord n|oui&m co|ben adv|si part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	adv|d'accord pro:sub|on part|dire-PP&m prep|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça
