%mor:	prep|à pro:rel|quoi part|taire-PP&m n|joue&f-PL ?|anaé ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
%mor:	det:art|la&f&sg n|girafe&f co|ouais=yes
%mor:	co|hum co|hum
%mor:	det:art|le&m&sg n|tigre&m ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v|croire&PRES&12s prep|que
	?|ael pro:sub|il v:poss|avoir&PRES&3s pro:sub|il v:aux|être&PRES&3s
	part|habiller-PP&m adv|maintenant ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s part|luire&PP&m v|demander-INF
	?
%mor:	pro:sub|il v:aux|être&PRES&3s prep|dans det:art|la&f&sg n|chambre&f
	pro:sub|je v|croire&PRES&12s
%mor:	pro:sub|il pro:obj|te$v:poss|avoir&PRES&3s re#part|pondre-PP&m
	part|taire-PP&m part|luire&PP&m n|demande&f-PL adv|si pro:sub|il
	v:aux|être&PRES&3s part|habiller-PP&m ?
%mor:	part|taire-PP&m n|demande&f-PL prep|à ?|ael ?
%mor:	co|ouais=yes
%mor:	pro:sub|on part|dire-PP&m co|pardon ?|anaé
%mor:	pro:sub|on part|dire-PP&m n|pardon&m neg|pas v|pousser-IMP&2s
	pro|toi&sg
%mor:	part|taire-PP&m v|promener-PRES&SUB&2s pro:int|qui adv:place|là ?
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|où det:poss|ses&pl
	n|habit&m-PL prep|à det:poss|ta&f&sg n|poupée&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s adv|toute adj|nu&f
	v|regarder-PRES&SUB&13s
%mor:	pro:sub|elle v:aux|être&PRES&3s adv|toute n|nu&f
%mor:	v:mdl|falloir&PRES&3s adv|peut–être pro:obj|le$v|habiller-INF
	co|non=no ?
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|où det:poss|ses&pl
	n|habit&m-PL ?
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:art|la&f&sg
	n|valise&f ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	det:art|la&f&sg n|valise&f det:art|la&f&sg n|valise&f prep|de
	pro:rel|qui ?
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s part|dessiner-PP&m adv:place|dessus ?
%mor:	co|non=no co|non=no co|non=no pro:sub|je v|croire&PRES&12s neg|pas
	co|non=no
%mor:	pro:sub|je v|penser-IMP&2s neg|pas pro:dem|ça v:mdl|devoir&PRES&3s
	v:aux|être&INF prep|dans det:art|le&m&sg det:art|le&m&sg n|truc&m
	adj|rose
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl
	n|habit&m-PL prep|de&les pro|autres&pl n|bébé&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour det:art|les&pl adv|plus
	adj|grand&m-PL
%mor:	prep|pour det:art|les&pl adv|plus n|gros&m n|bébé&m-PL pro:dem|ça
%mor:	co|oh v|dire-PRES&PASS&12s adv|donc pro:dem|ce$v:aux|être&PRES&3s
	adv|lourd ?
%mor:	part|taire-PP&m v|partir-IMP&PRES&12s prep|en n|voyage&m ?
%mor:	v|attendre-IMP&2s pro:sub|on v:mdl|aller&PRES&3s pro:obj|la
	v|mettre-INF n|parterre&m=flowerbed
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le$v|ouvrir-INF ?
%mor:	co|oui=yes
%mor:	part|taire-PP&m v:mdllex|vouloir&PRES&12s det:art|un&m&sg n|bébé&m
	co|ben v|regarder-PRES&SUB&13s adv|si pro:sub|il pro:y|y pro:y|en
	v:aux|avoir&PRES&3s neg|pas pro|un&m&sg prep|dans det:art|la&f&sg
	n|poussette&f conj|ou prep|dans det:art|le&m&sg n|lit&m
	adv:place|là–bas
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|on
	v:mdl|aller&PRES&3s part|luire&PP&m v|mettre-INF prep|à pro:dem|ce
	n|bébé&m ?
%mor:	det:art|un&m&sg n|peu&m adj|grand&m pro:dem|ça conj|pour
	pro:ind|lui
%mor:	det:art|un&m&sg n|pantalon&m adv|comme pro:dem|ça ?
%mor:	co|nan pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s adv|trop
	adj|grand&m
%mor:	pro:dem|ça ?
%mor:	pro:dem|ça pro:dem|ça v:mdl|aller&PRES&3s v:aux|être&INF
	pro:dem|ce$v:aux|être&PRES&3s adv|trop adj|petit&m pro:dem|ça ?|anaé
	adv|peut–être
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à det:art|la&f&sg n|souris&f
	pro:dem|ça part|taire-PP&m v:mdl|savoir&PRES&12s
%mor:	adv|trop adj|petit&m
%mor:	part|taire-PP&m v|ranger-PRES&SUB&2s det:art|un&m&sg adj|petit&m
	n|peu&m n|tout&m pro:dem|ça
%mor:	co|ouais=yes
%mor:	v|attendre-IMP&2s v:mdl|aller&PRES&3s pro:obj|la v|poser-INF
	adv:place|là–bas
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|grand&m pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s adv|trop adj|grand&m prep|pour
	part|luire&PP&m pro:dem|ça pro:sub|on v:mdl|pouvoir&PRES&3s
	pro:obj|le v|mettre-INF prep|à ?|kirikou adv|peut–être
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|robe&f
%mor:	co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|kirikou co|la adv|plus adj|gros&f
	n|poupée&f adv|alors
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg adj|joli&f n|robe&f
%mor:	adv|mais pro:sub|elle v:aux|être&PRES&3s adv|trop adj|petit&f
	prep|pour pro|toi&sg
%mor:	pro|toi&sg part|taire-PP&m n|peu&m-PL neg|pas pro:obj|la
	v|mettre-INF
%mor:	co|ouais=yes
%mor:	co|hum co|hum
%mor:	adv|comment pro:sub|on n|demande&f ?
%mor:	co|ben n|rien&m v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|on
	pro:obj|le v|mettre-PRES&SUB&13s prep|à det:art|la&f&sg n|poupée&f
%mor:	prep|à ?|kirikou co|ouais=yes
%mor:	?|ael pro:sub|il v:aux|être&PRES&3s part|partir-PP&m
	det:art|le&m&sg v|chercher-INF
%mor:	adv|mais adv|peut–être ?|kirikou pro:sub|il v:aux|être&PRES&3s
	adv:place|là prep|en part|faire-PP&m
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|regarder-INF
%mor:	adv|si pro:sub|je pro:obj|te v|voir&IMP&PRES&12s
%mor:	co|ah co|oui=yes pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	pro:sub|il v:mdl|vouloir&PRES&3s v|mettre-INF det:art|la&f&sg
	n|robe&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|luire&PP&m pro:int|qui
	pro:obj|te pro:obj|le$v:poss|avoir&PRES&3s part|dire-PP&m ?
%mor:	v|cacher-INF det:poss|son&m&sg n|zizi&m=penis
%mor:	co|hop
%mor:	co|oh v|dire-PRES&PASS&12s adv|donc pro:sub|il v:aux|être&PRES&3s
	adv|très adj|beau&m&sg=pretty adv|comme pro:dem|ça ?|kirikou
%mor:	v|regarder-IMP&2s
%mor:	v|regarder-PRES&SUB&13s prep|comme pro:sub|il v:aux|être&PRES&3s
	adj|beau&m&sg=pretty
%mor:	pro:sub|il v:aux|être&PRES&3s adj|beau&m&sg=pretty ?
%mor:	v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m part|luire&PP&m
	v:mdl|faire-PRES&SUB&2s prep|à v|manger-INF adv|maintenant
%mor:	part|taire-PP&m part|luire&PP&m v:mdl|faire-PRES&12s prep|à
	v|manger-INF ?
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s pro:sub|on v:mdl|aller&PRES&3s
	pro:obj|le$v|asseoir&INF adv:place|là
%mor:	pro:sub|on pro:obj|le$v|asseoir&PRES&3s prep|sur det:art|la&f&sg
	n|table&f conj|et pro|toi&sg pro:sub|tu v:mdl|aller&PRES&2s
	part|luire&PP&m v|préparer-INF prep|à v|manger-INF
%mor:	adv|d'accord ?
%mor:	part|taire-PP&m part|luire&PP&m v|préparer-PRES&SUB&2s prep|à
	v|manger-INF part|taire-PP&m v|prendre-PRES&IMP&12s prep|dans
	det:art|le&m&sg n|panier&m adv:place|là–bas ?
%mor:	co|non=no det:art|le&m&sg n|panier&m det:art|le&m&sg n|panier&m
%mor:	co|oui=yes
%mor:	co|ouais=yes
%mor:	co|attention
%mor:	v|regarder-PRES&SUB&13s ?|ael ?|anaé
%mor:	v|mettre-IMP&2s det:art|le&m&sg n|parterre&m=flowerbed n|mets&m
	det:art|le&m&sg n|parterre&m=flowerbed det:art|le&m&sg n|panier&m
%mor:	co|oh co|hisse co|ouf
%mor:	v|tenir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s part|luire&PP&m
	v|mettre-INF pro:dem|ça adv|peut–être prep|à ?|kirikou prep|pour
	v|manger-INF
%mor:	pro:sub|on part|luire&PP&m v|mettre-PRES&3s det:art|une&f&sg
	n|serviette&f ?
%mor:	adv:place|voilà
%mor:	co|allez part|taire-PP&m part|luire&PP&m v|préparer-PRES&SUB&2s
	prep|à v|manger-INF ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m part|luire&PP&m
	v:mdl|faire-PRES&12s prep|à v|manger-INF ?
%mor:	v|regarder-PRES&SUB&13s prep|dans det:art|le&m&sg n|panier&m
	pro:rel|ce–que part|taire-PP&m n|peu&m-PL part|luire&PP&m
	v:mdl|faire-INF prep|à v|manger-INF
%mor:	co|ben co|non=no part|taire-PP&m v:mdl|aller&PRES&2s neg|pas
	part|luire&PP&m v:mdl|faire-INF v|manger-INF n|kiki&m adv|quand
	adv|même
%mor:	co|hum co|hum
%mor:	co|ah pro:sub|je v:mdl|savoir&PRES&12s neg|pas adv|si pro:sub|il
	v|tenir-PRES&3s v|asseoir&PASS&12s pro|moi&sg part|taire-PP&m
	v:mdl|savoir&PRES&12s
%mor:	adv|peut–être adv:place|là prep|entre det:art|la&f&sg n|valise&f
	co|ouais=yes
%mor:	v|chercher-IMP&2s pro:sub|il v:mdl|devoir&PRES&3s v:aux|être&INF
	prep|dans det:art|le&m&sg n|panier&m
%mor:	co|hum
%mor:	co|ah det:art|la&f&sg adj|petit&f n|fée&f
%mor:	?|fifi
%mor:	co|na
%mor:	co|na
%mor:	co|oh
%mor:	?|fifi
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	pro:sub|elle v|parler-PRES&SUB&13s ?
%mor:	co|na
%mor:	co|oh
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|oublier-PP&m
%mor:	co|na
%mor:	v:mdllex|aller&PRES&2p pro:sub|on det:art|la&f&sg n|pose&f
%mor:	v|chercher-PRES&SUB&13s det:art|le&m&sg n|couteau&m
	v|chercher-PRES&SUB&13s det:art|le&m&sg n|couteau&m
%mor:	v|chercher-PRES&SUB&13s det:art|le&m&sg n|couteau&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	co|ben pro:dem|ça v:mdl|aller&PRES&3s neg|pas v:aux|être&INF
	adv|très adj|pratique part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas
	v|essayer-INF prep|de v|trouver-INF det:art|un&m&sg n|couteau&m
	adv|plutôt ?
%mor:	det:art|le&m&sg n|couteau&m pro:sub|il v:aux|être&PRES&3s
	pro:int|où ?
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	?|fifi
%mor:	co|na
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle part|dire-PP&m ?
%mor:	co|ouais=yes adj|petit&m n|bouton&m adv|de n|or&m
%mor:	co|na
%mor:	co|na
%mor:	conj|et adv:place|là pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|elle part|dire-PP&m ?
%mor:	co|na
%mor:	co|na
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s part|dire-PP&m ?
%mor:	co|oh
%mor:	co|na
%mor:	co|na
%mor:	conj|et adv:place|là pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|elle v:aux|avoir&PRES&3s part|dire-PP&m ?
%mor:	co|allez pro|moi&sg pro:sub|je part|luire&PP&m v:mdl|faire-PRES&12s
	det:art|un&m&sg adj|câlin&m=cuddly conj|et pro|toi&sg
	part|taire-PP&m v:mdl|faire-PRES&12s n|manger&m=food ?|kirikou
	adv|d'accord ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le$v|essayer-INF ?
%mor:	co|na
%mor:	conj|et adv|maintenant v:mdl|falloir&PRES&3s pro:rel|que
	part|taire-PP&m v|parler-PRES&SUB&2s prep|comme det:art|les&pl
	?|télétubbies
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|ils v|dire-PRES&SUB&3p
	det:art|les&pl ?|télétubbies ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le$v|enlever-INF ?
%mor:	v:mdl|falloir&PRES&3s v|détacher-INF=detach adv:place|là
%mor:	adv|mais co|non=no adv|mais pro:sub|je v|croire&PRES&12s adv|que
	pro:dem|ce$v:aux|être&PRES&3s adv:place|là det:art|les&pl
	n|couteau&m-PL ?|anaé
%mor:	v|tenir-IMP&2s
%mor:	co|hum
%mor:	v|tenir-IMP&2s part|taire-PP&m n|montre&f-PL prep|à ?|aliyah
	n|ton&m=tone adj|petit&m n|sac&m ?
%mor:	prep|que n|papa&m conj|et n|mama&f pro:sub|ils
	pro:sub|tu$v:aux|avoir&PRES&3p ?|amene ?
%mor:	?|anaé ?
%mor:	n|montre&f det:art|le&m&sg adj|petit&m n|sac&m adj|vert&m
%mor:	v:aux|avoir&PRES&3s ?|aliyah
%mor:	adv:place|là adv:place|là adv:place|là adv:place|là adv:place|là
%mor:	v|donner-IMP&2s
%mor:	det:art|le&m&sg adj|petit&m n|sac&m det:art|le&m&sg adj|petit&m
	n|sac&m prep|de&le ?|loch ?|ness
%mor:	co|allez part|taire-PP&m v:mdl|faire-PRES&12s v|manger-INF
	?|kirikou ?
%mor:	adv|parce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s adv|très
	adv|très n|faim&f
%mor:	pro:int|que$v:int|est–ce conj|que pro:dem|ce$v:exist|être&PRES&3s
	pro:rel|que$pro:sub|il v|manger-PRES&SUB&13s ?
%mor:	conj|et pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|hum co|hum
%mor:	pro:sub|il part|dire-PP&m prep|que pro:dem|ce$v:aux|être&PRES&3s
	co|bon ?
%mor:	co|oh pro:sub|il v:aux|être&PRES&3s n|sage det:poss|ton&m&sg
	n|bébé&m co|hein
%mor:	pro:sub|il v|venir-PRES&3s prep|sur det:poss|mes&pl n|genou&m-PL
	prep|pour v|manger-INF ?
%mor:	prep|sur det:poss|mes&pl n|genou&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|moi&sg pro:int|qui pro:int|quoi ?
%mor:	on|tptptp on|ptptptpt co|han pro:sub|je v|croire&PRES&12s
	pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s part|faire-PP&m
	n|caca&m=poopoo
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|un&m&sg n|mouchoir&m
	conj|ou det:art|une&f&sg n|lingette&f=wipe ?
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te v|chercher-INF
	det:art|une&f&sg n|lingette&f=wipe
%mor:	v|tenir-IMP&2s
%mor:	prep|sur det:art|la&f&sg n|table&f
%mor:	part|taire-PP&m v|nettoyer-PRES&SUB&2s det:poss|ses&pl n|pied&m-PL
	?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&le n|sable&m
	prep|sur det:poss|ses&pl n|pied&m-PL ?
%mor:	adv|parce pro:rel|que$pro:sub|il v:aux|être&PRES&3s
	part|aller&PP&m&sg prep|à det:art|la&f&sg n|mer&f=sea prep|de
	n|sable&m ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s v:aux|être&INF adj|bien n|propre
%mor:	co|ouais=yes
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	co|oui=yes adv|mais det:art|le&m&sg n|trou&m adv:place|là prep|dans
	det:art|le&m&sg n|bidon&m
%mor:	adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:art|le&m&sg n|nombril&m
%mor:	co|hum co|hum
%mor:	co|ouais=yes
%mor:	pro:sub|on v|nettoyer-PRES&SUB&13s
%mor:	co|oui=yes det:art|le&m&sg n|nombril&m
%mor:	co|hum
%mor:	conj|et adv|peut–être v:mdl|falloir&PRES&3s part|luire&PP&m
	v|nettoyer-INF co|euh det:art|le&m&sg n|visage&m ?
%mor:	v|regarder-PRES&SUB&13s prep|sur det:art|les&pl n|joue&f-PL
	pro:sub|il v:aux|avoir&PRES&3s det:art|les&pl n|joue&f-PL
	pro|toutes&f&pl adj|sale-PL ?|kirikou
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|manger-PP&m prep|comme
	det:art|un&m&sg n|cochon&m
%mor:	co|hum
%mor:	det:art|les&pl pro:int|quoi ?
%mor:	det:art|les&pl n|oreille&f-PL ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|un&m&sg n|bobo&m=ouchie
	?|kirikou ?
%mor:	v|attendre-IMP&2s pro:sub|je v:mdl|aller&PRES&1s v|changer-INF
	prep|de n|chaussure&f-PL
%mor:	v|regarder-IMP&2s pro:obj|vous v:aux|avoir&PRES&2p
	part|concevoir-PP&m det:art|une&f&sg n|carte&f adj|postal&f&sg
	prep|de ?|fred conj|et ?|véro
%mor:	v|regarder-IMP&2s ?|anaé
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|chèvre&f-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|fred conj|et ?|véro pro:int|qui
	pro:obj|te pro:obj|le$v:poss|avoir&PRES&3p n|envoyé&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|joli&m ?
%mor:	co|ouais=yes ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|pour n|maman&f
%mor:	co|ben part|taire-PP&m v:mdl|pouvoir&PRES&12s v|ouvrir-INF n|si&m
	pro:sub|tu v:mdl|vouloir&PRES&12s n|mai&m-PL prep|à
	det:poss|mon&m&sg n|avis&m pro:dem|ce$v:exist|être&PRES&3s neg|pas
	adj|passionnant&m=passionate co|hein
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|je pro:obj|te$v:poss|avoir&PRES&1s n|rien&m adj|donné&m
	prep|de&le adv|tout pro:sub|je pro:obj|te v|prêter-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ma&sg n|carte&f
%mor:	co|hum
%mor:	v|attendre-IMP&2s
%mor:	v|attendre-IMP&2s
%mor:	pro:dem|ça v|expliquer-PRES&SUB&13s pro:dem|ce
	pro:rel|que$pro:sub|on v:mdl|pouvoir&PRES&3s v:mdl|faire-INF
	prep|avec det:art|la&f&sg n|carte&f
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	pro:sub|je v|suivre-PRES&IMP&12s neg|pas adj|sûr&f adv|que
	pro:dem|ce v:aux|être&PRES&SUB&3s adv|très
	adj|intéressant&m=interesting ?|anaé co|hein
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	co|hum co|hum co|hum
%mor:	pro:dem|ça pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF prep|à
	det:art|la&f&sg n|poubelle&f prep|de adv|toute n|façon&f
%mor:	conj|et pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|conservatoire&m
%mor:	co|oui=yes
%mor:	co|non=no ?|anaé pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s neg|pas
	adj|jaune v|regarder-PRES&SUB&13s adv|bien
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:gen|quelle&f&sg n|couleur&f
	pro:dem|ça ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|bleu&m
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s n|rien&m adv:place|dedans
	v|tenir-IMP&2s
%mor:	pro:sub|tu v:mdl|pouvoir&PRES&12s v|prendre-INF pro:dem|celui–là
	n|si&m part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	conj|et adv|puis part|taire-PP&m n|peu&m-PL v|lire-INF co|la
	n|carte&f adj|postal&f&sg adv|que ?|fred conj|et ?|véro
	pro:obj|te$v:poss|avoir&PRES&3p n|envoyé&f
%mor:	co|oh n|super&m
%mor:	co|ben adv|vite n|mets&m det:art|le&m&sg
%mor:	v|mettre-IMP&2s det:art|le&m&sg prep|à det:poss|ta&f&sg n|poupée&f
	det:art|le&m&sg n|gilet&m
%mor:	co|ben pro:sub|on pro:obj|la v|chercher-FUT&3s n|tout&m prep|à
	det:art|le$n|heure&f pro:sub|elle v:mdl|devoir&PRES&3s
	v:exist|être&INF prep|sous det:art|le&m&sg n|canapé&m=canape conj|ou
	prep|sous det:art|la&f&sg n|table&f
%mor:	co|hum pro:sub|tu v:mdl|pouvoir&PRES&12s v|regarder-INF n|si&m
	part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	co|non=no adv|mais v|regarder-PRES&SUB&13s prep|en
	adv:place|dessous
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s neg|pas ?
%mor:	v|regarder-PRES&SUB&13s prep|sous det:art|la&f&sg n|table&f
%mor:	co|ah pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg
	n|fourchette&f co|ben part|taire-PP&m v|voir&IMP&PRES&12s
	part|taire-PP&m n|aura&f-PL neg|pas n|tout&m adj|perdu&m
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v|trouver-PRES&SUB&2s ?
%mor:	conj|et co|ben v|regarder-IMP&2s v|donner-IMP&2s pro|moi&sg
	n|ton&m=tone adj|petit&m n|balai&m conj|et pro:sub|je
	v:mdl|aller&PRES&1s pro:sub|je v:mdl|aller&PRES&1s v|essayer-INF
	adv|de v|attraper-INF=catch det:art|la&f&sg n|chaussure&f
%mor:	adv|si pro:sub|elle v:aux|être&PRES&3s prep|en adv:place|dessous
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:sub|je v:aux|être&PRES&1s adj|sûr&f pro:rel|que$pro:sub|on
	v:mdl|aller&PRES&3s v|trouver-INF prep|de&les n|trésor&m-PL
	adv:place|là adv:place|dessous
%mor:	det:art|un&m&sg n|crayon&m
%mor:	prep|de&les n|livre-PL
%mor:	v|tenir-IMP&2s v|regarder-PRES&SUB&13s det:art|un&m&sg n|pantalon&m
	prep|de n|poupée&f
%mor:	prep|de det:art|la&f&sg n|poussier&f
%mor:	det:art|une&f&sg n|céréale&f
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s part|taire-PP&m
	v|ramasser-PRES&SUB&2s det:art|les&pl n|livre-PL ?
%mor:	det:art|une&f&sg pro|autre&sg n|céréale&f
%mor:	co|non=no co|ben co|non=no pro:sub|elles v:aux|être&PRES&3p
	adj|sale-PL
%mor:	adv|encore det:art|un&m&sg n|livre co|oh co|ben
	v|dire-PRES&PASS&12s adv|donc pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|une&f&sg n|collection&f prep|de n|livre-PL prep|sous
	det:dem|cette&f&sg n|table&f
%mor:	conj|et prep|de n|céréale&f-PL
%mor:	co|hum co|oh
%mor:	pro:dem|ça pro:refl|se v|remplir-PASS&3s adv|vite det:art|la&f&sg
	adv:place|dessous
%mor:	v|regarder-IMP&2s pro:dem|ce$v:aux|être&PRES&3s det:poss|tes&pl
	n|livre-PL
%mor:	adv|mais pro:sub|il pro:y|y v:aux|avoir&PRES&3s neg|pas prep|de
	n|chaussure&f-PL pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|le&m&sg n|pantalon&m
%mor:	part|taire-PP&m part|luire&PP&m v|mettre-PRES&12s det:poss|son&m&sg
	n|pantalon&m conj|et det:poss|son&m&sg n|gilet&m ?
%mor:	v:aux|avoir&PRES&3s det:poss|ta&f&sg ?|poupee ?
%mor:	prep|dans det:art|les&pl n|bras&m
%mor:	co|ah co|bon
%mor:	co|hum co|hum
%mor:	pro:sub|on v|mettre-PRES&3s det:art|le&m&sg n|gilet&m prep|pour
	v:mdl|faire-INF co|dodo ?
%mor:	co|ouais=yes ?
%mor:	pro|moi&sg pro:sub|je$v:aux|avoir&PRES&1s num|deux n|an&m-PL
	conj|et det:art|la&f&sg n|poupée&f pro:sub|elle v|dormir-PRES&3s ?
%mor:	det:gen|quel&m&sg v:aux|être&PRES&3s det:art|le&m&sg
	det:gen|quel&m&sg v:aux|être&PRES&3s det:art|le&m&sg n|rapport&m ?
%mor:	co|ben pro:obj|te$v|énerver-IMP&2s neg|pas
%mor:	co|hop pro:sub|on pro:obj|le v|mettre-PRES&3s adv|bien ?
%mor:	pro:sub|on pro:obj|le v|mettre-PRES&3s prep|à
	det:art|le$n|endroit&m
%mor:	adv:place|voilà
%mor:	conj|et pro:sub|on v|mettre-PRES&3s det:art|le&m&sg n|pantalon&m ?
%mor:	co|hum co|hum
%mor:	co|bravo
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	part|taire-PP&m part|luire&PP&m v|donner-PRES&SUB&2s prep|à
	v|manger-INF ?
%mor:	det:art|le&m&sg n|pantalon&m
%mor:	det:art|le&m&sg n|pantalon&m
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s det:art|le&m&sg n|pantalon&m ?
%mor:	?|anaé
%mor:	det:art|le&m&sg n|pantalon&m
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s ?
%mor:	co|oh v|dire-PRES&PASS&12s adv|donc
%mor:	pro:sub|elle n|bouge&m pro:sub|elle v:mdl|vouloir&PRES&3s neg|pas
	adv|que pro:sub|je part|luire&PP&m v|mettre-PRES&SUB&13s
	det:poss|son&m&sg n|pantalon&m
%mor:	co|hop
%mor:	adv:place|voilà
%mor:	co|hum co|hum
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|la&f&sg n|majorette&f
	?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?|anaé ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ça part|faire-PP&m
	prep|dans det:poss|tes&pl n|affaire&f-PL ?
%mor:	?|anaé pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	?|anaé
%mor:	prep|de det:art|la&f&sg n|poussier&f ?
