%mor:	n|laisse&f det:art|le&m&sg adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi prep|dessus ?|ana ?
%mor:	adv:place|là
%mor:	det:art|un&m&sg n|cheval&m&sg
%mor:	n|cheval&m&sg
%mor:	conj|et adv|puis ?
%mor:	det:art|un&m&sg n|arbre&m
%mor:	adv|encore det:art|un&m&sg n|cheval&m&sg
%mor:	conj|et adv|puis
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s prep|avec det:art|le&m&sg n|cheval&m&sg
	?
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:art|un&m&sg n|mouton&m
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:sub|on v:mdl|aller&PRES&3s
	prep|en v|prendre-INF pro:obj|nous
%mor:	part|taire-PP&m prep|en v|prendre-PRES&IMP&12s n|six&m
%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|prendre-PP&m pro|toi&sg ?
%mor:	pro:dem|ça ?
%mor:	pro:dem|ça ?
%mor:	co|bon pro:sub|on v:mdl|aller&PRES&3s prep|en v|prendre-INF
	prep|que n|trois&m
%mor:	pro:dem|ça v|suffire&PASS&3s n|trois&m
%mor:	v:aux|être&PRES&3s det:dem|ce&m&sg adv|que part|taire-PP&m pro:y|en
	v:aux|avoir&PRES&2s num|deux n|pareil&m-PL ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF adv|si pro:sub|on
	v:aux|avoir&PRES&3s num|deux n|pareil&m-PL pro:obj|nous
%mor:	co|non=no
%mor:	pro:sub|on v:aux|avoir&PRES&3s neg|pas n|deux&m n|pareil&m-PL
%mor:	adv:place|voilà
%mor:	adv|alors part|taire-PP&m v|mettre-IMP&2s det:art|un&m&sg n|arbre&m
	?|ana prep|avec det:art|le$n|arbre&m
%mor:	co|non=no n|mets&m det:art|le&m&sg adv:place|là
%mor:	pro:int|où pro:dem|ce$v:exist|être&PRES&3s pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|arbre&m ?
%mor:	part|taire-PP&m n|mets&m adv:place|là ?
%mor:	adv:place|voilà
%mor:	co|allez n|mets&m det:art|le&m&sg n|cheval&m&sg pro|toi&sg
%mor:	pro:obj|nous pro:sub|on v:mdl|pouvoir&PRES&3s neg|pas
%mor:	adv|parce adv|que
%mor:	adv|mais co|non=no adv|parce adv|que
	pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	conj|et pro:dem|ça
%mor:	conj|et pro:int|que$v:aux|être&PRES&3s pro:dem|ce
	pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s pro:obj|nous ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	conj|et pro:dem|ça ?
%mor:	co|bah co|non=no det:art|une&f&sg n|vache&f
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|il v:aux|être&PRES&3s adj|bleu&m
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|bleu&f prep|en qn|plus
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s pro:dem|ce$v:aux|être&PRES&3s
	det:art|une&f&sg n|vache&f
%mor:	adv|donc pro:dem|ça v:mdl|aller&PRES&3s neg|pas
%mor:	v|tirer-IMP&2s
%mor:	co|euh v|prendre-PRES&IMP&12s det:art|un&m&sg n|domino&m
%mor:	n|pioche&f
%mor:	pro:dem|ça pro:sub|on v:mdl|aller&PRES&3s det:art|le&m&sg
	v:mdl|faire-INF v|partir-INF ?|làbas
%mor:	part|taire-PP&m prep|en v|prendre-PRES&IMP&12s pro|un&m&sg ?
%mor:	?|làbas
%mor:	det:art|un&m&sg pro:int|que$v:aux|être&PRES&3s re#part|tourner-PP&m
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|prendre-PRES&IMP&12s pro:dem|celui&m&sg adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	co|ah co|ouais=yes adv|mais ?|celuilà pro:sub|il v:aux|être&PRES&3s
	neg|pas adv|bien
%mor:	pro:sub|on pro:obj|le v|prendre-PRES&3s neg|pas
%mor:	v|prendre-PRES&IMP&12s det:art|un&m&sg pro|autre&sg
%mor:	co|ah
%mor:	conj|et co|bah co|voilà
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s neg|pas
%mor:	prep|à pro|toi&sg ?|ana
%mor:	v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|on
	v:aux|avoir&PRES&3s prep|de&les n|mouton&m-PL pro:obj|nous ?
%mor:	adv|toujours neg|pas
%mor:	pro:sub|elle pro:obj|nous v:aux|avoir&PRES&3s part|bloquer-PP&m
	co|hein
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|vache&f
%mor:	co|ouais=yes adv:place|là pro:sub|on v:mdl|pouvoir&PRES&3s neg|pas
%mor:	prep|à pro|toi&sg ?|ana
%mor:	co|bah n|garde det:art|le&m&sg adv|quand adj|même&m=same
	v:mdl|aller&PRES&3s
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|vouloir&PRES&12s neg|pas ?
%mor:	adv|encore prep|de&les n|cheval&m&pl
%mor:	pro:dem|ça n|marche&f adv|toujours neg|pas n|mets&m det:art|le&m&sg
	co|la
%mor:	v|mettre-IMP&2s det:art|le&m&sg adv:place|là
%mor:	co|allez n|pioche&f ?|ana
%mor:	co|ah pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s v|mettre-INF det:art|le&m&sg
	n|mouton&m
%mor:	v|mettre-IMP&2s det:art|le&m&sg ?|làbas
%mor:	v|tenir-IMP&2s pro:y|y v:aux|avoir&PRES&3s qn|plus prep|de
	n|place&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|mouton&m prep|avec
	pro:rel|quoi ?|ana ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	conj|et pro:dem|ça adv:place|là ?
%mor:	co|non=no
%mor:	det:art|un&m&sg n|cochon&m
%mor:	adv|mais part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f pro:sub|ils
	v:aux|avoir&PRES&3p prep|de adj|drôle-PL prep|de n|couleur&f-PL
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|elle
	pro:obj|nous v|mettre-PRES&3s ?
%mor:	adv|encore det:art|un&m&sg n|cochon&m ?
%mor:	pro:sub|on v:aux|avoir&PRES&3s neg|pas prep|de n|cochon&m
	pro:obj|nous
%mor:	n|pioche&f ?|ana
%mor:	co|oh adv|encore det:art|un&m&sg n|canard&m=duck
%mor:	v|mettre-IMP&2s det:art|le&m&sg n|canard&m=duck prep|avec
	det:art|le&m&sg n|canard&m=duck
%mor:	adv:place|là
%mor:	co|oui=yes ?|celuilà
%mor:	n|ver&m-PL det:art|le$pro|autre&sg n|canard&m=duck
%mor:	co|oui=yes pro:y|y pro:y|en v:aux|avoir&PRES&3s num|deux
%mor:	v|attendre-IMP&2s
%mor:	n|laisse&f co|la v|piocher-INF
%mor:	prep|à&le n|lieu&m prep|de adv|tout part|casser-PP&m
%mor:	co|ouais=yes co|bah v|occuper-IMP&2s pro|toi&sg prep|de pro|toi&sg
%mor:	prep|à pro:obj|nous
%mor:	v|tenir-IMP&2s v|mettre-IMP&2s det:art|le&m&sg n|canard&m=duck
	?|làbas ?|ana
%mor:	co|non=no v:aux|avoir&PRES&3s part|voir&PP&m
%mor:	v|mettre-IMP&2s det:art|le&m&sg ?|làbas
%mor:	co|allez v:mdl|aller&PRES&3s v|mettre-INF det:art|le&m&sg
	n|canard&m=duck
%mor:	co|oui=yes co|bah adv|après v:mdl|falloir&PRES&3s v|mettre-INF
	prep|de&le adj|blanc
%mor:	co|allez v:mdl|aller&PRES&3s
%mor:	co|non=no ?|làhaut
%mor:	?|làbas ?|làbas
%mor:	co|oui=yes adv:place|là
%mor:	adv|comme part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	pro:sub|on v:aux|avoir&PRES&3s det:art|une&f&sg n|vache&f
	pro:sub|nous ?|ana ?
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:art|la&f&sg
	n|vache&f ?
%mor:	co|non=no
%mor:	adv:place|là adv:place|là
%mor:	adv:place|là
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:art|la&f&sg
	n|vache&f ?
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|mettre-IMP&2s adv:place|là
%mor:	?|làbas
%mor:	v|attendre-IMP&2s
%mor:	v|tenir-IMP&2s
%mor:	v|mettre-IMP&2s det:art|les&pl n|cheval&m&pl ?|làbas
%mor:	?|làbas
%mor:	co|non=no adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	conj|et co|bah adv|comme pro:dem|ça
%mor:	adv|très adv|bien
%mor:	co|allez adj|tien&m-PL pro:sub|on v:mdl|aller&PRES&3s
	det:art|le&m&sg v:mdl|faire-INF re#v|partir-INF adv|par adv:place|là
%mor:	adv|alors pro:sub|on v|mettre-PRES&3s pro:rel|quoi pro:obj|nous ?
%mor:	det:art|le&m&sg n|cheval&m&sg conj|ou det:art|le$n|arbre&m ?
%mor:	det:art|le&m&sg n|cheval&m&sg ?
%mor:	co|allez n|mets&m det:art|le&m&sg n|cheval&m&sg
%mor:	co|allez
%mor:	adv|très adv|bien
%mor:	conj|et pro:obj|nous pro:sub|on v|mettre-PRES&3s
	det:art|le$n|arbre&m
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF det:art|le$n|arbre&m
	?|làbas
%mor:	conj|et adv:place|voilà
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s adv|encore prep|à
	pro:obj|nous pro:dem|ça
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	conj|et adv:place|voilà
%mor:	part|taire-PP&m det:art|le&m&sg n|mets&m
